Result	Lemma	Gender	Case	Number	Reference
δοῦλε	δοῦλος	mas	voc	sg	Mt 18:32,Mt 25:21,Mt 25:23,Mt 25:26,Lk 19:17,Lk 19:22
δούλοις	δοῦλος	mas	dat	pl	Mt 22:8,Mk 13:34,Ac 4:29,Col 4:1,Re 1:1,Re 11:18,Re 22:6
δοῦλοι	δοῦλος	mas	vocative, nominative	pl	Col 3:22,Re 19:5
Δούλους	δοῦλος	mas	acc	pl	Tt 2:9
δοῦλα	δοῦλος	neu	acc	pl	Ro 6:19,Ro 6:19
δούλων	δοῦλος	mas	gen	pl	Mt 18:23,Mt 25:19,Jn 18:26,Re 19:2,Re 19:18
δοῦλον	δοῦλος	mas	acc	sg	Mt 25:30,Mt 26:51,Mk 12:2,Mk 12:4,Mk 14:47,Lk 7:3,Lk 7:10,Lk 14:17,Lk 14:23,Lk 17:7,Lk 20:10,Lk 20:11,Lk 22:50,Jn 18:10,2 Ti 2:24,Phm 16,Phm 16
δοῦλος	δοῦλος	mas	nom	sg	Mt 10:24,Mt 10:25,Mt 18:26,Mt 18:28,Mt 20:27,Mt 24:45,Mt 24:46,Mt 24:48,Mk 10:44,Lk 7:2,Lk 12:43,Lk 12:45,Lk 12:47,Lk 14:21,Lk 14:22,Jn 8:35,Jn 13:16,Jn 15:15,Jn 15:20,Ro 1:1,1 Co 7:21,1 Co 7:22,Ga 1:10,Ga 3:28,Ga 4:7,Eph 6:8,Col 3:11,Col 4:12,Tt 1:1,Jas 1:1,2 Pe 1:1,Jud 1,Re 6:15
δοῦλοι	δοῦλος	mas	nom	pl	Mt 13:27,Mt 13:28,Mt 22:10,Lk 12:37,Lk 17:10,Jn 4:51,Jn 18:18,Ac 16:17,Ro 6:17,Ro 6:20,1 Co 7:23,1 Co 12:13,Eph 6:5,Eph 6:6,Php 1:1,1 Ti 6:1,1 Pe 2:16,2 Pe 2:19,Re 22:3
δούλους	δοῦλος	mas	acc	pl	Mt 21:34,Mt 21:35,Mt 21:36,Mt 22:3,Mt 22:4,Mt 22:6,Mt 25:14,Lk 15:22,Lk 19:13,Lk 19:15,Jn 15:15,Ac 2:18,Ro 6:16,2 Co 4:5,Re 2:20,Re 7:3,Re 10:7,Re 13:16
δούλου	δοῦλος	mas	gen	sg	Mt 18:27,Mt 24:50,Lk 12:46,Ga 4:1,Php 2:7,Re 15:3
δοῦλόν	δοῦλος	mas	acc	sg	Lk 2:29
δοῦλοί	δοῦλος	mas	nom	pl	Ro 6:16
δοῦλός	δοῦλος	mas	nom	sg	Jn 8:34,1 Co 7:22
δούλῳ	δοῦλος	mas	dat	sg	Mt 8:9,Lk 7:8,Lk 14:21,Lk 17:9,Jn 18:10,Re 1:1
