Result	Lemma	Gender	Case	Number	Reference
ἄνθρωπός	ἄνθρωπος	mas	nom	sg	Mt 8:9,Lk 7:8,Lk 10:30,Lk 14:2,Lk 14:16,Lk 15:11,Lk 16:1,Lk 19:12,Lk 20:9,Ac 10:26
ἄνθρωπόν	ἄνθρωπος	mas	acc	sg	Ac 9:33
ἀνθρώποις	ἄνθρωπος	mas	dat	pl	Mt 6:5,Mt 6:14,Mt 6:15,Mt 6:16,Mt 6:18,Mt 9:8,Mt 12:31,Mt 19:26,Mt 23:5,Mt 23:28,Mk 10:27,Lk 1:25,Lk 2:14,Lk 2:52,Lk 12:36,Lk 16:15,Lk 18:27,Jn 4:28,Jn 17:6,Ac 4:12,Ac 4:16,Ac 5:4,Ac 5:29,Ac 5:35,Ac 14:11,Ac 15:26,Ac 17:30,Ro 14:18,1 Co 3:21,1 Co 4:9,1 Co 14:2,1 Co 14:3,Ga 1:10,Ga 1:10,Eph 4:8,Eph 6:7,Php 4:5,Col 3:23,1 Th 2:4,1 Th 2:15,2 Ti 2:2,Tt 2:11,Tt 3:8,Heb 9:27
ἄνθρωποι	ἄνθρωπος	mas	nom	pl	Mt 7:12,Mt 8:27,Mt 12:36,Mt 16:13,Mk 8:27,Lk 6:22,Lk 6:26,Lk 6:31,Lk 11:44,Jn 3:19,Jn 6:14,Ac 4:13,Ac 14:15,Ac 16:17,Ac 16:20,2 Ti 3:2,2 Ti 3:8,2 Ti 3:13,Heb 6:16,Heb 7:8,2 Pe 1:21,Jud 4,Re 9:6,Re 16:9,Re 16:21
ἀνθρώπων	ἄνθρωπος	mas	gen	pl	Mt 4:19,Mt 5:13,Mt 5:16,Mt 6:1,Mt 6:2,Mt 10:17,Mt 10:32,Mt 10:33,Mt 15:9,Mt 16:23,Mt 17:22,Mt 19:12,Mt 21:25,Mt 21:26,Mt 22:16,Mt 23:4,Mt 23:7,Mt 23:13,Mk 1:17,Mk 3:28,Mk 7:7,Mk 7:8,Mk 7:21,Mk 8:33,Mk 9:31,Mk 11:2,Mk 11:30,Mk 11:32,Mk 12:14,Lk 9:44,Lk 12:8,Lk 12:9,Lk 16:15,Lk 18:11,Lk 19:30,Lk 20:4,Lk 20:6,Lk 21:26,Lk 24:7,Jn 1:4,Jn 5:41,Jn 8:17,Jn 12:43,Ac 4:17,Ac 5:38,Ac 5:38,Ac 15:17,Ac 17:26,Ac 19:35,Ro 1:18,Ro 2:16,Ro 2:29,Ro 12:17,Ro 12:18,1 Co 1:25,1 Co 1:25,1 Co 2:5,1 Co 2:11,1 Co 7:23,1 Co 13:1,1 Co 15:19,1 Co 15:39,2 Co 3:2,2 Co 4:2,2 Co 8:21,Ga 1:1,Eph 3:5,Eph 4:14,Php 2:7,Col 2:8,Col 2:22,1 Th 2:6,1 Th 2:13,2 Th 3:2,1 Ti 2:1,1 Ti 2:5,1 Ti 4:10,1 Ti 5:24,1 Ti 6:5,1 Ti 6:16,Tt 1:14,Heb 5:1,Heb 5:1,Jas 3:8,1 Pe 2:4,1 Pe 2:15,1 Pe 4:2,2 Pe 3:7,1 Jn 5:9,Re 8:11,Re 9:7,Re 9:15,Re 9:18,Re 9:20,Re 11:13,Re 13:13,Re 14:4,Re 18:13,Re 21:3
ἀνθρώπους	ἄνθρωπος	mas	acc	pl	Mt 5:19,Mt 13:25,Mk 8:24,Lk 5:10,Lk 7:31,Lk 11:46,Lk 13:4,Jn 6:10,Ac 5:34,Ac 16:35,Ac 16:37,Ac 18:13,Ac 22:15,Ac 24:16,Ro 5:12,Ro 5:18,Ro 5:18,1 Co 7:7,2 Co 5:11,Ga 1:10,1 Ti 2:4,1 Ti 6:9,Tt 3:2,Heb 7:28,Jas 3:9,1 Pe 4:6,Re 9:4,Re 9:10,Re 16:2,Re 16:8,Re 16:21
Ἄνθρωπος	ἄνθρωπος	mas	nom	sg	Lk 16:19
ἄνθρωπον	ἄνθρωπος	mas	acc	sg	Mt 9:9,Mt 9:32,Mt 10:35,Mt 11:8,Mt 15:11,Mt 15:11,Mt 15:18,Mt 15:20,Mt 15:20,Mt 22:11,Mt 26:72,Mt 26:74,Mt 27:32,Mk 2:27,Mk 7:15,Mk 7:18,Mk 7:20,Mk 7:23,Mk 8:36,Mk 14:71,Lk 5:18,Lk 7:25,Lk 8:35,Lk 18:2,Lk 18:4,Lk 23:14,Jn 1:9,Jn 4:29,Jn 5:7,Jn 7:22,Jn 7:23,Jn 7:51,Jn 8:40,Jn 9:1,Jn 9:24,Jn 18:14,Ac 4:14,Ac 10:28,Ac 22:25,Ac 25:16,Ro 3:5,Ro 3:28,Ro 7:22,1 Co 3:3,1 Co 9:8,1 Co 15:32,2 Co 12:2,2 Co 12:3,Ga 1:11,Ga 3:15,Eph 2:15,Eph 3:16,Eph 4:22,Eph 4:24,Col 1:28,Col 1:28,Col 1:28,Col 3:9,1 Th 4:8,Tt 3:10,Re 9:5
ἄνθρωποί	ἄνθρωπος	mas	nom	pl	1 Co 3:4
ἀνθρώπου	ἄνθρωπος	mas	gen	sg	Mt 8:20,Mt 9:6,Mt 10:23,Mt 10:36,Mt 11:19,Mt 12:8,Mt 12:32,Mt 12:40,Mt 12:43,Mt 12:45,Mt 13:37,Mt 13:41,Mt 16:13,Mt 16:27,Mt 16:28,Mt 17:9,Mt 17:12,Mt 17:22,Mt 19:10,Mt 19:28,Mt 20:18,Mt 20:28,Mt 24:27,Mt 24:30,Mt 24:30,Mt 24:37,Mt 24:39,Mt 24:44,Mt 25:31,Mt 26:2,Mt 26:24,Mt 26:24,Mt 26:45,Mt 26:64,Mk 2:10,Mk 2:28,Mk 5:8,Mk 7:15,Mk 7:15,Mk 7:20,Mk 8:31,Mk 8:38,Mk 9:9,Mk 9:12,Mk 9:31,Mk 10:33,Mk 10:45,Mk 13:26,Mk 14:21,Mk 14:21,Mk 14:41,Mk 14:62,Lk 5:24,Lk 6:5,Lk 6:22,Lk 7:34,Lk 8:29,Lk 8:33,Lk 9:22,Lk 9:26,Lk 9:44,Lk 9:58,Lk 11:24,Lk 11:26,Lk 11:30,Lk 12:8,Lk 12:10,Lk 12:16,Lk 12:40,Lk 17:22,Lk 17:24,Lk 17:26,Lk 17:30,Lk 18:8,Lk 18:31,Lk 19:10,Lk 21:27,Lk 21:36,Lk 22:22,Lk 22:48,Lk 22:69,Lk 24:7,Jn 1:51,Jn 2:25,Jn 3:13,Jn 3:14,Jn 5:27,Jn 5:34,Jn 6:27,Jn 6:53,Jn 6:62,Jn 8:28,Jn 9:35,Jn 12:23,Jn 12:34,Jn 12:34,Jn 13:31,Jn 18:17,Jn 18:29,Ac 4:9,Ac 5:28,Ac 7:56,Ac 12:22,Ac 17:29,Ac 25:22,Ro 1:23,Ro 2:9,Ro 4:6,Ro 5:12,Ro 5:15,Ro 5:19,Ro 7:1,1 Co 2:9,1 Co 2:11,1 Co 2:11,1 Co 15:21,1 Co 15:21,Ga 1:1,Ga 1:12,Ga 2:6,Ga 3:15,Heb 2:6,2 Pe 1:21,2 Pe 2:16,Re 1:13,Re 4:7,Re 13:18,Re 14:14,Re 21:17
