Reference	Result	Lemma	Part of Speech	Adverb/particle Type
Mt 2:23,Mt 5:16,Mt 5:45,Mt 6:2,Mt 6:4,Mt 6:5,Mt 6:16,Mt 6:18,Mt 8:17,Mt 8:34,Mt 9:38,Mt 12:14,Mt 13:35,Mt 23:35,Mt 26:59,Mk 3:6,Lk 2:35,Lk 7:3,Lk 10:2,Lk 11:37,Lk 16:26,Lk 16:28,Jn 11:57,Ac 3:20,Ac 8:15,Ac 8:24,Ac 9:2,Ac 9:12,Ac 9:17,Ac 9:24,Ac 15:17,Ac 20:16,Ac 23:15,Ac 23:20,Ac 23:23,Ac 25:3,Ac 25:26,Ro 3:4,Ro 9:17,Ro 9:17,1 Co 1:29,2 Co 8:11,2 Co 8:14,Ga 1:4,2 Th 1:12,Phm 6,Heb 2:9,Heb 9:15,Jas 5:16,1 Pe 2:9	ὅπως	ὅπως	conjunction	—
Lk 24:20	ὅπως	ὅπως	conjunction, adverb	—
Mt 2:8	ὅπως	ὅπως	conjunction, adverb	correlative
Mt 22:15	ὅπως	ὅπως	adverb, conjunction	indefinite
