Reference	Result	Lemma	Part of Speech	Adverb/particle Type
Mk 6:23	ἐάν	ἐάν	particle	conditional
Mt 18:15,Mt 21:3,Mt 22:24,Mt 24:23,Mk 11:3,Mk 12:19,Mk 13:21,Lk 16:30,Lk 16:31,Lk 19:31,Lk 20:28,Jn 6:51,Jn 7:17,Jn 7:37,Jn 8:51,Jn 8:52,Jn 9:22,Jn 9:31,Jn 10:9,Jn 11:9,Jn 11:57,Jn 12:26,Jn 12:47,Jn 14:14,Jn 14:23,Ac 9:2,Ac 13:41,Ro 14:8,Ro 14:8,Ro 14:8,Ro 14:8,1 Co 5:11,2 Co 10:8,Eph 6:8,Col 3:13,1 Ti 1:8,Jas 5:19,1 Jn 2:1,1 Jn 2:15,1 Jn 4:20,1 Jn 5:14,Re 3:20,Re 22:18,Re 22:19	ἐάν	ἐάν	conjunction	—
Ga 1:8,1 Th 2:7	ἐὰν	ἐάν	particle, conjunction	conditional
Mt 4:9,Mt 5:13,Mt 5:20,Mt 5:46,Mt 5:47,Mt 6:15,Mt 6:22,Mt 6:23,Mt 8:2,Mt 9:21,Mt 10:13,Mt 10:13,Mt 12:11,Mt 12:29,Mt 15:14,Mt 16:26,Mt 17:20,Mt 18:3,Mt 18:12,Mt 18:13,Mt 18:16,Mt 18:17,Mt 18:17,Mt 18:19,Mt 18:35,Mt 21:21,Mt 21:24,Mt 21:25,Mt 21:26,Mt 24:26,Mt 24:48,Mt 26:42,Mt 28:14,Mk 1:40,Mk 3:24,Mk 3:25,Mk 3:27,Mk 4:22,Mk 5:28,Mk 7:3,Mk 7:4,Mk 7:11,Mk 8:3,Mk 9:43,Mk 9:45,Mk 9:47,Mk 9:50,Mk 10:12,Mk 10:30,Mk 11:31,Mk 14:31,Lk 4:7,Lk 5:12,Lk 6:33,Lk 6:34,Lk 10:6,Lk 12:45,Lk 13:3,Lk 13:5,Lk 14:34,Lk 15:8,Lk 17:3,Lk 17:4,Lk 19:40,Lk 20:5,Lk 20:6,Lk 22:67,Lk 22:68,Jn 3:2,Jn 3:3,Jn 3:5,Jn 3:12,Jn 3:27,Jn 4:48,Jn 5:19,Jn 5:43,Jn 6:44,Jn 6:53,Jn 6:62,Jn 6:65,Jn 7:51,Jn 8:16,Jn 8:24,Jn 8:31,Jn 8:36,Jn 8:54,Jn 11:10,Jn 11:40,Jn 11:48,Jn 12:24,Jn 12:24,Jn 12:26,Jn 12:32,Jn 13:8,Jn 13:17,Jn 13:35,Jn 14:3,Jn 15:4,Jn 15:4,Jn 15:6,Jn 15:7,Jn 15:10,Jn 15:14,Jn 16:7,Jn 16:7,Jn 19:12,Jn 20:25,Jn 21:22,Jn 21:23,Jn 21:25,Ac 5:38,Ac 8:31,Ac 15:1,Ac 26:5,Ac 27:31,Ro 2:25,Ro 2:25,Ro 2:26,Ro 7:2,Ro 7:3,Ro 7:3,Ro 9:27,Ro 10:9,Ro 10:15,Ro 11:22,Ro 11:23,Ro 12:20,Ro 12:20,Ro 13:4,Ro 14:23,Ro 15:24,1 Co 4:15,1 Co 4:19,1 Co 6:4,1 Co 7:8,1 Co 7:11,1 Co 7:28,1 Co 7:28,1 Co 7:36,1 Co 7:39,1 Co 7:40,1 Co 8:8,1 Co 8:8,1 Co 8:10,1 Co 9:16,1 Co 9:16,1 Co 10:28,1 Co 11:14,1 Co 11:15,1 Co 12:15,1 Co 12:16,1 Co 13:2,1 Co 13:2,1 Co 13:3,1 Co 14:6,1 Co 14:6,1 Co 14:7,1 Co 14:8,1 Co 14:9,1 Co 14:11,1 Co 14:14,1 Co 14:16,1 Co 14:24,1 Co 14:28,1 Co 14:30,1 Co 15:36,1 Co 16:4,1 Co 16:7,2 Co 5:1,2 Co 9:4,2 Co 13:2,Ga 2:16,Ga 5:2,Ga 6:1,Col 4:10,1 Th 3:8,2 Th 2:3,1 Ti 2:15,1 Ti 3:15,2 Ti 2:5,2 Ti 2:5,2 Ti 2:21,Heb 3:7,Heb 3:15,Heb 4:7,Heb 10:38,Heb 13:23,Jas 2:2,Jas 2:14,Jas 2:15,Jas 2:17,Jas 4:15,1 Pe 3:13,1 Jn 1:6,1 Jn 1:7,1 Jn 1:8,1 Jn 1:9,1 Jn 1:10,1 Jn 2:3,1 Jn 2:24,1 Jn 2:28,1 Jn 2:29,1 Jn 3:2,1 Jn 3:20,1 Jn 3:21,1 Jn 4:12,1 Jn 5:15,3 Jn 10,Re 2:5,Re 2:22,Re 3:3	ἐὰν	ἐάν	conjunction	—
Mt 5:19,Mt 5:32,Mt 7:12,Mt 8:19,Mt 11:6,Mt 11:27,Mt 12:32,Mt 14:7,Mt 15:5,Mt 16:19,Mt 16:25,Mt 18:5,Mt 18:18,Mt 18:18,Mt 18:19,Mt 20:4,Mt 20:26,Mt 22:9,Mt 23:3,Mt 24:28,Mt 26:13,Mk 3:28,Mk 6:10,Mk 6:22,Mk 7:11,Mk 8:35,Mk 8:38,Mk 9:18,Mk 10:35,Mk 13:11,Mk 14:9,Mk 14:14,Lk 4:6,Lk 7:23,Lk 9:48,Lk 9:57,Lk 10:22,Lk 17:33,Ac 3:23,Ac 7:7,Ac 8:19,1 Co 6:18,1 Co 11:25,1 Co 11:26,1 Co 16:2,1 Co 16:3,1 Co 16:6,2 Co 3:16,2 Co 8:12,Ga 5:10,Ga 5:17,Ga 6:7,Col 3:17,Col 3:23,Jas 4:4,1 Jn 3:22,1 Jn 4:15,1 Jn 5:15,3 Jn 5,Re 3:19,Re 11:6,Re 13:15	ἐὰν	ἐάν	particle	conditional
Mt 5:23,Mt 6:14,Mt 18:15,Lk 17:3,Jn 5:31,Jn 14:15,1 Co 13:1,1 Co 14:23,1 Co 16:10,2 Co 12:6	Ἐὰν	ἐάν	conjunction	—
Mt 16:19,Jn 15:7	ἐὰν	ἐάν	conjunction, particle	—
1 Jn 5:16	Ἐάν	ἐάν	conjunction	—
