Reference	Result	Lemma	Part of Speech	Adverb/particle Type
Mk 7:13,Lk 9:9,Jn 9:16,Ac 19:25,Ro 1:32,Ro 2:2,Ro 2:3,Ga 5:21,Heb 11:14	τοιαῦτα	τοιοῦτος	pronoun	—
Mk 13:19,Jas 4:16	τοιαύτη	τοιοῦτος	pronoun	—
Heb 7:26	Τοιοῦτος	τοιοῦτος	adjective, pronoun	—
Heb 13:16	τοιαύταις	τοιοῦτος	adjective, pronoun	—
Heb 8:1	τοιοῦτον	τοιοῦτος	adjective, pronoun	—
1 Co 5:1	τοιαύτη	τοιοῦτος	adjective, pronoun	—
1 Co 7:15,1 Co 16:16,2 Th 3:12	τοιούτοις	τοιοῦτος	pronoun	—
2 Co 12:3	τοιοῦτον	τοιοῦτος	adjective, pronoun	—NA28
Mk 4:33	τοιαύταις	τοιοῦτος	pronoun	—
Mt 18:5	τοιοῦτο	τοιοῦτος	pronoun	—
Ac 22:22,1 Co 5:5,2 Co 12:2,Ga 6:1	τοιοῦτον	τοιοῦτος	pronoun	—
Ro 16:18,1 Co 7:28,1 Co 15:48,1 Co 15:48,2 Co 10:11,2 Co 11:13	τοιοῦτοι	τοιοῦτος	pronoun	—
Jn 4:23,Ac 26:29,1 Co 16:18,Php 2:29,3 Jn 8	τοιούτους	τοιοῦτος	pronoun	—
2 Co 2:7,2 Co 10:11,Tt 3:11,Phm 9	τοιοῦτος	τοιοῦτος	pronoun	—
Mk 9:37	τοιούτων	τοιοῦτος	adjective, pronoun	—
Mk 6:2	τοιαῦται	τοιοῦτος	pronoun	—
Ac 16:24,2 Co 3:12,Heb 12:3	τοιαύτην	τοιοῦτος	adjective, pronoun	—
Mt 19:14,Mk 10:14,Lk 18:16,Ga 5:23,Eph 5:27	τοιούτων	τοιοῦτος	pronoun	—
Jn 8:5	τοιαύτας	τοιοῦτος	pronoun	—
1 Co 5:11,2 Co 2:6	τοιούτῳ	τοιοῦτος	pronoun	—
Mt 9:8,1 Co 11:16,2 Co 3:4	τοιαύτην	τοιοῦτος	pronoun	—
