Result	Lemma	Gender	Case	Number	Part of Speech	Reference
οἵ	ὅς	mas	nom	pl	pronoun	1 Pe 2:10,Re 5:6
ὧν	ὅς	fem	gen	pl	pronoun	Lk 19:37,Ac 9:36,1 Ti 1:6,1 Ti 6:4,1 Pe 3:3,2 Pe 1:4
ἣ	ὅς	fem	nom	sg	pronoun, article	Re 14:8
αἳ	ὅς	fem	nom	pl	pronoun	Mk 15:41,Lk 8:2,Lk 23:27,Lk 23:29
ὃς	ὅς	mas	nom	sg	pronoun	Mt 5:19,Mt 5:19,Mt 5:21,Mt 5:22,Mt 5:22,Mt 5:31,Mt 5:32,Mt 10:14,Mt 10:38,Mt 10:42,Mt 11:6,Mt 11:10,Mt 12:11,Mt 12:32,Mt 12:32,Mt 13:23,Mt 15:5,Mt 16:25,Mt 16:25,Mt 18:5,Mt 18:23,Mt 18:28,Mt 19:9,Mt 20:26,Mt 20:27,Mt 22:5,Mt 22:5,Mt 23:16,Mt 23:16,Mt 23:18,Mt 23:18,Mt 24:2,Mt 27:57,Mk 1:2,Mk 3:19,Mk 3:29,Mk 3:35,Mk 4:9,Mk 4:25,Mk 4:25,Mk 4:31,Mk 5:3,Mk 6:11,Mk 8:35,Mk 8:35,Mk 8:38,Mk 9:37,Mk 9:37,Mk 9:39,Mk 9:40,Mk 9:42,Mk 10:11,Mk 10:15,Mk 10:29,Mk 10:43,Mk 10:44,Mk 11:23,Mk 13:2,Mk 15:23,Mk 15:43,Lk 1:61,Lk 5:18,Lk 5:21,Lk 6:16,Lk 6:48,Lk 7:2,Lk 7:23,Lk 7:27,Lk 7:49,Lk 8:18,Lk 8:18,Lk 9:24,Lk 9:24,Lk 9:26,Lk 9:48,Lk 9:48,Lk 9:50,Lk 12:8,Lk 12:10,Lk 14:33,Lk 16:1,Lk 17:7,Lk 17:31,Lk 17:33,Lk 17:33,Lk 18:17,Lk 18:29,Lk 18:30,Lk 21:6,Lk 23:51,Lk 24:19,Jn 1:30,Jn 3:26,Jn 4:12,Jn 4:14,Jn 4:29,Jn 6:9,Jn 8:40,Jn 9:24,Jn 18:13,Jn 21:20,Ac 1:23,Ac 2:21,Ac 3:3,Ac 5:36,Ac 7:18,Ac 7:20,Ac 7:38,Ac 7:40,Ac 7:46,Ac 8:27,Ac 8:27,Ac 9:33,Ac 10:5,Ac 10:32,Ac 10:38,Ac 11:14,Ac 11:23,Ac 13:7,Ac 13:22,Ac 13:31,Ac 14:8,Ac 14:9,Ac 14:15,Ac 14:16,Ac 16:2,Ac 16:24,Ac 18:27,Ac 19:35,Ac 21:32,Ac 22:4,Ac 24:6,Ac 28:7,Ro 2:6,Ro 2:23,Ro 3:30,Ro 4:25,Ro 8:34,Ro 8:34,Ro 10:13,Ro 14:2,Ro 14:5,1 Co 1:8,1 Co 1:30,1 Co 2:16,1 Co 4:5,1 Co 4:17,1 Co 6:5,1 Co 7:37,1 Co 10:13,1 Co 11:21,1 Co 11:21,1 Co 11:27,1 Co 15:9,2 Co 1:10,2 Co 3:6,2 Co 4:6,2 Co 10:1,2 Co 13:3,Ga 3:10,Php 2:6,Php 3:21,Col 1:13,1 Th 2:13,1 Th 5:24,2 Th 3:3,1 Ti 2:4,1 Ti 3:16,Tt 2:14,Heb 1:3,Heb 5:7,Heb 7:16,Heb 7:27,Heb 8:1,Heb 9:14,Heb 12:2,Heb 12:16,Jas 1:12,Jas 4:4,1 Pe 2:22,1 Pe 2:23,1 Pe 2:24,2 Pe 2:15,1 Jn 2:5,1 Jn 3:17,1 Jn 4:6,1 Jn 4:15,Re 1:2,Re 2:8,Re 2:13,Re 2:14,Re 10:6,Re 12:5,Re 13:14
ὅν	ὅς	mas	acc	sg	pronoun	2 Pe 3:6
ᾗ	ὅς	fem	dat	sg	pronoun	Mt 24:44,Mt 24:50,Mt 24:50,Mk 7:13,Lk 1:26,Lk 6:49,Lk 11:22,Lk 12:40,Lk 12:46,Lk 12:46,Lk 17:29,Lk 17:30,Lk 19:30,Lk 21:15,Lk 22:7,Lk 24:13,Jn 4:52,Jn 4:53,Jn 5:28,Jn 9:14,Jn 17:5,Ac 2:8,Ac 9:17,Ac 11:11,Ac 17:31,Ro 5:2,1 Co 7:20,1 Co 11:23,2 Co 7:7,2 Co 10:2,2 Co 12:21,1 Th 3:9,1 Ti 4:6,Heb 9:2,Heb 9:4,2 Pe 3:10,Re 18:19
αἵ	ὅς	fem	nom	pl	pronoun	Re 5:8
ἅ	ὅς	neu	acc	pl	pronoun	Heb 2:13
οἳ	ὅς	mas	nom	pl	pronoun	Mk 4:16,Lk 5:10,Lk 5:17,Lk 5:29,Lk 6:18,Lk 8:13,Lk 8:13,Lk 9:27,Lk 9:31,Lk 10:30,Lk 13:30,Lk 13:30,Lk 17:12,Lk 20:47,Lk 23:29,Lk 24:23,Jn 1:13,Jn 6:64,Ac 1:11,Ac 7:40,Ac 28:10,Ro 15:21,Ro 16:7,Heb 11:33,Jas 5:10,1 Pe 2:8,1 Pe 4:5,3 Jn 6,Re 8:2,Re 9:20,Re 14:4
ὧν	ὅς	mas	gen	pl	pronoun	Lk 1:4,Lk 1:20,Lk 5:9,Lk 6:34,Lk 13:1,Jn 17:9,Ac 22:5,Ro 3:8,Ro 3:14,Ro 4:7,Ro 4:7,Ro 9:4,Ro 9:5,Ro 9:5,1 Co 3:5,1 Co 15:6,2 Co 2:3,2 Co 11:15,2 Co 12:17,Php 3:19,Php 3:19,Php 4:3,2 Th 2:10,1 Ti 1:15,1 Ti 1:20,2 Ti 1:13,2 Ti 1:15,2 Ti 2:17,Heb 3:17,Heb 11:38,Heb 13:7,Re 17:8,Re 20:8
Οἷς	ὅς	mas	dat	pl	pronoun	Ac 1:3
οἷς	ὅς	mas	dat	pl	pronoun	Mt 19:11,Mt 20:23,Mk 10:40,Lk 12:24,Lk 19:15,Ac 15:24,Ac 17:34,Ac 20:25,Ac 28:23,Ro 4:24,Ro 15:21,Ro 16:4,2 Co 2:16,2 Co 2:16,2 Co 4:4,Ga 2:5,Ga 3:1,Eph 2:3,Php 2:15,Col 1:27,Col 3:7,1 Pe 1:12,2 Pe 2:3,2 Pe 2:17,2 Pe 3:13,Jud 13,Re 7:2
ᾧ	ὅς	neu	dat	sg	pronoun	Mk 4:24,Lk 5:34,Lk 6:38,Jn 5:7,Jn 13:5,Jn 17:11,Jn 17:12,Jn 19:41,Ac 4:12,Ac 6:10,Ac 7:7,Ac 7:16,Ac 10:12,Ac 20:28,Ro 2:1,Ro 5:12,Ro 8:3,Ro 8:15,Ro 14:21,Ro 14:22,Ro 16:2,1 Co 7:24,1 Co 15:1,2 Co 5:4,2 Co 11:12,2 Co 11:21,Ga 3:19,Eph 4:30,Php 3:12,Php 4:10,2 Ti 2:9,Heb 2:18,Heb 6:17,Heb 10:10,Heb 10:29,1 Pe 2:12,1 Pe 3:16,1 Pe 3:19,1 Pe 4:4,2 Pe 2:19,Re 18:6
οὓς	ὅς	mas	acc	pl	pronoun	Mt 22:10,Mk 2:26,Mk 3:13,Mk 3:14,Mk 12:5,Mk 12:5,Mk 13:20,Lk 6:4,Lk 6:13,Lk 11:27,Lk 12:37,Lk 13:4,Lk 24:17,Lk 24:44,Jn 5:21,Jn 10:35,Jn 17:6,Jn 18:9,Ac 1:2,Ac 1:7,Ac 5:25,Ac 6:3,Ac 6:6,Ac 7:43,Ac 15:17,Ac 17:7,Ac 19:25,Ac 24:19,Ac 25:16,Ac 26:17,Ac 27:44,Ac 27:44,Ac 28:15,Ro 8:29,Ro 8:30,Ro 8:30,Ro 8:30,1 Co 10:11,1 Co 12:28,1 Co 16:3,Ga 4:19,Php 3:18,1 Ti 1:20,Tt 1:11,Heb 6:7,2 Pe 2:2,2 Jn 1,3 Jn 6,Jud 22,Jud 23,Jud 23,Re 1:20
ἧς	ὅς	fem	gen	sg	pronoun	Mt 1:16,Mt 24:38,Mk 7:25,Mk 16:9,Lk 1:20,Lk 7:45,Lk 8:2,Lk 17:27,Jn 11:2,Ac 1:2,Ac 1:22,Ac 1:25,Ac 3:25,Ac 7:17,Ac 16:14,Ac 20:18,Ac 24:11,Ac 24:21,Ac 26:7,2 Co 1:4,2 Co 10:8,Eph 1:6,Eph 1:8,Eph 4:1,Col 1:6,Col 1:9,Col 1:25,2 Th 1:5,1 Ti 6:10,Heb 2:5,Heb 6:8,Heb 6:10,Heb 7:13,Heb 7:19,Heb 9:20,Heb 11:4,Heb 11:7,Heb 11:10,Heb 11:15,Heb 11:29,Heb 12:8,Heb 12:19,Heb 12:28,Jas 2:5,1 Pe 1:10,1 Pe 3:6,1 Pe 4:11,2 Pe 3:4,Re 17:2
Οὓς	ὅς	mas	acc	pl	pronoun	Ro 9:24
ὧν	ὅς	neu	gen	pl	pronoun	Mt 6:8,Lk 3:19,Lk 9:36,Lk 12:3,Lk 15:16,Lk 19:44,Lk 23:14,Lk 23:41,Jn 7:31,Jn 13:29,Jn 21:10,Ac 1:1,Ac 3:21,Ac 7:45,Ac 8:24,Ac 10:39,Ac 12:23,Ac 13:38,Ac 15:29,Ac 21:19,Ac 21:24,Ac 22:10,Ac 22:15,Ac 24:8,Ac 24:13,Ac 25:11,Ac 25:18,Ac 26:2,Ac 26:16,Ac 26:16,Ac 26:22,Ro 15:18,1 Co 7:1,2 Co 1:6,Eph 3:20,Heb 5:8,Heb 9:5,Heb 13:11,Jud 15,Jud 15
ὅ	ὅς	neu	acc	sg	pronoun	Mk 6:23,Lk 10:35,Jn 2:5,Jn 8:25,Jn 14:13,Jn 15:16,Ac 9:6,Ac 21:23,1 Co 10:15,1 Co 16:2,Col 3:17
ὅς	ὅς	mas	nom	sg	pronoun	Lk 2:11,Ro 1:25,Ro 4:16,Ro 5:14,Ro 8:32,Ro 16:5,1 Co 3:11,1 Co 4:17,2 Co 4:4,Ga 3:16,Eph 4:15,Col 1:7,Col 1:15,Col 1:18,Col 2:10,Col 4:9,1 Ti 4:10,1 Pe 3:22,Re 20:2
ὃ	ὅς	neu	nom	sg	pronoun	Mt 8:4,Mt 10:26,Mt 10:26,Mt 10:27,Mt 10:27,Mt 12:2,Mt 12:4,Mt 12:36,Mt 13:8,Mt 13:8,Mt 13:8,Mt 13:12,Mt 13:23,Mt 13:23,Mt 13:23,Mt 13:32,Mt 16:19,Mt 19:6,Mt 20:4,Mt 20:15,Mt 20:22,Mt 25:29,Mt 26:13,Mt 26:50,Mt 27:60,Mk 4:4,Mk 5:33,Mk 7:15,Mk 15:46,Lk 5:3,Lk 6:2,Lk 8:5,Lk 8:17,Lk 8:17,Lk 12:2,Lk 12:2,Jn 1:3,Jn 1:9,Jn 1:38,Jn 1:42,Jn 9:7,Jn 10:29,Jn 15:26,Jn 19:17,Jn 20:7,Jn 20:16,Ro 14:23,Ga 1:7,Eph 3:5,Php 2:5,Col 2:14,1 Ti 2:10,1 Ti 4:14,Tt 1:3,Jas 4:5,1 Pe 3:21,1 Jn 4:2,1 Jn 4:3,Re 5:13,Re 17:11
Ἣν	ὅς	fem	acc	sg	pronoun	Eph 1:20
Ὃς	ὅς	mas	nom	sg	pronoun	Mt 18:6,Mk 9:41,Ro 4:18,Ro 14:5
ἥν	ὅς	fem	acc	sg	pronoun	Ga 1:23,1 Ti 1:19,1 Ti 6:21
ἣ	ὅς	fem	nom	sg	pronoun	Lk 2:37,Lk 10:39,Ac 9:36
ὃ	ὅς	neu	acc	sg	pronoun	Mt 14:7,Mt 15:5,Mt 16:19,Mk 2:24,Mk 4:25,Mk 6:22,Mk 7:11,Mk 10:9,Mk 10:35,Mk 10:38,Mk 10:38,Mk 10:39,Mk 10:39,Mk 11:23,Mk 13:11,Mk 13:37,Mk 14:8,Mk 14:9,Lk 2:15,Lk 2:31,Lk 2:50,Lk 5:25,Lk 6:3,Lk 8:18,Lk 9:33,Lk 11:6,Lk 12:3,Lk 14:22,Lk 17:10,Lk 19:21,Lk 19:21,Lk 19:22,Lk 19:22,Lk 19:26,Lk 22:60,Jn 3:11,Jn 3:11,Jn 3:32,Jn 4:5,Jn 4:14,Jn 4:22,Jn 4:22,Jn 4:38,Jn 6:14,Jn 6:37,Jn 6:39,Jn 7:39,Jn 13:7,Jn 13:27,Jn 14:17,Jn 14:26,Jn 15:7,Jn 16:17,Jn 16:18,Jn 17:2,Jn 17:4,Jn 17:24,Jn 18:11,Jn 19:22,Ac 2:33,Ac 3:6,Ac 5:32,Ac 10:17,Ac 10:37,Ac 11:30,Ac 13:2,Ac 13:41,Ac 14:11,Ac 14:26,Ac 17:23,Ac 23:19,Ac 26:10,Ro 1:2,Ro 4:21,Ro 6:10,Ro 6:10,Ro 7:15,Ro 7:15,Ro 7:15,Ro 7:16,Ro 7:19,Ro 7:19,Ro 7:20,Ro 8:24,Ro 8:25,Ro 9:21,Ro 9:21,Ro 10:8,Ro 11:7,Ro 12:3,1 Co 3:14,1 Co 4:7,1 Co 6:18,1 Co 7:36,1 Co 10:13,1 Co 10:16,1 Co 11:23,1 Co 15:1,1 Co 15:1,1 Co 15:3,1 Co 15:36,1 Co 15:37,2 Co 2:10,2 Co 11:4,2 Co 11:4,2 Co 11:17,2 Co 12:6,2 Co 12:13,Ga 1:8,Ga 1:9,Ga 2:2,Ga 2:10,Ga 2:20,Ga 6:7,Eph 3:4,Php 3:16,Col 1:29,Col 3:23,Col 3:25,Col 4:3,2 Th 1:11,2 Th 2:14,1 Ti 1:11,1 Ti 2:7,2 Ti 1:11,2 Ti 2:7,Heb 8:3,Heb 9:7,1 Pe 2:8,1 Jn 1:1,1 Jn 1:1,1 Jn 1:1,1 Jn 1:3,1 Jn 2:24,1 Jn 2:24,1 Jn 2:27,1 Jn 3:22,1 Jn 4:3,1 Jn 5:15,3 Jn 5,Re 1:11,Re 2:17,Re 2:25,Re 3:11,Re 13:2,Re 17:8,Re 19:12
αἷς	ὅς	fem	dat	pl	pronoun	Mt 11:20,Mt 27:56,Mk 15:40,Lk 1:25,Lk 13:14,Lk 21:6,Lk 23:29,Ac 15:36,Ac 24:18,Eph 2:2,2 Th 1:4,Heb 10:32,2 Pe 3:1,2 Pe 3:16
οὗ	ὅς	neu	gen	sg	pronoun	Mt 18:19,Mk 14:32,Lk 4:18,Lk 4:29,Lk 7:47,Lk 13:7,Lk 13:21,Lk 13:25,Lk 15:8,Lk 22:18,Lk 24:21,Lk 24:49,Jn 4:14,Jn 13:38,Ac 3:15,Ac 19:40,Ac 27:33,1 Co 6:19,1 Co 10:30,1 Co 15:2,Ga 3:19,Ga 4:19,Eph 3:7,Eph 6:20,Heb 3:13,Heb 13:10,1 Jn 3:24,Re 2:25,Re 13:12,Re 16:18
ὅ	ὅς	neu	nom	sg	pronoun	Mt 1:23,Mt 27:33,Mk 3:17,Mk 5:41,Mk 7:11,Mk 7:34,Mk 12:42,Mk 15:16,Mk 15:22,Mk 15:34,Mk 15:42,Jn 1:41,Ac 1:12,Ac 4:36,1 Co 15:10,Eph 1:14,Eph 5:5,Eph 6:17,Col 1:24,Col 1:27,Col 3:14,2 Th 3:17,2 Ti 1:6,Heb 7:2,1 Pe 3:4,1 Jn 2:8,Re 2:7,Re 20:12,Re 21:8,Re 21:17
Ὃ	ὅς	neu	acc	sg	pronoun	2 Co 11:12
