Result	Lemma	Tense	Voice	Mood	Person	Number	Reference
φάγε	ἐσθίω	aor	actv	imperative	2p	sg	Lk 12:19,Jn 4:31,Ac 10:13,Ac 11:7
ἐσθιόντων	ἐσθίω	pres	actv	participle	—	pl	Mt 26:21,Mk 14:18,Mk 14:22
φάγεσαι	ἐσθίω	futr	mid	indicative	2p	sg	Lk 17:8
φάγωσιν	ἐσθίω	aor	actv	subjunctive	3p	pl	Mt 15:32,Mk 6:36,Mk 8:1,Mk 8:2,Jn 6:5,Jn 18:28
ἔφαγον	ἐσθίω	aor	actv	indicative	3p	pl	Mt 12:4,Mt 14:20,Mt 15:37,Mk 6:42,Mk 8:8,Lk 9:17,Jn 6:23,Jn 6:31,Jn 6:49,Jn 6:58,1 Co 10:3
ἐσθίει	ἐσθίω	pres	actv	indicative	3p	sg	1 Co 11:29,Mt 9:11,Mt 15:27,Mk 2:16,Mk 2:16,Ro 14:2,Ro 14:6,Ro 14:6,1 Co 9:7,1 Co 9:7
ἐσθίουσιν	ἐσθίω	pres	actv	indicative	3p	pl	Mk 7:2,Mk 7:3,Mk 7:4,Mk 7:5,Mk 7:28,Lk 5:33,1 Co 8:7,1 Co 9:13
φαγεῖν	ἐσθίω	aor	actv	infinitive	—	—	Lk 14:1,Mt 12:4,Mt 14:16,Mt 15:20,Mt 25:35,Mt 25:42,Mt 26:17,Mk 2:26,Mk 3:20,Mk 5:43,Mk 6:31,Mk 6:37,Mk 6:37,Lk 6:4,Lk 8:55,Lk 9:13,Lk 22:15,Jn 4:32,Jn 4:33,Jn 6:31,Jn 6:52,Ac 23:12,Ac 23:21,Ro 14:2,Ro 14:21,1 Co 9:4,1 Co 10:7,1 Co 11:20,1 Co 11:21,1 Co 11:33,Heb 13:10,Re 2:7,Re 2:14,Re 2:20
ἔφαγεν	ἐσθίω	aor	actv	indicative	3p	sg	Mk 2:26,Lk 4:2,Lk 6:4,Lk 24:43,Ac 9:9
ἔφαγον	ἐσθίω	aor	actv	indicative	1p	sg	Ac 10:14,Re 10:10
φάγετε	ἐσθίω	aor	actv	imperative	2p	pl	Mt 26:26
ἔσθητε	ἐσθίω	pres	actv	subjunctive	2p	pl	Lk 22:30
φάγητε	ἐσθίω	aor	actv	subjunctive	2p	pl	Mt 6:25,Lk 12:22,Lk 12:29,Jn 6:53,Re 19:18
ἐσθίετε	ἐσθίω	pres	actv	imperative	2p	pl	Lk 10:8,1 Co 10:25,1 Co 10:27,1 Co 10:28
ἐσθίετε	ἐσθίω	pres	actv	indicative	2p	pl	Lk 5:30,1 Co 10:31
ἐσθιέτω	ἐσθίω	pres	actv	imperative	3p	sg	1 Co 11:28,1 Co 11:34,2 Th 3:10
ἐσθίωσιν	ἐσθίω	pres	actv	subjunctive	3p	pl	2 Th 3:12,Mt 15:2
φαγόντες	ἐσθίω	aor	actv	participle	—	pl	Mk 6:44,Lk 15:23
ἤσθιον	ἐσθίω	impft	actv	indicative	3p	pl	Lk 6:1,Lk 15:16,Lk 17:27,Lk 17:28
ἐσθίοντι	ἐσθίω	pres	actv	participle	—	sg	Ro 14:20
ἐσθίῃ	ἐσθίω	pres	actv	subjunctive	3p	sg	Mt 24:49,1 Co 11:27
φάγοι	ἐσθίω	aor	actv	optative	3p	sg	Mk 11:14
ἐσθίητε	ἐσθίω	pres	actv	subjunctive	2p	pl	1 Co 11:26
φάγωμεν	ἐσθίω	aor	actv	subjunctive	1p	pl	Mt 6:31,Lk 22:8,1 Co 8:8,1 Co 8:8,1 Co 15:32
φάγω	ἐσθίω	aor	actv	subjunctive	1p	sg	Lk 17:8,Mk 14:14,Lk 22:11,Lk 22:16,1 Co 8:13
ἐσθίοντες	ἐσθίω	pres	actv	participle	—	pl	Mt 14:21,Mt 15:38,Lk 10:7,1 Co 10:18
ἐφάγομεν	ἐσθίω	aor	actv	indicative	1p	pl	Lk 13:26,2 Th 3:8
φάγῃς	ἐσθίω	aor	actv	subjunctive	2p	sg	Mk 14:12
ἐσθίων	ἐσθίω	pres	actv	participle	—	sg	Mt 11:18,Lk 7:33,Mt 11:19,Mk 1:6,Mk 14:18,Lk 7:34,Ro 14:3,Ro 14:3,Ro 14:6,Ro 14:6,1 Co 11:29
φάγεται	ἐσθίω	futr	mid	indicative	3p	sg	Lk 14:15,Jas 5:3
ἐσθίειν	ἐσθίω	pres	actv	infinitive	—	—	1 Co 11:22,Mt 12:1,Lk 12:45,Ac 27:35,1 Co 8:10,Heb 10:27
φάγῃ	ἐσθίω	aor	actv	subjunctive	3p	sg	Lk 7:36,Jn 6:50,Jn 6:51,Ro 14:23
φάγονται	ἐσθίω	futr	mid	indicative	3p	pl	Re 17:16
ἐφάγετε	ἐσθίω	aor	actv	indicative	2p	pl	Jn 6:26
Ἐσθιόντων	ἐσθίω	pres	actv	participle	—	pl	Mt 26:26
ἐσθίοντα	ἐσθίω	pres	actv	participle	—	sg	Ro 14:3,Ro 14:3
