Result	Lemma	Tense	Voice	Mood	Person	Number	Reference
ἐγένετο	γίνομαι	aor	mid	indicative	3p	sg	Ac 1:19,Ac 7:13,Ac 9:42,Ac 19:17,Re 2:8,Mt 7:28,Mt 8:24,Mt 8:26,Mt 9:10,Mt 11:1,Mt 11:26,Mt 13:53,Mt 17:2,Mt 19:1,Mt 21:42,Mt 26:1,Mt 27:45,Mt 28:2,Mk 1:4,Mk 1:9,Mk 1:11,Mk 2:23,Mk 2:27,Mk 4:4,Mk 4:10,Mk 4:22,Mk 4:39,Mk 5:16,Mk 6:14,Mk 9:3,Mk 9:7,Mk 9:7,Mk 9:26,Mk 11:19,Mk 12:11,Mk 15:33,Lk 1:23,Lk 1:41,Lk 1:44,Lk 1:59,Lk 1:65,Lk 2:2,Lk 2:13,Lk 2:15,Lk 2:42,Lk 2:46,Lk 3:2,Lk 4:25,Lk 4:36,Lk 5:12,Lk 5:17,Lk 6:13,Lk 6:16,Lk 6:49,Lk 7:11,Lk 8:1,Lk 8:24,Lk 9:18,Lk 9:29,Lk 9:33,Lk 9:34,Lk 9:35,Lk 10:21,Lk 11:1,Lk 11:14,Lk 11:30,Lk 13:19,Lk 14:1,Lk 15:14,Lk 16:22,Lk 17:11,Lk 17:14,Lk 17:26,Lk 17:28,Lk 19:9,Lk 19:15,Lk 19:29,Lk 20:1,Lk 22:14,Lk 22:44,Lk 22:66,Lk 23:44,Lk 24:4,Lk 24:15,Lk 24:19,Lk 24:21,Lk 24:30,Lk 24:31,Lk 24:51,Jn 1:3,Jn 1:3,Jn 1:10,Jn 1:14,Jn 1:17,Jn 1:28,Jn 2:1,Jn 5:9,Jn 6:16,Jn 6:21,Jn 7:43,Jn 10:19,Jn 10:35,Jn 19:36,Ac 2:2,Ac 5:5,Ac 5:11,Ac 6:1,Ac 7:29,Ac 7:31,Ac 7:40,Ac 8:8,Ac 9:3,Ac 9:37,Ac 10:10,Ac 10:10,Ac 10:13,Ac 10:16,Ac 10:25,Ac 11:10,Ac 11:26,Ac 11:28,Ac 12:18,Ac 14:5,Ac 15:39,Ac 16:26,Ac 19:10,Ac 19:34,Ac 20:3,Ac 20:37,Ac 21:1,Ac 21:5,Ac 21:30,Ac 21:35,Ac 23:7,Ac 23:9,Ac 27:27,Ac 27:39,Ac 27:42,Ac 27:44,Ac 28:8,Ro 7:13,Ro 11:34,1 Co 15:45,2 Co 1:19,1 Th 3:4,2 Ti 3:9,2 Ti 3:11,Heb 2:2,Heb 5:9,Heb 11:7,Re 6:12,Re 6:12,Re 6:12,Re 8:1,Re 8:7,Re 8:8,Re 8:11,Re 11:13,Re 11:15,Re 12:7,Re 12:10,Re 16:2,Re 16:3,Re 16:4,Re 16:10,Re 16:18,Re 16:18,Re 16:18,Re 16:19,Re 18:2
γεγονός	γίνομαι	perfect	actv	participle	—	sg	Lk 8:56,Lk 24:12
γίνεται	γίνομαι	pres	either middle or passive	indicative	3p	sg	1 Co 14:25,Mt 9:16,Mt 12:45,Mt 13:22,Mt 13:32,Mt 26:2,Mt 27:24,Mk 2:15,Mk 2:21,Mk 4:11,Mk 4:19,Mk 4:32,Mk 4:37,Mk 11:23,Lk 11:26,Lk 12:54,Lk 12:55,Lk 15:10,Lk 20:33,Ro 11:6,1 Ti 6:4,Heb 7:12,Heb 7:18,Heb 9:22,Heb 11:6,2 Pe 1:20
γενήσεσθε	γίνομαι	futr	mid	indicative	2p	pl	Jn 8:33
γένοιτό	γίνομαι	aor	mid	optative	3p	sg	Lk 1:38
γινομένη	γίνομαι	pres	either middle or passive	participle	—	sg	Ac 12:5
γίνου	γίνομαι	pres	either middle or passive	imperative	2p	sg	Lk 19:19,Jn 20:27,1 Ti 4:12,Re 2:10,Re 3:2
γινομένῃ	γίνομαι	pres	either middle or passive	participle	—	sg	1 Pe 4:12
γινομένης	γίνομαι	pres	either middle or passive	participle	—	sg	Ac 23:10
γενήσονται	γίνομαι	futr	mid	indicative	3p	pl	Jn 10:16
γέγονας	γίνομαι	perfect	actv	indicative	2p	sg	Jn 5:14,Jn 6:25,Jas 2:11
γενήσεται	γίνομαι	futr	mid	indicative	3p	sg	1 Co 3:13,Mt 18:19,Mt 21:21,Lk 8:17,Jn 4:14,Jn 15:7,Jn 16:20,1 Co 4:5,1 Co 15:54
γεγονυῖα	γίνομαι	perfect	actv	participle	—	sg	1 Ti 5:9
γινόμενον	γίνομαι	pres	either middle or passive	participle	—	sg	Jn 6:19,Lk 23:8,Ac 12:9,Ac 28:6
γέγονα	γίνομαι	perfect	actv	indicative	1p	sg	1 Co 9:22,1 Co 13:1,1 Co 13:11,Ga 4:16
γενόμενα	γίνομαι	aor	mid	participle	—	pl	Mt 18:31,Mt 18:31,Mt 27:54,Mt 28:11,Lk 4:23,Lk 23:48,Lk 24:18
ἐγεγόνει	γίνομαι	pluperfect	actv	indicative	3p	sg	Jn 6:17
γεγόνατε	γίνομαι	perfect	actv	indicative	2p	pl	Heb 5:11,Heb 5:12
γενηθέντας	γίνομαι	aor	pass	participle	—	pl	Heb 6:4
