Result	Lemma	Tense	Voice	Mood	Person	Number	Reference
βλέπετε	βλέπω	pres	actv	indicative	2p	pl	Mt 11:4,Mt 13:17,Mt 24:2,Mk 8:18,Lk 10:23,Lk 10:24,Ac 2:33,2 Co 10:7,Heb 10:25
βλέπετε	βλέπω	pres	actv	imperative	2p	pl	Mt 24:4,Mk 4:24,Mk 8:15,Mk 12:38,Mk 13:5,Mk 13:23,Lk 21:8,Ac 13:40,1 Co 8:9,1 Co 10:18,1 Co 16:10,Ga 5:15,Php 3:2,Php 3:2,2 Jn 8
βλέψον	βλέπω	aor	actv	imperative	2p	sg	Ac 3:4
βλέποντες	βλέπω	pres	actv	participle	—	pl	Mt 13:13,Mt 13:14,Mk 4:12,Lk 8:10,Lk 10:23,Lk 21:30,Jn 9:39,Jn 9:39,Ac 4:14,Ac 28:26,Re 18:18
βλέποντας	βλέπω	pres	actv	participle	—	pl	Mt 15:31,Mt 15:31
Βλέπετε	βλέπω	pres	actv	indicative	2p	pl	1 Co 1:26
ἔβλεπεν	βλέπω	impft	actv	indicative	3p	sg	Ac 9:8
βλέπω	βλέπω	pres	actv	indicative	1p	sg	Mk 8:24,Jn 9:15,Jn 9:25,Ro 7:23,2 Co 7:8
βλέπωσιν	βλέπω	pres	actv	subjunctive	3p	pl	Mk 4:12,Lk 8:10,Lk 8:16,Lk 11:33,Jn 9:39,Re 16:15,Re 18:9
βλέπουσιν	βλέπω	pres	actv	indicative	3p	pl	Mt 13:13,Mt 13:16,Mt 18:10,Jn 21:9,Re 11:9
βλεπομένη	βλέπω	pres	pass	participle	—	sg	Ro 8:24
βλεπομένων	βλέπω	pres	pass	participle	—	pl	Heb 11:1,Heb 11:7
βλέπῃς	βλέπω	pres	actv	subjunctive	2p	sg	Re 3:18
βλεπέτω	βλέπω	pres	actv	imperative	3p	sg	1 Co 3:10,1 Co 10:12
βλέπῃ	βλέπω	pres	actv	subjunctive	3p	sg	Jn 5:19
ἔβλεπον	βλέπω	impft	actv	indicative	3p	pl	Jn 13:22
βλέψετε	βλέπω	futr	actv	indicative	2p	pl	Mt 13:14,Ac 28:26
βλέπει	βλέπω	pres	actv	indicative	3p	sg	Lk 24:12,Jn 1:29,Jn 9:19,Jn 9:21,Jn 11:9,Jn 20:1,Jn 20:5,Jn 21:20,Ro 8:24,2 Co 12:6
βλέπομεν	βλέπω	pres	actv	indicative	1p	pl	Jn 9:41,Ro 8:25,1 Co 13:12,Heb 2:9,Heb 3:19
βλέποντα	βλέπω	pres	actv	participle	—	sg	Ac 27:12
Βλέπετε	βλέπω	pres	actv	imperative	2p	pl	Mk 13:9,Mk 13:33,Lk 8:18,Eph 5:15,Php 3:2,Col 2:8,Heb 3:12,Heb 12:25
βλέπε	βλέπω	pres	actv	imperative	2p	sg	Col 4:17
ἔβλεψα	βλέπω	aor	actv	indicative	1p	sg	Re 22:8
βλέπεις	βλέπω	pres	actv	indicative	2p	sg	Mt 22:16,Mk 12:14,Mt 7:3,Mk 5:31,Mk 8:23,Mk 13:2,Lk 6:41,Lk 7:44,Jas 2:22,Re 1:11
βλέπειν	βλέπω	pres	actv	infinitive	—	—	Mt 12:22,Lk 7:21,Ac 8:6,Ac 12:9,Ro 11:8,Ro 11:10,Re 1:12,Re 5:3,Re 5:4,Re 9:20
βλεπόμενον	βλέπω	pres	pass	participle	—	sg	Heb 11:3
βλεπόμενα	βλέπω	pres	pass	participle	—	pl	2 Co 4:18,2 Co 4:18,2 Co 4:18,2 Co 4:18
βλεπόντων	βλέπω	pres	actv	participle	—	pl	Ac 1:9,Re 17:8
βλέπων	βλέπω	pres	actv	participle	—	sg	Lk 9:62,Mt 5:28,Mt 6:4,Mt 6:6,Mt 6:18,Mt 14:30,Lk 6:42,Jn 9:7,Ac 9:9,Ac 13:11,Col 2:5,Re 22:8
