Result	Lemma	Tense	Voice	Mood	Person	Number	Reference
ἀκούειν	ἀκούω	pres	actv	infinitive	—	—	Mt 24:6,Mk 4:9,Mk 4:23,Mk 4:33,Mk 7:37,Lk 5:1,Lk 5:15,Lk 8:8,Lk 14:35,Lk 15:1,Lk 21:38,Lk 23:8,Jn 6:60,Jn 8:43,Jn 9:27,Ac 4:19,Ac 8:6,Ac 17:21,Ro 11:8,Re 9:20
ἀκούωσιν	ἀκούω	pres	actv	subjunctive	3p	pl	Mk 4:12
ἠκούσαμεν	ἀκούω	aor	actv	indicative	1p	pl	Mk 14:58,Lk 4:23,Lk 22:71,Jn 12:34,Ac 4:20,Ac 15:24,Ac 19:2,Ac 21:12,Col 1:9,2 Pe 1:18
Ἀκούσαντες	ἀκούω	aor	actv	participle	—	pl	Ac 2:37,Ac 8:14,Ac 11:18,Ac 14:14,Ac 17:32,Ac 19:28
ἀκοῦσαι	ἀκούω	aor	actv	infinitive	—	—	Mt 12:42,Mt 13:17,Lk 6:18,Lk 10:24,Lk 11:31,Ac 10:22,Ac 10:33,Ac 13:7,Ac 13:44,Ac 15:7,Ac 19:10,Ac 22:14,Ac 25:22,Ac 28:22,Jas 1:19
ἀκούεις	ἀκούω	pres	actv	indicative	2p	sg	Mt 21:16,Mt 27:13,Jn 3:8,Jn 11:42
ἀκούσασα	ἀκούω	aor	actv	participle	—	sg	Mk 5:27,Mk 7:25
ἀκούετε	ἀκούω	pres	actv	indicative	2p	pl	Mt 10:27,Mt 11:4,Mt 13:17,Mk 4:24,Mk 8:18,Lk 8:18,Lk 10:24,Jn 8:47,Jn 10:20,Jn 14:24,Ac 2:33,Ac 19:26,Ga 4:21,Php 1:30
ἀκηκόασιν	ἀκούω	perfect	actv	indicative	3p	pl	Ro 15:21
ἀκούοντες	ἀκούω	pres	actv	participle	—	pl	Lk 8:21,Mt 13:13,Mk 3:8,Mk 4:12,Mk 6:2,Lk 2:47,Lk 4:28,Lk 8:10,Lk 11:28,Ac 9:7,Ac 9:21,Ac 18:8,Ga 1:23,Re 1:3
ἀκηκοότας	ἀκούω	perfect	actv	participle	—	pl	Jn 18:21
ἀκούουσιν	ἀκούω	pres	actv	indicative	3p	pl	Mt 11:5,Mt 13:13,Mt 13:16,Mk 4:20,Lk 7:22,Lk 16:31,Jn 10:27
Ἀκουόντων	ἀκούω	pres	actv	participle	—	pl	Lk 19:11
ἄκουε	ἀκούω	pres	actv	imperative	2p	sg	Mk 12:29
ἀκουέτω	ἀκούω	pres	actv	imperative	3p	sg	Mt 11:15,Mt 13:9,Mt 13:43,Mk 4:9,Mk 4:23,Lk 8:8,Lk 14:35
ἀκηκόατε	ἀκούω	perfect	actv	indicative	2p	pl	Jn 5:37,1 Jn 4:3
ἀκουσάντων	ἀκούω	aor	actv	participle	—	pl	Jn 1:40,Ac 4:4,Heb 2:3
ἤκουσαν	ἀκούω	aor	actv	indicative	3p	pl	Mt 13:15,Mt 13:17,Mk 11:18,Lk 1:58,Lk 2:20,Lk 10:24,Jn 1:37,Jn 4:1,Jn 7:32,Jn 9:40,Jn 10:8,Jn 12:18,Ac 5:24,Ac 22:9,Ac 28:27,Ro 10:14,Ro 10:18,Re 11:12
ἀκούεται	ἀκούω	pres	pass	indicative	3p	sg	1 Co 5:1
ἀκούσατέ	ἀκούω	aor	actv	imperative	2p	pl	Mk 7:14,Ac 15:13,Ac 22:1
ἀκουόντων	ἀκούω	pres	actv	participle	—	pl	2 Ti 2:14
