Result	Lemma	Tense	Voice	Mood	Person	Number	Reference
εἴχοσαν	ἔχω	impft	actv	indicative	3p	pl	Jn 15:22,Jn 15:24
ἔχετε	ἔχω	pres	actv	indicative	2p	pl	Mt 6:8,Mk 4:40,Mk 11:25,1 Th 4:9,1 Th 5:1,Heb 5:12,Heb 10:36,1 Jn 2:27,Mt 5:46,Mt 6:1,Mt 15:34,Mt 16:8,Mt 26:11,Mt 26:11,Mt 27:65,Mk 6:38,Mk 8:5,Mk 8:17,Mk 8:17,Mk 14:7,Mk 14:7,Lk 17:6,Jn 5:38,Jn 5:42,Jn 6:53,Jn 12:8,Jn 12:8,Jn 12:35,Jn 12:36,Jn 16:22,Jn 16:33,Jn 21:5,Ro 6:22,1 Co 6:7,1 Co 6:19,1 Co 11:22,Php 3:17,Col 1:4,Col 4:1,1 Th 3:6,Jas 3:14,Jas 4:2,Jas 4:2,1 Jn 2:20,1 Jn 5:13,Re 2:25
ἔσχον	ἔχω	aor	actv	indicative	3p	pl	Mt 22:28,Mk 12:23,Lk 20:33
ἔχοντα	ἔχω	pres	actv	participle	—	singular, plural	Mt 18:8,Mt 18:9
σχῶμεν	ἔχω	aor	actv	subjunctive	1p	pl	Mt 21:38,1 Jn 2:28
ἔσχομεν	ἔχω	aor	actv	indicative	1p	pl	1 Th 1:9
ἔχω	ἔχω	pres	actv	subjunctive	1p	sg	1 Co 13:1,1 Co 13:2,1 Co 13:2,1 Co 13:2,1 Co 13:3
ἔχοντα	ἔχω	pres	actv	participle	—	pl	Mt 9:36,Mk 6:34,Ro 2:14,Col 2:23,1 Ti 5:25,Re 8:9
εἶχεν	ἔχω	impft	actv	indicative	3p	sg	Jn 2:25,Ac 2:45,Ac 4:35,Mt 3:4,Mt 13:5,Mt 13:46,Mt 21:28,Mk 4:5,Mk 5:3,Mk 7:25,Mk 12:6,Mk 12:44,Mk 16:8,Lk 15:11,Lk 16:1,Lk 21:4,Jn 13:29,Ac 9:31,Ac 18:18,Heb 6:13,Re 13:11,Re 21:15
ἔχουσα	ἔχω	pres	actv	participle	—	sg	Mt 1:18,Ro 9:10,Re 12:2,Mt 26:7,Mk 14:3,Lk 13:11,Lk 15:8,Jn 5:2,1 Ti 4:8,Heb 9:4,Heb 9:4,Re 17:4,Re 17:18,Re 21:12,Re 21:12
ἔχωμεν	ἔχω	pres	actv	subjunctive	1p	pl	Ro 15:4,Heb 6:18,Heb 12:28,1 Jn 4:17
ἔχουσαι	ἔχω	pres	actv	participle	—	pl	1 Ti 5:12,Re 9:19,Re 14:1
ἔσχον	ἔχω	aor	actv	indicative	1p	sg	Phm 7,Jud 3
ἕξετε	ἔχω	futr	actv	indicative	2p	pl	Re 2:10
ἔσχεν	ἔχω	aor	actv	indicative	3p	sg	Mk 2:25,Mk 14:8,Jn 4:52,Ga 4:22,2 Pe 2:16
ἐχομένας	ἔχω	pres	middle, passive	participle	—	pl	Mk 1:38
εἶχον	ἔχω	impft	actv	indicative	1p	sg	Lk 19:20,Jn 17:5,3 Jn 13
