Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
ποιοῦντι	ποιέω	pres	actv	participle	—	mas	dat	sg	verb	Jas 4:17
ἐποιήσατε	ποιέω	aor	actv	indicative	2p	—	—	pl	verb	Mt 25:40,Mt 25:40,Mt 25:45,Mt 25:45,Lk 19:46,Ac 4:7,Ac 7:43,Php 4:14
ποιούμενος	ποιέω	pres	mid	participle	—	mas	nom	sg	verb	Lk 13:22,Eph 1:16,Php 1:4,Phm 4,Jud 3
ποιοῦν	ποιέω	pres	actv	participle	—	neu	nom	sg	verb	Mt 3:10,Mt 7:19,Lk 3:9,Lk 6:43,Lk 6:43,Re 22:2
ποιησάμενοι	ποιέω	aor	mid	participle	—	mas	nom	pl	verb	Ac 23:13
ποιῇ	ποιέω	pres	actv	subjunctive	3p	—	—	sg	verb	Jn 5:19,Jn 9:31,Re 13:13
ποιήσω	ποιέω	aorist, future	actv	subjunctive, indicative	1p	—	—	sg	verb	Mt 27:22
ποιήσας	ποιέω	aor	actv	participle	—	mas	nom	sg	verb	Lk 6:49,Lk 10:25,Lk 10:37,Lk 11:40,Lk 12:47,Lk 12:48,Lk 18:18,Jn 2:15,Jn 5:11,Jn 5:15,Ac 4:24,Ac 7:36,Ac 17:24,Ac 18:23,Ac 20:3,Ac 28:17,Ro 10:5,Ga 3:12,Eph 2:14,Re 19:20
ἐποίησαν	ποιέω	aor	actv	indicative	3p	—	—	pl	verb	Mt 17:12,Mt 20:12,Mt 21:36,Mt 26:19,Mt 28:15,Mk 6:30,Mk 9:13,Lk 9:10,Lk 9:15,Jn 12:2,Jn 12:16,Jn 19:23,Jn 19:24,Ac 8:2,Ac 11:30
ποιήσω	ποιέω	futr	actv	indicative	1p	—	—	sg	verb	Mt 4:19,Mt 17:4,Mk 1:17,Lk 12:18,Lk 16:4,Jn 14:13,Jn 14:14,2 Co 11:12,Re 3:9,Re 3:12
ποιήσαντες	ποιέω	aor	actv	participle	—	mas	nom	pl	verb	Mt 21:6,Mk 15:1,Lk 5:6,Jn 5:29,Ac 15:33,Ac 23:12,Heb 10:36
ποιεῖσθαι	ποιέω	pres	pass	infinitive	—	—	—	—	verb	1 Ti 2:1
ποιεῖται	ποιέω	pres	mid	indicative	3p	—	—	sg	verb	Eph 4:16
ποιοῦμεν	ποιέω	pres	actv	indicative	1p	—	—	pl	verb	Jn 11:47,1 Jn 1:6,1 Jn 1:10,1 Jn 3:22
ποιοῦσιν	ποιέω	pres	actv	participle	—	mas	dat	pl	verb	Jas 3:18
ἐποίει	ποιέω	impft	actv	indicative	3p	—	—	sg	verb	Mk 3:8,Mk 15:8,Lk 9:43,Lk 14:16,Jn 2:23,Jn 5:16,Jn 6:2,Ac 6:8,Ac 8:6,Ac 9:36,Ac 9:39,Ac 16:18,Ac 19:11
ποίησόν	ποιέω	aor	actv	imperative	2p	—	—	sg	verb	Lk 15:19
ἐποίησα	ποιέω	aor	actv	indicative	1p	—	—	sg	verb	Jn 4:29,Jn 4:39,Jn 7:21,Jn 7:23,Jn 13:15,Jn 15:24,Ac 26:10,2 Co 11:7,1 Ti 1:13,Heb 8:9
ποιῶμεν	ποιέω	pres	actv	subjunctive	1p	—	—	pl	verb	Jn 6:28,1 Jn 5:2
ἐποιησάμην	ποιέω	aor	mid	indicative	1p	—	—	sg	verb	Ac 1:1
ἐποίουν	ποιέω	impft	actv	indicative	3p	—	—	pl	verb	Lk 6:23,Lk 6:26,Ac 15:3
ποιεῖτε	ποιέω	pres	actv	imperative	2p	—	—	pl	verb	Mt 3:3,Mt 7:12,Mt 23:3,Mk 1:3,Lk 3:4,Lk 6:27,Lk 6:31,Lk 22:19,Jn 2:16,1 Co 10:31,1 Co 11:24,1 Co 11:25,Eph 6:9,Php 2:14,Heb 12:13,Jas 2:12
ποίει	ποιέω	pres	actv	imperative	2p	—	—	sg	verb	Lk 10:28,Lk 10:37,Ro 13:3
ποιεῖσθαι	ποιέω	pres	mid	infinitive	—	—	—	—	verb	2 Pe 1:10,2 Pe 1:15
πεποιηκότος	ποιέω	perfect	actv	participle	—	mas	gen	sg	verb	Jn 12:37
πεποιήκεισαν	ποιέω	pluperfect	actv	indicative	3p	—	—	pl	verb	Mk 15:7
ποιοῦντι	ποιέω	pres	actv	participle	—	neu	dat	sg	verb	Mt 21:43
ποιησάμενος	ποιέω	aor	mid	participle	—	mas	nom	sg	verb	Ac 25:17,Heb 1:3
ποιοῦσιν	ποιέω	pres	actv	indicative	3p	—	—	pl	verb	Mt 5:46,Mt 5:47,Mt 6:2,Mt 12:2,Mt 23:3,Mt 23:5,Mk 2:24,Lk 6:33,Lk 23:31,Lk 23:34,Ro 1:32
ποιεῖτε	ποιέω	pres	actv	indicative	2p	—	—	pl	verb	Mt 5:47,Mt 21:13,Mt 23:15,Mk 7:13,Mk 11:3,Mk 11:5,Lk 6:2,Lk 6:46,Jn 8:38,Jn 8:41,Ac 14:15,Ac 21:13,1 Co 10:31,1 Th 4:10,1 Th 5:11,2 Th 3:4,Jas 2:8,2 Pe 1:19
ποιῶσιν	ποιέω	pres	actv	subjunctive	3p	—	—	pl	verb	Mt 7:12,Lk 6:31,Ro 2:14,Heb 13:17
πεποιήκατε	ποιέω	perfect	actv	indicative	2p	—	—	pl	verb	Mk 11:17
ποιησόμεθα	ποιέω	futr	mid	indicative	1p	—	—	pl	verb	Jn 14:23
ποιήσωσιν	ποιέω	aor	actv	subjunctive	3p	—	—	pl	verb	Mt 12:16,Mk 3:12,Lk 19:48,Jn 6:15
ἐποιήσαμεν	ποιέω	aor	actv	indicative	1p	—	—	pl	verb	Mt 7:22,Tt 3:5
ποιοῦντες	ποιέω	pres	actv	participle	—	mas	nom	pl	verb	Lk 8:21,Ac 19:14,Ac 25:3,Ga 6:9,Eph 2:3,Eph 6:6,2 Pe 1:10
ποιήσεις	ποιέω	futr	actv	indicative	2p	—	—	sg	verb	Phm 21,Heb 8:5,3 Jn 6
ποιήσασαν	ποιέω	aor	actv	participle	—	fem	acc	sg	verb	Mk 5:32
ποιήσῃς	ποιέω	aor	actv	subjunctive	2p	—	—	sg	verb	Mk 10:35
ποιήσῃ	ποιέω	aor	actv	subjunctive	3p	—	—	sg	verb	Mt 5:19,Mt 12:50,Mk 3:35,Lk 13:9,Lk 18:7,1 Co 6:18,Eph 6:8,Re 12:15,Re 13:15
ποιήσων	ποιέω	futr	actv	participle	—	mas	nom	sg	verb	Ac 24:17
ποιήσατε	ποιέω	aor	actv	imperative	2p	—	—	pl	verb	Mt 3:8,Mt 12:33,Mt 12:33,Mt 23:3,Lk 3:8,Lk 12:33,Lk 16:9,Jn 2:5,Jn 6:10,1 Co 16:1,Col 4:16
ἐποίησέν	ποιέω	aor	actv	indicative	3p	—	—	sg	verb	Lk 1:49,Jn 9:26,Ac 17:26
πεποιηκέναι	ποιέω	perfect	actv	infinitive	—	—	—	—	verb	Jn 12:18
ποιούμενοι	ποιέω	pres	mid	participle	—	mas	nom	pl	verb	1 Th 1:2
ποιήσαιεν	ποιέω	aor	actv	optative	3p	—	—	pl	verb	Lk 6:11
ποιήσαντι	ποιέω	aor	actv	participle	—	mas	dat	sg	verb	Heb 3:2,Jas 2:13,Re 14:7
πεποιηκώς	ποιέω	perfect	actv	participle	—	mas	nom	sg	verb	Ac 21:33,Jas 5:15
ποιοῦντα	ποιέω	pres	actv	participle	—	neu	nom	pl	verb	Re 16:14
ποιοῦμαι	ποιέω	pres	mid	indicative	1p	—	—	sg	verb	Ac 20:24,Ro 1:9
ποιῶν	ποιέω	pres	actv	participle	—	mas	nom	sg	verb	Mt 7:21,Mt 7:26,Lk 6:47,Jn 3:21,Jn 5:18,Jn 8:34,Jn 18:30,Jn 19:12,Ac 10:2,Ac 15:17,Ac 19:24,Ro 2:3,Ro 3:12,Ro 12:20,Eph 2:15,1 Ti 4:16,1 Ti 5:21,Heb 1:7,Heb 13:21,1 Jn 2:17,1 Jn 2:29,1 Jn 3:4,1 Jn 3:7,1 Jn 3:8,1 Jn 3:10,Re 21:27,Re 22:15
ποιήσωμεν	ποιέω	aor	actv	subjunctive	1p	—	—	pl	verb	Mk 9:5,Lk 3:10,Lk 3:12,Lk 3:14,Lk 9:33,Ac 2:37,Ac 4:16,Ro 3:8
ἐποιεῖτε	ποιέω	impft	actv	indicative	2p	—	—	pl	verb	Jn 8:39
ποιήσασθαι	ποιέω	aor	mid	infinitive	—	—	—	—	verb	Ro 15:26
ποίησον	ποιέω	aor	actv	imperative	2p	—	—	sg	verb	Mt 8:9,Lk 4:23,Lk 7:8,Jn 13:27,Ac 7:40,Ac 21:23,2 Ti 4:5,Re 2:5
ποιεῖς	ποιέω	pres	actv	indicative	2p	—	—	sg	verb	Mt 21:23,Mk 11:28,Lk 20:2,Jn 2:18,Jn 3:2,Jn 6:30,Jn 7:3,Jn 7:4,Jn 8:53,Jn 10:33,Jn 13:27,Jas 2:19,3 Jn 5
ἐποίησας	ποιέω	aor	actv	indicative	2p	—	—	sg	verb	Mt 20:12,Lk 2:48,Jn 18:35,Ac 10:33,Ro 9:20,Re 5:10
πεποίηκα	ποιέω	perfect	actv	indicative	1p	—	—	sg	verb	Jn 13:12,2 Co 11:25
ποιῇς	ποιέω	pres	actv	subjunctive	2p	—	—	sg	verb	Mt 6:2,Mk 11:28,Lk 14:12,Lk 14:13,Ro 13:4
ποιήσουσιν	ποιέω	futr	actv	indicative	3p	—	—	pl	verb	Jn 15:21,Jn 16:2,Jn 16:3,1 Co 15:29,Re 17:16
