Reference	Result	Lemma	Part of Speech	Adverb/particle Type
Mt 5:46,Mt 6:25,Mt 10:29,Mt 12:11,Mt 13:27,Mt 13:56,Mt 18:12,Mt 20:13,Lk 6:39,Lk 12:6	οὐχὶ	οὐχί	particle	interrogative, negative
Mt 5:47	οὐχὶ	οὐχί	particle	negative
Lk 4:22,Lk 14:28,Lk 14:31,Lk 15:8,Lk 17:8,Lk 17:17,Lk 22:27,Lk 23:39,Lk 24:26,Lk 24:32,Jn 11:9,Ac 5:4,Ac 7:50,Ro 3:29,1 Co 1:20,1 Co 3:3,1 Co 5:12,1 Co 8:10,1 Co 9:1,1 Th 2:19,Heb 1:14,Heb 3:17	οὐχὶ	οὐχί	particle	negative, interrogative
1 Co 6:1	οὐχὶ	οὐχί	particle, adverb	—
Lk 1:60,Lk 12:51,Lk 13:3,Lk 13:5,Lk 16:30,Jn 9:9,Ro 3:27	οὐχί	οὐχί	adverb, particle	negative
Lk 18:30,Jn 13:10,Jn 13:11,Jn 14:22,Ro 8:32,1 Co 5:2,1 Co 6:7,1 Co 6:7,1 Co 10:16,1 Co 10:16,1 Co 10:29,2 Co 3:8,Ga 2:14	οὐχὶ	οὐχί	adverb, particle	negative
