Result	Lemma	Part of Speech	Reference
ὑπὸ	ὑπό	preposition	Mt 1:22,Mt 2:15,Mt 2:16,Mt 3:14,Mt 4:1,Mt 4:1,Mt 5:13,Mt 5:15,Mt 6:2,Mt 8:8,Mt 8:9,Mt 8:24,Mt 10:22,Mt 11:7,Mt 11:27,Mt 14:8,Mt 14:24,Mt 19:12,Mt 20:23,Mt 22:31,Mt 23:7,Mt 23:37,Mt 24:9,Mt 27:12,Mk 1:9,Mk 1:13,Mk 2:3,Mk 4:21,Mk 4:21,Mk 4:32,Mk 5:26,Mk 8:31,Mk 13:13,Lk 2:18,Lk 2:21,Lk 2:26,Lk 4:2,Lk 4:15,Lk 7:6,Lk 7:8,Lk 7:24,Lk 8:14,Lk 8:29,Lk 10:22,Lk 11:33,Lk 13:34,Lk 16:22,Lk 17:20,Lk 17:24,Lk 21:16,Lk 21:17,Lk 21:20,Lk 21:24,Jn 1:48,Jn 14:21,Ac 2:5,Ac 4:12,Ac 5:16,Ac 5:21,Ac 8:6,Ac 10:17,Ac 10:22,Ac 10:22,Ac 10:33,Ac 10:38,Ac 10:41,Ac 10:42,Ac 12:5,Ac 13:4,Ac 13:45,Ac 15:3,Ac 15:40,Ac 16:2,Ac 16:4,Ac 16:6,Ac 16:14,Ac 17:13,Ac 17:19,Ac 17:25,Ac 20:3,Ac 21:35,Ac 22:11,Ac 22:12,Ac 22:30,Ac 23:27,Ac 24:26,Ac 25:14,Ac 26:2,Ac 26:6,Ac 26:7,Ac 27:11,Ac 27:41,Ro 3:13,Ro 3:21,Ro 6:14,Ro 6:14,Ro 6:15,Ro 6:15,Ro 7:14,Ro 12:21,Ro 13:1,Ro 13:1,Ro 15:15,Ro 16:20,1 Co 1:11,1 Co 2:12,1 Co 4:3,1 Co 7:25,1 Co 9:20,1 Co 9:20,1 Co 9:20,1 Co 9:20,1 Co 10:1,1 Co 10:9,1 Co 10:10,1 Co 10:29,1 Co 11:32,1 Co 14:24,1 Co 14:24,1 Co 15:25,1 Co 15:27,2 Co 1:4,2 Co 2:6,2 Co 2:11,2 Co 3:2,2 Co 5:4,2 Co 8:19,Ga 3:10,Ga 3:17,Ga 3:22,Ga 3:23,Ga 3:25,Ga 4:2,Ga 4:3,Ga 4:4,Ga 4:5,Ga 4:9,Ga 4:21,Ga 5:18,Eph 1:22,Eph 2:11,Eph 5:13,Php 1:28,Php 3:12,Col 1:23,Col 2:18,1 Th 1:4,1 Th 2:4,1 Th 2:14,1 Th 2:14,2 Th 2:13,1 Ti 6:1,Heb 2:3,Heb 5:4,Heb 5:10,Heb 7:7,Heb 9:19,Heb 11:23,Heb 12:3,Jas 1:14,Jas 2:3,Jas 2:9,Jas 3:4,Jas 3:4,Jas 3:6,Jas 5:12,1 Pe 2:4,1 Pe 5:6,2 Pe 1:17,2 Pe 1:21,2 Pe 2:7,2 Pe 2:17,2 Pe 3:2,3 Jn 12,3 Jn 12,Jud 6,Jud 12,Jud 17,Re 6:8,Re 6:13
ὑπʼ	ὑπό	preposition	Mt 3:6,Mt 3:13,Mt 8:9,Mt 17:12,Mk 1:5,Mk 5:4,Mk 16:11,Lk 3:7,Lk 3:19,Lk 7:8,Lk 7:30,Lk 13:17,Lk 14:8,Lk 17:24,Lk 23:8,Ac 2:24,Ac 23:10,Ac 23:27,1 Co 2:15,1 Co 8:3,Ga 1:11,Ga 5:15,Eph 5:12,2 Ti 2:26,Heb 12:5
ὑφʼ	ὑπό	preposition	Ac 4:11,Ro 3:9,Ro 15:24,1 Co 4:3,2 Co 1:16,2 Co 3:3,2 Co 8:19,2 Co 8:20,2 Co 12:11
ὑπό	ὑπό	preposition	Lk 9:7,Lk 9:8,Lk 14:8,1 Co 6:12,Heb 3:4
Ὑπὸ	ὑπό	preposition	2 Co 11:24
