Reference	Result	Lemma	Part of Speech
Mt 2:11,Mt 4:21,Mt 8:11,Mt 9:11,Mt 12:41,Mt 12:42,Mt 13:20,Mt 16:27,Mt 18:16,Mt 18:23,Mt 19:10,Mt 20:2,Mt 20:20,Mt 22:16,Mt 24:29,Mt 24:30,Mt 24:31,Mt 24:49,Mt 24:51,Mt 25:4,Mt 26:2,Mt 26:18,Mt 26:20,Mt 26:32,Mt 26:47,Mt 26:51,Mt 26:55,Mt 26:58,Mt 26:69,Mt 26:71,Mt 26:72,Mt 27:34,Mt 27:41,Mt 27:53,Mt 27:62,Mt 27:63,Mt 27:66,Mt 28:8,Mt 28:12,Mk 1:13,Mk 1:20,Mk 1:29,Mk 2:16,Mk 2:16,Mk 3:6,Mk 3:7,Mk 4:16,Mk 6:25,Mk 8:10,Mk 8:31,Mk 8:38,Mk 9:2,Mk 9:31,Mk 10:30,Mk 10:34,Mk 11:11,Mk 13:24,Mk 13:26,Mk 14:1,Mk 14:14,Mk 14:17,Mk 14:28,Mk 14:43,Mk 14:48,Mk 14:54,Mk 14:62,Mk 14:67,Mk 14:70,Mk 15:1,Mk 15:7,Mk 15:31,Mk 16:19,Lk 1:28,Lk 1:39,Lk 1:72,Lk 2:36,Lk 2:46,Lk 5:27,Lk 5:30,Lk 8:13,Lk 9:28,Lk 9:39,Lk 10:17,Lk 11:31,Lk 11:32,Lk 12:4,Lk 12:5,Lk 12:46,Lk 12:58,Lk 13:1,Lk 14:9,Lk 14:31,Lk 15:29,Lk 15:30,Lk 17:8,Lk 17:15,Lk 17:20,Lk 18:4,Lk 21:27,Lk 22:11,Lk 22:20,Lk 22:33,Lk 22:37,Lk 22:52,Lk 22:58,Lk 24:5,Lk 24:52,Jn 3:25,Jn 3:26,Jn 4:27,Jn 5:14,Jn 6:3,Jn 7:1,Jn 9:37,Jn 11:7,Jn 11:11,Jn 11:54,Jn 13:7,Jn 13:27,Jn 18:2,Jn 18:3,Jn 19:40,Jn 20:7,Ac 1:3,Ac 1:5,Ac 1:26,Ac 2:28,Ac 2:29,Ac 4:29,Ac 4:31,Ac 5:26,Ac 5:37,Ac 7:4,Ac 7:7,Ac 7:38,Ac 7:45,Ac 9:19,Ac 10:37,Ac 10:41,Ac 12:4,Ac 13:15,Ac 13:17,Ac 13:20,Ac 14:23,Ac 15:16,Ac 15:35,Ac 17:11,Ac 18:10,Ac 19:21,Ac 20:6,Ac 20:19,Ac 20:29,Ac 20:31,Ac 24:1,Ac 24:3,Ac 24:18,Ac 24:18,Ac 25:1,Ac 25:12,Ac 25:23,Ac 27:10,Ac 27:24,Ac 28:13,Ac 28:17,Ac 28:31,Ro 12:15,Ro 12:15,Ro 12:18,Ro 15:10,Ro 15:33,1 Co 6:6,1 Co 11:25,1 Co 16:11,1 Co 16:12,1 Co 16:24,2 Co 6:15,2 Co 6:16,2 Co 7:15,2 Co 8:4,2 Co 13:13,Ga 1:18,Ga 2:1,Ga 2:12,Ga 3:17,Ga 4:25,Ga 4:30,Ga 6:18,Eph 4:2,Eph 4:2,Eph 4:25,Eph 6:5,Eph 6:23,Eph 6:24,Php 1:4,Php 2:12,Php 2:29,Php 4:3,Php 4:6,Php 4:23,1 Th 1:6,1 Th 3:13,2 Th 3:12,2 Th 3:16,2 Th 3:18,1 Ti 1:14,1 Ti 2:9,1 Ti 2:15,1 Ti 3:4,1 Ti 4:3,1 Ti 4:4,1 Ti 4:14,1 Ti 6:6,2 Ti 2:10,2 Ti 2:22,2 Ti 4:11,2 Ti 4:22,Tt 2:15,Tt 3:10,Tt 3:15,Phm 25,Heb 4:7,Heb 4:8,Heb 4:16,Heb 5:7,Heb 7:21,Heb 7:28,Heb 8:10,Heb 9:3,Heb 9:19,Heb 9:27,Heb 10:15,Heb 10:16,Heb 10:22,Heb 10:26,Heb 10:34,Heb 11:9,Heb 12:14,Heb 12:17,Heb 12:28,Heb 13:17,Heb 13:25,1 Pe 1:11,1 Pe 3:16,2 Pe 1:15,1 Jn 1:3,1 Jn 1:3,Re 1:7,Re 1:19,Re 3:21,Re 4:1,Re 9:12,Re 11:11,Re 12:7,Re 12:17,Re 13:7,Re 14:4,Re 15:5,Re 17:12,Re 17:14,Re 19:19,Re 19:19,Re 20:3,Re 20:4,Re 21:3,Re 22:21	μετὰ	μετά	preposition
Mt 1:12,Mt 25:19,Mt 26:73,Mk 1:14,Mk 16:8,Mk 16:12,Lk 1:24,Lk 10:1,Jn 2:12,Jn 3:22,Jn 4:43,Jn 5:1,Jn 6:1,Jn 19:28,Jn 19:38,Jn 21:1,Ac 15:13,Ac 15:36,Ac 18:1,Ac 20:1,Ac 21:15,Ac 24:1,Ac 24:24,Ac 28:11,Col 1:11,Re 4:1,Re 7:1,Re 7:9,Re 18:1,Re 19:1	Μετὰ	μετά	preposition
Mt 1:23,Mt 12:45,Mt 14:7,Mt 15:30,Mt 17:1,Mt 17:17,Mt 25:3,Mt 26:11,Mt 26:29,Mt 28:20,Mk 8:14,Mk 9:8,Mk 14:7,Lk 9:49,Lk 22:15,Lk 22:53,Lk 24:29,Jn 7:33,Jn 12:8,Jn 13:33,Jn 14:9,Jn 14:16,Jn 14:30,Jn 16:4,Jn 20:26,Ac 20:18,Ro 16:20,1 Co 6:7,1 Co 16:23,2 Co 13:11,Php 4:9,Col 4:18,1 Th 5:28,2 Th 1:7,1 Ti 6:21,2 Ti 4:22,Heb 13:23,1 Jn 1:3,1 Jn 2:19,1 Jn 4:17,2 Jn 2,2 Jn 3,Re 17:2	μεθʼ	μετά	preposition
Mt 2:3,Mt 5:25,Mt 5:41,Mt 9:15,Mt 12:3,Mt 12:4,Mt 12:30,Mt 12:30,Mt 17:3,Mt 21:2,Mt 25:10,Mt 25:19,Mt 25:31,Mt 26:23,Mt 26:36,Mt 26:38,Mt 26:40,Mt 26:47,Mt 27:54,Mk 1:36,Mk 2:19,Mk 2:19,Mk 2:25,Mk 3:5,Mk 3:14,Mk 4:36,Mk 5:18,Mk 5:24,Mk 5:37,Mk 5:40,Mk 6:50,Mk 14:18,Mk 14:20,Mk 14:33,Mk 14:43,Mk 16:10,Lk 1:58,Lk 1:66,Lk 2:51,Lk 5:29,Lk 5:34,Lk 6:3,Lk 6:4,Lk 6:17,Lk 7:36,Lk 10:37,Lk 11:7,Lk 11:23,Lk 11:23,Lk 12:13,Lk 15:13,Lk 15:31,Lk 22:21,Lk 22:28,Lk 22:59,Lk 23:12,Lk 23:43,Lk 24:30,Jn 3:2,Jn 3:22,Jn 4:27,Jn 6:43,Jn 6:66,Jn 8:29,Jn 9:40,Jn 11:16,Jn 11:31,Jn 11:56,Jn 12:17,Jn 13:8,Jn 15:27,Jn 16:19,Jn 16:32,Jn 17:12,Jn 17:24,Jn 18:5,Jn 18:18,Jn 18:26,Jn 19:18,Jn 20:24,Jn 20:26,Ac 7:5,Ac 7:9,Ac 9:28,Ac 9:39,Ac 10:38,Ac 11:21,Ac 13:25,Ac 14:27,Ac 15:4,Ac 15:33,Ac 19:4,Ac 20:34,Ac 26:12,Ac 27:14,1 Co 7:12,1 Co 7:13,2 Co 8:18,Eph 6:7,2 Th 1:7,2 Ti 4:11,Tt 3:15,Heb 11:31,1 Jn 1:6,1 Jn 1:7,Re 1:12,Re 2:16,Re 2:22,Re 3:4,Re 3:20,Re 3:20,Re 3:21,Re 4:1,Re 6:8,Re 10:8,Re 11:7,Re 12:9,Re 13:4,Re 14:1,Re 14:13,Re 17:1,Re 17:14,Re 18:3,Re 18:9,Re 19:20,Re 20:6,Re 21:3,Re 21:3,Re 21:9,Re 21:15,Re 22:12	μετʼ	μετά	preposition
