Result	Lemma	Gender	Case	Number	Part of Speech	Reference
ἄρτος	ἄρτος	mas	nom	sg	noun	Lk 4:3,Jn 6:33,Jn 6:35,Jn 6:41,Jn 6:48,Jn 6:50,Jn 6:51,Jn 6:51,Jn 6:58,1 Co 10:17
ἄρτῳ	ἄρτος	mas	dat	sg	noun	Mt 4:4,Lk 4:4
ἄρτους	ἄρτος	mas	acc	pl	noun	Mt 14:17,Mt 14:19,Mt 14:19,Mt 15:34,Mt 15:36,Mt 16:5,Mt 16:7,Mt 16:8,Mt 16:9,Mt 16:10,Mk 6:37,Mk 6:38,Mk 6:41,Mk 6:41,Mk 6:44,Mk 7:2,Mk 8:5,Mk 8:6,Mk 8:14,Mk 8:16,Mk 8:17,Mk 8:19,Lk 9:16,Lk 11:5,Jn 6:5,Jn 6:9,Jn 6:11,Mt 12:4,Mk 2:26,Lk 6:4
ἄρτον	ἄρτος	mas	acc	sg	noun	Mt 6:11,Mt 7:9,Mt 15:2,Mt 15:26,Mt 26:26,Mk 3:20,Mk 6:8,Mk 7:5,Mk 7:27,Mk 8:14,Mk 14:22,Lk 7:33,Lk 9:3,Lk 11:3,Lk 14:15,Lk 22:19,Lk 24:30,Jn 6:23,Jn 6:31,Jn 6:32,Jn 6:32,Jn 6:34,Jn 6:58,Jn 13:18,Jn 21:9,Jn 21:13,Ac 2:46,Ac 20:7,Ac 20:11,Ac 27:35,1 Co 10:16,1 Co 11:23,1 Co 11:26,1 Co 11:27,2 Co 9:10,2 Th 3:8,Lk 14:1,2 Th 3:12
ἄρτοι	ἄρτος	mas	nom	pl	noun	Mt 4:3,Mt 15:33,Lk 9:13,Jn 6:7
ἄρτου	ἄρτος	mas	gen	sg	noun	Lk 24:35,Jn 6:51,Ac 2:42,1 Co 10:17,1 Co 11:28
ἄρτων	ἄρτος	mas	gen	pl	noun	Mt 16:11,Mt 16:12,Mk 8:4,Lk 15:17,Jn 6:13,Jn 6:26,Heb 9:2
ἄρτοις	ἄρτος	mas	dat	pl	noun	Mk 6:52
