Result	Lemma	Part of Speech	Reference
μὴ	μή	particle	Mt 11:23,Lk 18:7,Jn 3:4,Jn 18:11,Mt 7:9,Mt 7:10,Mt 9:15,Mk 2:19,Lk 5:34,Lk 10:15,Lk 17:9,Jn 4:12,Jn 6:67,Jn 7:31,Jn 7:35,Jn 7:41,Jn 7:47,Jn 7:51,Jn 7:52,Jn 8:53,Jn 9:27,Jn 9:40,Jn 10:21,Jn 18:17,Jn 18:25,Ac 7:28,Ac 7:42,Ro 3:3,Ro 3:5,Ro 9:14,Ro 9:20,Ro 10:18,Ro 10:19,Ro 11:1,Ro 11:11,1 Co 1:13,1 Co 9:4,1 Co 9:5,1 Co 9:9,1 Co 10:22,1 Co 11:22,1 Co 12:29,1 Co 12:29,1 Co 12:29,1 Co 12:29,1 Co 12:30,1 Co 12:30,1 Co 12:30,2 Co 3:1,Jas 2:14,Jas 3:12
μὴ	μή	conjunction, particle	Mk 13:36,Ac 5:26,Ac 13:40,Ac 23:10,1 Co 10:12
Μὴ	μή	particle	1 Co 9:8
μὴ	μή	particle, conjunction	Mt 18:10,Lk 11:35,Heb 12:25
μὴ	μή	adverb, particle	Mt 1:19,Mt 1:20,Mt 2:12,Mt 3:9,Mt 3:10,Mt 5:13,Mt 5:18,Mt 5:20,Mt 5:20,Mt 5:26,Mt 5:29,Mt 5:30,Mt 5:34,Mt 5:39,Mt 5:42,Mt 6:1,Mt 6:2,Mt 6:3,Mt 6:7,Mt 6:8,Mt 6:13,Mt 6:15,Mt 6:16,Mt 6:18,Mt 6:25,Mt 7:19,Mt 7:26,Mt 8:28,Mt 9:36,Mt 10:5,Mt 10:5,Mt 10:10,Mt 10:13,Mt 10:14,Mt 10:19,Mt 10:23,Mt 10:28,Mt 10:28,Mt 10:31,Mt 10:42,Mt 11:6,Mt 11:27,Mt 11:27,Mt 12:4,Mt 12:16,Mt 12:24,Mt 12:29,Mt 12:30,Mt 12:30,Mt 12:39,Mt 13:5,Mt 13:6,Mt 13:14,Mt 13:14,Mt 13:19,Mt 13:57,Mt 14:17,Mt 14:27,Mt 15:6,Mt 15:24,Mt 16:4,Mt 16:22,Mt 16:28,Mt 17:7,Mt 17:8,Mt 17:27,Mt 18:3,Mt 18:3,Mt 18:13,Mt 18:16,Mt 18:25,Mt 18:35,Mt 19:6,Mt 19:9,Mt 19:14,Mt 21:19,Mt 21:21,Mt 22:12,Mt 22:23,Mt 22:24,Mt 22:25,Mt 22:29,Mt 23:3,Mt 23:8,Mt 23:9,Mt 23:23,Mt 24:2,Mt 24:17,Mt 24:18,Mt 24:20,Mt 24:21,Mt 24:22,Mt 24:23,Mt 24:26,Mt 24:26,Mt 24:34,Mt 24:35,Mt 24:36,Mt 25:9,Mt 25:29,Mt 26:5,Mt 26:5,Mt 26:29,Mt 26:41,Mt 26:42,Mt 28:5,Mt 28:10,Mk 2:4,Mk 2:7,Mk 2:26,Mk 3:9,Mk 3:12,Mk 3:20,Mk 3:27,Mk 4:5,Mk 4:6,Mk 4:12,Mk 4:12,Mk 4:22,Mk 5:10,Mk 5:36,Mk 5:37,Mk 6:4,Mk 6:5,Mk 6:8,Mk 6:8,Mk 6:8,Mk 6:8,Mk 6:9,Mk 6:11,Mk 6:34,Mk 6:50,Mk 7:3,Mk 7:4,Mk 8:1,Mk 8:14,Mk 9:1,Mk 9:9,Mk 9:29,Mk 9:39,Mk 9:41,Mk 10:9,Mk 10:14,Mk 10:15,Mk 10:15,Mk 10:18,Mk 10:19,Mk 10:19,Mk 10:19,Mk 10:19,Mk 10:19,Mk 10:30,Mk 11:13,Mk 11:23,Mk 12:14,Mk 12:18,Mk 12:19,Mk 12:21,Mk 12:24,Mk 13:2,Mk 13:2,Mk 13:7,Mk 13:11,Mk 13:15,Mk 13:16,Mk 13:18,Mk 13:19,Mk 13:20,Mk 13:21,Mk 13:30,Mk 13:31,Mk 13:32,Mk 14:2,Mk 14:25,Mk 14:38,Mk 16:6,Mk 16:18,Lk 1:13,Lk 1:15,Lk 1:20,Lk 1:30,Lk 2:10,Lk 2:26,Lk 2:45,Lk 3:8,Lk 3:9,Lk 3:11,Lk 4:26,Lk 4:27,Lk 4:42,Lk 5:10,Lk 5:19,Lk 5:21,Lk 6:4,Lk 6:29,Lk 6:30,Lk 6:37,Lk 6:37,Lk 6:37,Lk 6:37,Lk 6:49,Lk 7:6,Lk 7:13,Lk 7:23,Lk 7:30,Lk 7:33,Lk 7:42,Lk 8:6,Lk 8:10,Lk 8:10,Lk 8:12,Lk 8:17,Lk 8:18,Lk 8:31,Lk 8:50,Lk 8:51,Lk 8:52,Lk 9:5,Lk 9:27,Lk 9:33,Lk 9:45,Lk 9:50,Lk 10:4,Lk 10:4,Lk 10:4,Lk 10:7,Lk 10:10,Lk 10:19,Lk 10:20,Lk 10:22,Lk 10:22,Lk 11:4,Lk 11:23,Lk 11:23,Lk 11:24,Lk 11:29,Lk 11:36,Lk 11:42,Lk 12:4,Lk 12:4,Lk 12:7,Lk 12:11,Lk 12:21,Lk 12:22,Lk 12:29,Lk 12:29,Lk 12:33,Lk 12:47,Lk 12:48,Lk 12:59,Lk 13:3,Lk 13:5,Lk 13:11,Lk 13:14,Lk 13:35,Lk 14:8,Lk 14:12,Lk 14:29,Lk 16:26,Lk 16:28,Lk 17:1,Lk 17:18,Lk 17:23,Lk 17:31,Lk 17:31,Lk 18:1,Lk 18:2,Lk 18:2,Lk 18:5,Lk 18:16,Lk 18:17,Lk 18:17,Lk 18:19,Lk 18:20,Lk 18:20,Lk 18:20,Lk 18:20,Lk 18:30,Lk 19:26,Lk 19:27,Lk 20:7,Lk 20:16,Lk 20:27,Lk 21:8,Lk 21:8,Lk 21:9,Lk 21:14,Lk 21:18,Lk 21:21,Lk 21:32,Lk 21:33,Lk 22:16,Lk 22:18,Lk 22:32,Lk 22:36,Lk 22:40,Lk 22:42,Lk 22:46,Lk 22:67,Lk 22:68,Lk 23:28,Lk 24:16,Lk 24:23,Jn 2:16,Jn 3:2,Jn 3:7,Jn 3:13,Jn 3:16,Jn 3:18,Jn 3:18,Jn 3:20,Jn 3:27,Jn 4:14,Jn 4:15,Jn 4:48,Jn 4:48,Jn 5:14,Jn 5:23,Jn 5:28,Jn 6:20,Jn 6:22,Jn 6:27,Jn 6:35,Jn 6:35,Jn 6:37,Jn 6:39,Jn 6:43,Jn 6:44,Jn 6:50,Jn 6:53,Jn 6:64,Jn 6:65,Jn 7:15,Jn 7:23,Jn 7:24,Jn 7:49,Jn 7:51,Jn 8:12,Jn 8:24,Jn 8:51,Jn 8:52,Jn 9:33,Jn 9:39,Jn 10:1,Jn 10:5,Jn 10:10,Jn 10:28,Jn 10:37,Jn 10:38,Jn 11:26,Jn 11:37,Jn 11:50,Jn 11:56,Jn 12:15,Jn 12:24,Jn 12:35,Jn 12:40,Jn 12:42,Jn 12:46,Jn 12:47,Jn 12:48,Jn 13:8,Jn 13:8,Jn 13:9,Jn 13:10,Jn 13:38,Jn 14:6,Jn 14:24,Jn 14:27,Jn 15:2,Jn 15:4,Jn 15:4,Jn 15:22,Jn 15:24,Jn 16:1,Jn 16:7,Jn 17:12,Jn 18:28,Jn 18:30,Jn 18:36,Jn 18:40,Jn 19:11,Jn 19:15,Jn 19:21,Jn 19:24,Jn 19:31,Jn 20:25,Jn 20:25,Jn 20:27,Jn 20:29,Ac 1:4,Ac 1:20,Ac 2:25,Ac 3:23,Ac 4:17,Ac 4:18,Ac 4:20,Ac 5:7,Ac 5:28,Ac 5:40,Ac 7:19,Ac 7:60,Ac 9:9,Ac 9:26,Ac 9:38,Ac 10:15,Ac 10:47,Ac 11:9,Ac 11:19,Ac 12:19,Ac 13:11,Ac 13:41,Ac 14:18,Ac 15:1,Ac 15:19,Ac 15:38,Ac 15:38,Ac 17:6,Ac 18:9,Ac 18:9,Ac 19:31,Ac 20:10,Ac 20:16,Ac 20:20,Ac 20:22,Ac 20:27,Ac 20:29,Ac 21:4,Ac 21:12,Ac 21:14,Ac 21:21,Ac 21:34,Ac 23:8,Ac 23:21,Ac 24:4,Ac 25:24,Ac 25:27,Ac 26:32,Ac 27:7,Ac 27:15,Ac 27:21,Ac 27:24,Ac 27:31,Ac 28:26,Ac 28:26,Ro 1:28,Ro 2:14,Ro 2:14,Ro 2:21,Ro 2:22,Ro 3:4,Ro 3:6,Ro 3:8,Ro 3:31,Ro 4:5,Ro 4:8,Ro 4:17,Ro 4:19,Ro 5:13,Ro 5:14,Ro 6:2,Ro 6:15,Ro 7:3,Ro 7:7,Ro 7:7,Ro 7:7,Ro 7:13,Ro 8:4,Ro 9:14,Ro 9:29,Ro 9:30,Ro 10:6,Ro 10:15,Ro 10:20,Ro 10:20,Ro 11:1,Ro 11:8,Ro 11:8,Ro 11:10,Ro 11:11,Ro 11:15,Ro 11:18,Ro 11:20,Ro 11:23,Ro 11:25,Ro 12:2,Ro 12:3,Ro 12:11,Ro 12:14,Ro 12:16,Ro 12:16,Ro 12:19,Ro 12:21,Ro 13:1,Ro 13:3,Ro 13:8,Ro 13:13,Ro 13:13,Ro 13:13,Ro 13:14,Ro 14:1,Ro 14:3,Ro 14:3,Ro 14:3,Ro 14:3,Ro 14:6,Ro 14:13,Ro 14:14,Ro 14:15,Ro 14:16,Ro 14:20,Ro 14:21,Ro 14:22,Ro 15:1,Ro 15:20,1 Co 1:7,1 Co 1:10,1 Co 1:14,1 Co 1:17,1 Co 1:28,1 Co 1:29,1 Co 2:2,1 Co 2:5,1 Co 2:11,1 Co 2:11,1 Co 4:5,1 Co 4:6,1 Co 4:6,1 Co 4:7,1 Co 4:18,1 Co 5:8,1 Co 5:9,1 Co 5:11,1 Co 6:9,1 Co 6:15,1 Co 7:1,1 Co 7:5,1 Co 7:5,1 Co 7:10,1 Co 7:11,1 Co 7:12,1 Co 7:13,1 Co 7:17,1 Co 7:18,1 Co 7:18,1 Co 7:23,1 Co 7:27,1 Co 7:27,1 Co 7:29,1 Co 7:30,1 Co 7:30,1 Co 7:30,1 Co 7:31,1 Co 7:37,1 Co 7:38,1 Co 8:4,1 Co 8:8,1 Co 8:13,1 Co 8:13,1 Co 9:6,1 Co 9:16,1 Co 9:18,1 Co 9:20,1 Co 9:21,1 Co 10:6,1 Co 10:13,1 Co 10:28,1 Co 10:33,1 Co 11:22,1 Co 11:29,1 Co 11:32,1 Co 11:34,1 Co 12:3,1 Co 12:25,1 Co 13:1,1 Co 13:2,1 Co 13:3,1 Co 14:5,1 Co 14:6,1 Co 14:7,1 Co 14:9,1 Co 14:11,1 Co 14:20,1 Co 14:28,1 Co 14:39,1 Co 15:2,1 Co 15:33,1 Co 15:34,1 Co 15:36,1 Co 16:2,2 Co 1:9,2 Co 2:1,2 Co 2:2,2 Co 2:3,2 Co 2:5,2 Co 2:11,2 Co 2:13,2 Co 3:7,2 Co 3:13,2 Co 3:14,2 Co 4:2,2 Co 4:4,2 Co 4:7,2 Co 4:18,2 Co 4:18,2 Co 4:18,2 Co 5:12,2 Co 5:19,2 Co 5:21,2 Co 6:1,2 Co 6:3,2 Co 6:9,2 Co 6:17,2 Co 9:3,2 Co 9:4,2 Co 9:5,2 Co 9:7,2 Co 10:2,2 Co 10:9,2 Co 10:14,2 Co 12:5,2 Co 12:7,2 Co 12:7,2 Co 12:13,2 Co 12:21,2 Co 13:7,2 Co 13:10,Ga 1:19,Ga 2:16,Ga 2:17,Ga 3:21,Ga 4:8,Ga 4:18,Ga 4:30,Ga 5:1,Ga 5:7,Ga 5:13,Ga 5:16,Ga 5:26,Ga 6:9,Ga 6:9,Ga 6:12,Ga 6:14,Ga 6:14,Eph 2:12,Eph 3:13,Eph 4:9,Eph 4:26,Eph 4:26,Eph 4:29,Eph 4:30,Eph 5:7,Eph 5:11,Eph 5:15,Eph 5:17,Eph 5:18,Eph 5:27,Eph 6:4,Eph 6:6,Php 1:28,Php 2:4,Php 2:12,Php 2:27,Php 3:9,Php 4:15,Col 1:23,Col 2:21,Col 3:2,Col 3:9,Col 3:19,Col 3:21,Col 3:21,Col 3:22,1 Th 1:8,1 Th 2:9,1 Th 2:15,1 Th 4:5,1 Th 4:5,1 Th 4:6,1 Th 4:13,1 Th 4:13,1 Th 4:15,1 Th 5:3,1 Th 5:6,1 Th 5:19,1 Th 5:20,2 Th 1:8,2 Th 1:8,2 Th 2:2,2 Th 2:3,2 Th 2:12,2 Th 3:6,2 Th 3:8,2 Th 3:13,2 Th 3:14,2 Th 3:15,1 Ti 1:3,1 Ti 1:7,1 Ti 1:20,1 Ti 2:9,1 Ti 3:3,1 Ti 3:3,1 Ti 3:6,1 Ti 3:6,1 Ti 3:7,1 Ti 3:8,1 Ti 3:8,1 Ti 3:8,1 Ti 3:11,1 Ti 4:14,1 Ti 5:1,1 Ti 5:9,1 Ti 5:13,1 Ti 5:16,1 Ti 5:19,1 Ti 5:19,1 Ti 6:1,1 Ti 6:2,1 Ti 6:3,1 Ti 6:17,2 Ti 1:8,2 Ti 2:5,2 Ti 2:14,2 Ti 4:16,Tt 1:6,Tt 1:7,Tt 1:7,Tt 1:7,Tt 1:7,Tt 1:7,Tt 1:11,Tt 1:14,Tt 2:3,Tt 2:3,Tt 2:5,Tt 2:9,Tt 2:10,Tt 3:14,Phm 14,Phm 19,Heb 3:8,Heb 3:13,Heb 3:15,Heb 3:18,Heb 3:18,Heb 4:2,Heb 4:7,Heb 4:11,Heb 4:15,Heb 6:1,Heb 6:12,Heb 7:6,Heb 8:11,Heb 8:12,Heb 9:9,Heb 10:17,Heb 10:25,Heb 11:3,Heb 11:5,Heb 11:8,Heb 11:13,Heb 11:27,Heb 11:28,Heb 11:40,Heb 12:3,Heb 12:5,Heb 12:13,Heb 12:19,Heb 12:27,Heb 13:2,Heb 13:9,Heb 13:16,Heb 13:17,Jas 1:5,Jas 1:7,Jas 1:22,Jas 1:26,Jas 2:1,Jas 2:11,Jas 2:11,Jas 2:13,Jas 2:14,Jas 2:16,Jas 2:17,Jas 3:14,Jas 4:2,Jas 4:17,Jas 5:9,Jas 5:9,Jas 5:12,Jas 5:12,Jas 5:17,1 Pe 1:8,1 Pe 1:14,1 Pe 2:6,1 Pe 2:16,1 Pe 3:6,1 Pe 3:7,1 Pe 3:9,1 Pe 3:10,1 Pe 3:14,1 Pe 4:4,1 Pe 4:12,1 Pe 4:15,1 Pe 4:16,1 Pe 5:2,2 Pe 1:9,2 Pe 1:10,2 Pe 2:21,2 Pe 3:8,2 Pe 3:9,2 Pe 3:17,1 Jn 2:1,1 Jn 2:4,1 Jn 2:22,1 Jn 2:28,1 Jn 3:10,1 Jn 3:10,1 Jn 3:13,1 Jn 3:14,1 Jn 3:18,1 Jn 3:21,1 Jn 4:1,1 Jn 4:3,1 Jn 4:8,1 Jn 4:20,1 Jn 5:5,1 Jn 5:10,1 Jn 5:12,1 Jn 5:16,1 Jn 5:16,2 Jn 7,2 Jn 8,2 Jn 9,2 Jn 10,2 Jn 10,3 Jn 10,3 Jn 11,Jud 5,Jud 6,Jud 19,Re 1:17,Re 2:5,Re 2:11,Re 2:17,Re 2:22,Re 3:3,Re 3:3,Re 3:5,Re 3:12,Re 3:18,Re 5:5,Re 6:6,Re 7:1,Re 7:3,Re 7:16,Re 8:12,Re 9:4,Re 9:4,Re 9:5,Re 9:6,Re 9:20,Re 10:4,Re 11:2,Re 11:6,Re 13:15,Re 13:17,Re 14:3,Re 15:4,Re 16:15,Re 18:4,Re 18:4,Re 18:7,Re 18:14,Re 18:21,Re 18:22,Re 18:22,Re 18:22,Re 18:23,Re 18:23,Re 19:12,Re 20:3,Re 21:25,Re 21:27,Re 21:27,Re 22:10
μή	μή	conjunction	Ac 27:29,Ro 11:21,1 Co 9:27,2 Co 11:3
μή	μή	conjunction, adverb	Ga 2:2,Ga 4:11
μὴ	μή	particle, conjunction, adverb	Ga 5:15,Ga 6:1
μή	μή	conjunction, particle	Mk 13:5,Ac 27:42,2 Co 12:20,2 Co 12:20,1 Th 3:5
μὴ	μή	particle, adverb	Mt 7:1,Mt 24:6,Jn 6:46,Ga 5:17
μή	μή	adverb, particle	Mt 6:1,Mt 9:17,Mt 23:39,Mt 26:35,Mk 2:21,Mk 2:22,Mk 5:7,Mk 14:31,Lk 5:36,Lk 5:37,Lk 8:28,Lk 10:6,Lk 11:7,Lk 13:9,Lk 14:32,Jn 3:3,Jn 3:5,Jn 5:19,Jn 6:12,Jn 14:2,Jn 14:11,Jn 15:6,Jn 20:17,Ac 8:31,1 Co 1:15,1 Co 7:21,1 Co 9:12,1 Co 16:11,2 Co 11:16,2 Co 11:16,Ga 1:7,Eph 2:9,Heb 13:5,Heb 13:5,Re 2:5,Re 2:16,Re 13:17,Re 19:10,Re 22:9
Μή	μή	adverb, particle	2 Th 2:3
μή	μή	conjunction, particle, adverb	1 Th 5:15
μή	μή	particle, conjunction	Mt 24:4,1 Co 8:9,2 Co 2:7,2 Co 8:20,2 Co 9:4,Heb 12:16
μή	μή	particle	2 Co 12:6,Col 2:8,Heb 12:15,Heb 12:15,Lk 22:35,Jn 4:33,Jn 7:48,Jn 21:5,2 Co 12:17
Μὴ	μή	adverb, particle	Mt 5:17,Mt 6:19,Mt 6:31,Mt 6:34,Mt 7:1,Mt 7:6,Mt 10:9,Mt 10:26,Mt 10:34,Lk 12:32,Jn 5:45,Jn 14:1,Ro 6:12,2 Co 6:14,Ga 6:7,Col 2:16,Heb 10:35,Jas 1:16,Jas 3:1,Jas 4:11,1 Jn 2:15
μὴ	μή	conjunction	Ac 27:17,2 Co 12:21
