Result	Lemma	Gender	Case	Number	Part of Speech	Reference
καρπόν	καρπός	mas	acc	sg	noun	Mt 13:8
καρποὺς	καρπός	mas	acc	pl	noun	Mt 21:34,Mt 21:41,Mt 7:17,Mt 7:17,Mt 7:18,Mt 7:18,Mt 21:43,Lk 3:8,Re 22:2
καρπὸν	καρπός	mas	acc	sg	noun	Mt 12:33,Mt 12:33,Mk 4:7,Mk 4:8,Mk 11:14,Lk 13:6,Lk 13:7,Jn 4:36,Jn 12:24,Jn 15:2,Jn 15:2,Jn 15:2,Jn 15:4,Jn 15:5,Jn 15:8,Jn 15:16,Ro 1:13,Ro 6:21,Ro 6:22,Ro 15:28,1 Co 9:7,Php 1:11,Php 4:17,Heb 12:11,Heb 13:15,Jas 5:7,Jas 5:18,Mt 3:8,Mt 3:10,Mt 7:19,Mt 13:26,Lk 3:9,Lk 6:43,Lk 6:43,Lk 8:8,Lk 13:9,Re 22:2
καρποῦ	καρπός	mas	gen	sg	noun	Mt 12:33,Lk 6:44,Lk 20:10,Ac 2:30
καρπούς	καρπός	mas	acc	pl	noun	Lk 12:17
καρπὸς	καρπός	mas	nom	sg	noun	Mt 21:19,Jn 15:16,Ga 5:22,Eph 5:9,Php 1:22,Jas 3:18,Lk 1:42
καρπῶν	καρπός	mas	gen	pl	noun	Mt 7:16,Mt 7:20,Mt 21:34,Mk 12:2,2 Ti 2:6,Jas 3:17
καρπός	καρπός	mas	nom	sg	noun	Mk 4:29
