Result	Lemma	Gender	Case	Number	Part of Speech	Reference
Πᾶν	πᾶς	neu	acc	sg	adjective	1 Co 10:25
πάντες	πᾶς	mas	vocative, nominative	pl	adjective	Lk 13:27,Ac 25:24,Re 19:5
πάντων	πᾶς	mas	gen	pl	adjective	Mt 10:22,Mt 22:27,Mt 26:70,Mk 2:12,Mk 9:35,Mk 9:35,Mk 10:44,Mk 12:43,Mk 13:13,Lk 1:71,Lk 2:31,Lk 3:15,Lk 4:15,Lk 4:20,Lk 8:45,Lk 11:50,Lk 14:10,Lk 21:3,Lk 21:17,Lk 24:27,Jn 10:29,Jn 13:18,Ac 1:24,Ac 3:16,Ac 3:18,Ac 10:36,Ac 16:26,Ac 19:19,Ac 19:34,Ac 20:26,Ac 20:37,Ac 21:5,Ac 22:12,Ac 26:14,Ac 27:35,Ro 1:8,Ro 4:11,Ro 4:16,Ro 8:32,Ro 10:12,Ro 12:17,Ro 12:18,Ro 15:33,1 Co 9:19,1 Co 14:18,1 Co 14:24,1 Co 14:24,1 Co 15:10,1 Co 15:19,1 Co 16:24,2 Co 2:3,2 Co 3:2,2 Co 5:14,2 Co 5:15,2 Co 7:13,2 Co 7:15,2 Co 13:13,Ga 2:14,Eph 3:8,Eph 4:6,Eph 4:6,Eph 4:6,Eph 4:10,Eph 6:18,Eph 6:24,Php 1:4,Php 1:7,1 Th 1:2,1 Th 3:13,2 Th 1:3,2 Th 3:2,2 Th 3:16,2 Th 3:18,1 Ti 2:1,1 Ti 2:2,1 Ti 2:6,1 Ti 4:10,1 Ti 5:20,2 Ti 3:11,Tt 3:15,Heb 12:14,Heb 12:23,Heb 13:25,Jas 2:10,1 Pe 4:8,3 Jn 12,Jud 15,Re 8:3,Re 18:24,Re 19:18,Re 22:21
πᾶν	πᾶς	neu	accusative, nominative	sg	adjective	Col 1:19
πάσαις	πᾶς	fem	dat	pl	adjective	Lk 1:6,Lk 1:75,Lk 24:27,1 Co 7:17,1 Co 14:33,Jas 1:8,2 Pe 3:16
παντὶ	πᾶς	neuter, masculine	dat	sg	adjective	2 Co 4:8,Php 4:12,2 Th 2:17
πᾶσα	πᾶς	fem	nom	sg	adjective	Mt 2:3,Mt 3:5,Mt 3:5,Mt 8:32,Mt 8:34,Mt 12:25,Mt 12:25,Mt 12:31,Mt 15:13,Mt 21:10,Mt 24:22,Mt 28:18,Mk 1:5,Mk 13:20,Lk 3:5,Lk 3:6,Lk 4:7,Lk 11:17,Ac 3:23,Ac 13:44,Ac 27:20,Ro 3:20,Ro 8:22,Ro 14:11,1 Co 1:29,1 Co 11:5,1 Co 15:39,Ga 2:16,Eph 2:21,Eph 3:15,Eph 4:31,Eph 5:3,Php 2:11,2 Ti 3:16,Heb 2:2,Heb 12:11,Jas 1:17,Jas 3:7,Jas 4:16,1 Pe 1:24,1 Pe 1:24,2 Pe 1:20,1 Jn 5:17,Re 16:3,Re 16:20
πᾶν	πᾶς	neu	acc	sg	adjective	Mt 5:11,Mt 18:34,Lk 11:42,Jn 6:39,Jn 15:2,Jn 15:2,Jn 17:2,Ac 10:14,Ac 13:27,Ac 15:21,Ac 17:26,Ac 18:4,Ac 22:30,1 Co 10:27,2 Co 9:8,2 Co 10:5,2 Co 10:5,Eph 3:19,Php 2:9,Col 2:2,Col 3:17,2 Ti 2:21,2 Ti 3:17,Tt 1:16,Tt 3:1,Re 5:13,Re 7:1,Re 7:17,Re 9:4,Re 9:4,Re 14:6,Re 18:12,Re 18:12,Re 18:12,Re 21:4
παντός	πᾶς	mas	gen	sg	adjective	Ac 2:25
πᾶσιν	πᾶς	masculine, neuter	dat	pl	adjective	Ac 17:25,1 Co 10:33,Heb 13:4
πάντων	πᾶς	neuter, masculine	gen	pl	adjective	1 Co 15:8,Ga 4:1,Col 1:17,1 Th 4:6
