Result	Lemma	Gender	Case	Number	Part of Speech	Reference
γραμματεύς	γραμματεύς	mas	nom	sg	noun	Mk 12:32,1 Co 1:20
γραμματεῦσιν	γραμματεύς	mas	dat	pl	noun	Mt 20:18,Mk 10:33
γραμματεῖς	γραμματεύς	mas	voc	pl	noun	Mt 23:13,Mt 23:15,Mt 23:23,Mt 23:25,Mt 23:27,Mt 23:29
γραμματεῖς	γραμματεύς	mas	nom	pl	noun	Mt 7:29,Mt 15:1,Mt 17:10,Mt 21:15,Mt 23:2,Mt 26:57,Mk 1:22,Mk 2:16,Mk 3:22,Mk 7:5,Mk 9:11,Mk 11:18,Mk 11:27,Mk 12:35,Mk 14:1,Mk 14:53,Lk 5:21,Lk 5:30,Lk 6:7,Lk 11:53,Lk 15:2,Lk 19:47,Lk 20:1,Lk 20:19,Lk 22:2,Lk 22:66,Lk 23:10,Jn 8:3
γραμματεῖς	γραμματεύς	mas	acc	pl	noun	Mt 2:4,Mt 23:34,Mk 9:14,Ac 4:5,Ac 6:12
γραμματεὺς	γραμματεύς	mas	nom	sg	noun	Mt 8:19,Mt 13:52,Ac 19:35
γραμματέων	γραμματεύς	mas	gen	pl	noun	Mt 5:20,Mt 9:3,Mt 12:38,Mt 16:21,Mt 27:41,Mk 2:6,Mk 7:1,Mk 8:31,Mk 12:28,Mk 12:38,Mk 14:43,Mk 15:1,Mk 15:31,Lk 9:22,Lk 20:39,Lk 20:46,Ac 23:9
