Result	Lemma	Gender	Case	Number	Reference
κεφαλὴν	κεφαλή	fem	acc	sg	Mt 6:17,Mt 8:20,Mt 14:8,Mt 21:42,Mt 27:30,Mk 6:24,Mk 6:25,Mk 6:27,Mk 6:28,Mk 12:10,Mk 15:19,Lk 9:58,Lk 20:17,Jn 19:30,Ac 4:11,Ac 18:6,Ro 12:20,1 Co 11:4,1 Co 11:5,1 Co 11:7,Eph 1:22,1 Pe 2:7,Re 19:12
κεφαλῶν	κεφαλή	fem	gen	pl	Re 13:3
κεφαλῆς	κεφαλή	fem	gen	sg	Mt 10:30,Mt 26:7,Mt 27:29,Mt 27:37,Mk 14:3,Lk 7:38,Lk 12:7,Lk 21:18,Jn 20:7,Ac 27:34,1 Co 11:4,1 Co 11:10,Re 10:1,Re 12:1,Re 14:14
κεφαλήν	κεφαλή	fem	acc	sg	Lk 7:46,Jn 13:9,Ac 18:18,Ac 21:24,Col 2:19
κεφαλή	κεφαλή	fem	nom	sg	Eph 4:15
κεφαλαὶ	κεφαλή	fem	nom	pl	Re 9:17,Re 9:17,Re 17:9
κεφαλὴ	κεφαλή	fem	nom	sg	Mt 14:11,1 Co 11:3,1 Co 11:3,1 Co 11:3,1 Co 12:21,Eph 5:23,Eph 5:23,Col 1:18,Col 2:10,Re 1:14
κεφαλῇ	κεφαλή	fem	dat	sg	Mt 5:36,Jn 19:2,Jn 20:12,1 Co 11:5
κεφαλὰς	κεφαλή	fem	acc	pl	Mt 27:39,Mk 15:29,Lk 21:28,Re 4:4,Re 9:7,Re 9:19,Re 12:3,Re 12:3,Re 13:1,Re 13:1,Re 17:3,Re 17:7,Re 18:19
