Result	Lemma	Gender	Case	Number	Reference
ἀγάπης	ἀγάπη	fem	gen	sg	Ro 8:35,Ro 8:39,Ro 15:30,2 Co 8:8,2 Co 8:24,2 Co 13:11,Ga 5:6,Ga 5:13,Php 1:16,Php 2:1,Col 1:13,1 Th 1:3,1 Th 5:8,1 Ti 1:14,2 Ti 1:7,Heb 6:10,Heb 10:24,1 Pe 5:14
ἀγάπαις	ἀγάπη	fem	dat	pl	Jud 12
ἀγάπην	ἀγάπη	fem	acc	sg	Lk 11:42,Jn 5:42,Jn 13:35,Jn 15:13,Ro 5:8,Ro 14:15,1 Co 13:1,1 Co 13:2,1 Co 13:3,1 Co 14:1,2 Co 2:4,2 Co 2:8,Eph 1:15,Eph 2:4,Eph 3:19,Php 2:2,Col 1:4,Col 1:8,Col 3:14,1 Th 3:6,2 Th 2:10,2 Th 3:5,1 Ti 6:11,2 Ti 2:22,Phm 5,Phm 9,1 Pe 4:8,2 Pe 1:7,1 Jn 3:1,1 Jn 3:16,1 Jn 4:16,Re 2:4,Re 2:19
ἀγάπῃ	ἀγάπη	fem	dat	sg	Jn 15:9,Jn 15:10,Jn 15:10,1 Co 4:21,1 Co 16:14,2 Co 6:6,2 Co 8:7,Eph 1:4,Eph 3:17,Eph 4:2,Eph 4:15,Eph 4:16,Eph 5:2,Col 2:2,1 Th 3:12,1 Th 5:13,1 Ti 2:15,1 Ti 4:12,2 Ti 1:13,2 Ti 3:10,Tt 2:2,Phm 7,1 Jn 4:16,1 Jn 4:18,1 Jn 4:18,2 Jn 3,3 Jn 6,Jud 21
ἀγάπη	ἀγάπη	fem	nom	sg	Mt 24:12,Jn 17:26,Ro 5:5,Ro 12:9,Ro 13:10,Ro 13:10,1 Co 8:1,1 Co 13:4,1 Co 13:4,1 Co 13:4,1 Co 13:8,1 Co 13:13,1 Co 13:13,1 Co 16:24,2 Co 5:14,2 Co 13:13,Ga 5:22,Eph 6:23,Php 1:9,2 Th 1:3,1 Ti 1:5,1 Pe 4:8,1 Jn 2:5,1 Jn 2:15,1 Jn 3:17,1 Jn 4:7,1 Jn 4:8,1 Jn 4:9,1 Jn 4:10,1 Jn 4:12,1 Jn 4:16,1 Jn 4:17,1 Jn 4:18,1 Jn 5:3,2 Jn 6,Jud 2
