Result	Lemma	Gender	Case	Number	Reference
ψυχή	ψυχή	fem	nom	sg	Mt 12:18,Mt 26:38,Mk 14:34,Lk 1:46,Jn 12:27,Heb 10:38,3 Jn 2
ψυχὴν	ψυχή	fem	acc	sg	Mt 2:20,Mt 10:28,Mt 10:28,Mt 10:39,Mt 10:39,Mt 16:25,Mt 16:25,Mt 16:26,Mt 20:28,Mk 3:4,Mk 8:35,Mk 8:35,Mk 8:36,Mk 10:45,Lk 2:35,Lk 6:9,Lk 9:24,Lk 9:24,Lk 14:26,Lk 17:33,Jn 10:11,Jn 10:24,Jn 12:25,Jn 12:25,Jn 15:13,Ac 20:24,Ro 2:9,1 Co 15:45,Jas 5:20,2 Pe 2:8,1 Jn 3:16,Jud 15,Re 12:11
ψυχαῖς	ψυχή	fem	dat	pl	Mt 11:29,Ac 7:14,Heb 12:3
ψυχὴ	ψυχή	fem	nom	sg	Mt 6:25,Lk 12:23,Ac 3:23,Ac 4:32,Ac 20:10,Ro 13:1,1 Th 5:23,Re 16:3
ψυχὰς	ψυχή	fem	acc	pl	Lk 21:19,Ac 14:2,Ac 14:22,Ac 15:24,Ac 15:26,Jas 1:21,1 Pe 1:22,1 Pe 4:19,2 Pe 2:14,1 Jn 3:16,Re 6:9,Re 8:9,Re 18:13,Re 20:4
ψυχῶν	ψυχή	fem	gen	pl	Ac 27:10,2 Co 12:15,Heb 13:17,1 Pe 1:9,1 Pe 2:25
ψυχαὶ	ψυχή	fem	nom	pl	Ac 2:41,Ac 27:37
ψυχάς	ψυχή	fem	acc	pl	1 Th 2:8
ψυχῇ	ψυχή	fem	dat	sg	Mt 6:25,Mt 22:37,Lk 10:27,Lk 12:19,Lk 12:22,Ac 2:43,Php 1:27,Php 2:30
ψυχήν	ψυχή	fem	acc	sg	Lk 12:20,Jn 10:15,Jn 10:17,Jn 13:37,Jn 13:38,Ac 2:27,Ro 11:3,2 Co 1:23
ψυχαί	ψυχή	fem	nom	pl	1 Pe 3:20
ψυχή	ψυχή	fem	voc	sg	Lk 12:19
ψυχῆς	ψυχή	fem	gen	sg	Mt 16:26,Mk 8:37,Mk 12:30,Ac 27:22,Ro 16:4,Eph 6:6,Col 3:23,Heb 4:12,Heb 6:19,Heb 10:39,1 Pe 2:11,Re 18:14
