Result	Lemma	Part of Speech	Reference
Ἤδη	ἤδη	adverb	Jn 7:14,1 Co 6:7
ἤδη	ἤδη	adverb	Mt 3:10,Mt 5:28,Mt 14:15,Mt 14:24,Mt 15:32,Mt 17:12,Mt 24:32,Mk 4:37,Mk 6:35,Mk 6:35,Mk 8:2,Mk 11:11,Mk 13:28,Mk 15:42,Mk 15:44,Lk 3:9,Lk 7:6,Lk 11:7,Lk 12:49,Lk 14:17,Lk 19:37,Lk 21:30,Lk 21:30,Lk 23:44,Lk 24:29,Jn 3:18,Jn 4:35,Jn 4:51,Jn 5:6,Jn 6:17,Jn 9:22,Jn 9:27,Jn 11:17,Jn 11:39,Jn 13:2,Jn 15:3,Jn 19:28,Jn 19:33,Jn 21:4,Jn 21:14,Ac 4:3,Ac 27:9,Ac 27:9,Ro 1:10,Ro 4:19,Ro 13:11,1 Co 4:8,1 Co 4:8,1 Co 5:3,Php 3:12,Php 3:12,Php 4:10,2 Th 2:7,1 Ti 5:15,2 Ti 2:18,2 Ti 4:6,2 Pe 3:1,1 Jn 2:8,1 Jn 4:3
