Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
Ἔδει	δεῖ	impft	actv	indicative	3p	—	—	sg	verb	Jn 4:4
δέοντα	δεῖ	pres	actv	participle	—	neu	acc	pl	verb	1 Ti 5:13
δέῃ	δεῖ	pres	actv	subjunctive	3p	—	—	sg	verb	Mt 26:35,Mk 14:31
δέον	δεῖ	pres	actv	participle	—	neu	nom	sg	verb	Ac 19:36,1 Pe 1:6
δεῖν	δεῖ	pres	actv	infinitive	—	—	—	—	verb	Lk 18:1,Ac 25:24,Ac 26:9
δεῖ	δεῖ	pres	actv	indicative	3p	—	—	sg	verb	Mt 16:21,Mt 17:10,Mt 24:6,Mt 26:54,Mk 8:31,Mk 9:11,Mk 13:7,Mk 13:10,Mk 13:14,Lk 2:49,Lk 4:43,Lk 9:22,Lk 12:12,Lk 13:14,Lk 13:33,Lk 17:25,Lk 19:5,Lk 21:9,Lk 22:37,Lk 24:7,Lk 24:44,Jn 3:7,Jn 3:14,Jn 3:30,Jn 4:20,Jn 4:24,Jn 9:4,Jn 10:16,Jn 12:34,Jn 20:9,Ac 1:21,Ac 3:21,Ac 4:12,Ac 5:29,Ac 9:6,Ac 9:16,Ac 14:22,Ac 15:5,Ac 16:30,Ac 19:21,Ac 20:35,Ac 23:11,Ac 25:10,Ac 27:24,Ac 27:26,Ro 8:26,Ro 12:3,1 Co 8:2,1 Co 11:19,1 Co 15:25,2 Co 5:10,2 Co 11:30,2 Co 12:1,Eph 6:20,Col 4:4,Col 4:6,1 Th 4:1,2 Th 3:7,1 Ti 3:2,1 Ti 3:7,1 Ti 3:15,2 Ti 2:6,2 Ti 2:24,Tt 1:7,Tt 1:11,Tt 1:11,Heb 2:1,Heb 11:6,2 Pe 3:11,Re 1:1,Re 4:1,Re 10:11,Re 11:5,Re 17:10,Re 20:3,Re 22:6
Δεῖ	δεῖ	pres	actv	indicative	3p	—	—	sg	verb	1 Co 15:53
ἔδει	δεῖ	impft	actv	indicative	3p	—	—	sg	verb	Mt 18:33,Mt 23:23,Mt 25:27,Lk 11:42,Lk 13:16,Lk 15:32,Lk 22:7,Lk 24:26,Ac 1:16,Ac 17:3,Ac 24:19,Ac 27:21,Ro 1:27,2 Co 2:3,Heb 9:26
