Result	Lemma	Gender	Case	Number	Part of Speech	Reference
οὐρανούς	οὐρανός	mas	acc	pl	noun	Ac 2:34,Heb 4:14
οὐρανοί	οὐρανός	mas	nom	pl	noun	Mt 3:16,Heb 1:10
οὐρανὸν	οὐρανός	mas	acc	sg	noun	Mt 14:19,Mk 6:41,Mk 7:34,Mk 16:19,Lk 2:15,Lk 3:21,Lk 9:16,Lk 15:18,Lk 15:21,Lk 17:24,Lk 17:24,Jn 3:13,Jn 17:1,Ac 3:21,Ac 4:12,Jas 5:12,1 Pe 3:22,Re 10:6,Re 14:7,Re 21:1,Lk 16:17,Jn 1:51,Ac 1:10,Ac 1:11,Ac 4:24,Ac 7:55,Ac 10:11,Ac 14:15,Re 10:5,Re 11:12,Re 19:11
οὐρανοὶ	οὐρανός	mas	nom	pl	noun	2 Pe 3:5,2 Pe 3:10,2 Pe 3:12,Re 12:12,2 Pe 3:7
οὐρανός	οὐρανός	mas	nom	sg	noun	Mt 16:2,Mt 16:3,Ac 7:49
οὐρανοῖς	οὐρανός	mas	dat	pl	noun	Mt 5:12,Mt 5:16,Mt 5:45,Mt 6:1,Mt 6:9,Mt 7:11,Mt 7:21,Mt 10:32,Mt 10:33,Mt 12:50,Mt 16:17,Mt 16:19,Mt 16:19,Mt 18:10,Mt 18:10,Mt 18:14,Mt 18:19,Mt 19:21,Mk 11:25,Mk 12:25,Mk 13:25,Lk 10:20,Lk 12:33,Lk 18:22,2 Co 5:1,Eph 1:10,Eph 3:15,Eph 6:9,Php 3:20,Col 1:5,Col 1:16,Col 1:20,Heb 8:1,Heb 9:23,Heb 12:23,1 Pe 1:4
οὐρανόν	οὐρανός	mas	acc	sg	noun	Lk 18:13,Ac 2:5,Ro 10:6,Col 1:23,Heb 9:24,Heb 12:26,Re 11:6,Lk 24:51,Ac 1:11,Ac 1:11,Ac 10:16,Ac 11:10
οὐρανὸς	οὐρανός	mas	nom	sg	noun	Lk 4:25,Jas 5:18,Re 6:14,Re 20:11,Re 21:1,Mt 5:18,Mt 24:35,Mk 13:31,Lk 21:33
οὐρανοὺς	οὐρανός	mas	acc	pl	noun	Mk 1:10,Ac 7:56,2 Pe 3:13
οὐρανὲ	οὐρανός	mas	voc	sg	noun	Re 18:20
οὐρανοῦ	οὐρανός	mas	gen	sg	noun	Mt 11:23,Mt 16:1,Mt 16:3,Mt 21:25,Mt 21:25,Mt 24:29,Mt 24:30,Mt 26:64,Mt 28:2,Mk 8:11,Mk 11:30,Mk 11:31,Mk 13:25,Mk 13:27,Mk 14:62,Lk 3:22,Lk 9:54,Lk 10:15,Lk 11:13,Lk 12:56,Lk 17:29,Lk 20:4,Lk 20:5,Lk 21:11,Lk 22:43,Jn 1:32,Jn 3:13,Jn 3:27,Jn 3:31,Jn 6:31,Jn 6:32,Jn 6:41,Jn 12:28,Ac 2:2,Ro 1:18,1 Co 15:47,2 Co 5:2,Ga 1:8,Heb 11:12,1 Pe 1:12,Re 6:13,Re 8:10,Re 9:1,Re 10:1,Re 11:13,Re 12:4,Re 16:11,Re 16:21,Re 18:5,Re 20:1,Mt 6:26,Mt 8:20,Mt 11:25,Mt 13:32,Mk 4:32,Lk 8:5,Lk 9:58,Lk 10:18,Lk 10:21,Lk 11:16,Lk 13:19,Jn 6:32,Jn 6:33,Jn 6:38,Jn 6:42,Jn 6:50,Jn 6:51,Jn 6:58,Ac 7:42,Ac 9:3,Ac 10:12,Ac 11:5,Ac 11:9,Ac 22:6,2 Co 12:2,1 Th 4:16,2 Th 1:7,2 Pe 1:18,Re 3:12,Re 10:4,Re 10:8,Re 11:12,Re 13:13,Re 14:2,Re 14:13,Re 18:1,Re 18:4,Re 20:9,Re 21:2,Re 21:10,Ac 11:6,Ac 17:24
οὐρανῶν	οὐρανός	mas	gen	pl	noun	Mt 3:17,Mt 24:29,Mt 24:31,Mt 24:36,Mk 1:11,Lk 21:26,Eph 4:10,1 Th 1:10,Heb 7:26,Heb 12:25,Mt 3:2,Mt 4:17,Mt 5:3,Mt 5:10,Mt 5:19,Mt 5:19,Mt 5:20,Mt 7:21,Mt 8:11,Mt 10:7,Mt 11:11,Mt 11:12,Mt 13:11,Mt 13:24,Mt 13:31,Mt 13:33,Mt 13:44,Mt 13:45,Mt 13:47,Mt 13:52,Mt 16:19,Mt 18:1,Mt 18:3,Mt 18:4,Mt 18:23,Mt 19:12,Mt 19:14,Mt 19:23,Mt 20:1,Mt 22:2,Mt 23:13,Mt 25:1
οὐρανῷ	οὐρανός	mas	dat	sg	noun	Mt 5:34,Mt 6:10,Mt 6:20,Mt 18:18,Mt 18:18,Mt 22:30,Mt 23:22,Mt 24:30,Mt 28:18,Mk 10:21,Mk 13:32,Lk 6:23,Lk 15:7,Lk 19:38,Ac 2:19,1 Co 8:5,Col 4:1,Re 5:3,Re 5:13,Re 8:1,Re 11:15,Re 11:19,Re 12:7,Re 12:8,Re 13:6,Re 14:17,Re 15:5,Re 19:1,Re 19:14,Re 4:1,Re 4:2,Re 12:1,Re 12:3,Re 12:10,Re 15:1
