Result	Lemma	Gender	Case	Number	Part of Speech	Reference
θανάτοις	θάνατος	mas	dat	pl	noun	2 Co 11:23
θανάτῳ	θάνατος	mas	dat	sg	noun	Mt 15:4,Mt 20:18,Mk 7:10,Mk 10:33,Jn 12:33,Jn 18:32,Jn 21:19,Ro 5:21,Ro 7:5,Php 2:27,Php 3:10,Heb 7:23,1 Jn 3:14,Re 2:23,Re 6:8
θάνατος	θάνατος	mas	nom	sg	noun	Ro 5:12,Ro 5:12,Ro 5:14,Ro 5:17,Ro 6:9,Ro 6:21,Ro 6:23,Ro 7:13,Ro 8:6,Ro 8:38,1 Co 3:22,1 Co 15:21,1 Co 15:26,1 Co 15:54,2 Co 4:12,Re 6:8,Re 9:6,Re 18:8,Re 20:6,Re 20:13,Re 20:14,Re 20:14,Re 21:4,Re 21:8
θάνατον	θάνατος	mas	acc	sg	noun	Mt 10:21,Mk 13:12,Lk 2:26,Lk 22:33,Jn 8:51,Jn 11:4,Ro 6:3,Ro 6:4,Ro 6:16,Ro 7:10,Ro 7:13,1 Co 11:26,2 Co 2:16,2 Co 4:11,2 Co 7:10,2 Ti 1:10,Heb 9:16,Heb 11:5,Jas 1:15,1 Jn 5:16,1 Jn 5:16,1 Jn 5:16,1 Jn 5:17,Re 9:6,Re 13:3
θάνατε	θάνατος	mas	voc	sg	noun	1 Co 15:55,1 Co 15:55
θανάτου	θάνατος	mas	gen	sg	noun	Mt 4:16,Mt 16:28,Mt 26:38,Mt 26:66,Mk 9:1,Mk 14:34,Mk 14:64,Lk 1:79,Lk 9:27,Lk 23:15,Lk 23:22,Lk 24:20,Jn 5:24,Jn 8:52,Jn 11:13,Ac 2:24,Ac 13:28,Ac 22:4,Ac 23:29,Ac 25:11,Ac 25:25,Ac 26:31,Ac 28:18,Ro 1:32,Ro 5:10,Ro 6:5,Ro 7:24,Ro 8:2,1 Co 15:56,2 Co 1:9,2 Co 1:10,2 Co 2:16,2 Co 3:7,Php 1:20,Php 2:8,Php 2:8,Php 2:30,Col 1:22,Heb 2:9,Heb 2:9,Heb 2:14,Heb 2:14,Heb 2:15,Heb 5:7,Heb 9:15,Jas 5:20,1 Jn 3:14,Re 1:18,Re 2:10,Re 2:11,Re 12:11,Re 13:3,Re 13:12
