Reference	Result	Lemma	Part of Speech
Mt 3:3,Mt 5:19,Mt 7:12,Mt 8:27,Mt 9:3,Mt 10:22,Mt 12:24,Mt 15:8,Mt 21:10,Mt 21:42,Mt 24:13,Mt 26:61,Mt 26:71,Mt 27:47,Mt 27:54,Mt 27:58,Mt 28:15,Mk 2:7,Mk 3:35,Mk 6:16,Mk 7:6,Mk 12:10,Mk 13:13,Mk 14:69,Mk 15:39,Lk 1:29,Lk 1:32,Lk 1:36,Lk 2:25,Lk 2:34,Lk 4:22,Lk 4:36,Lk 5:21,Lk 7:17,Lk 7:39,Lk 8:41,Lk 9:9,Lk 9:24,Lk 14:30,Lk 15:2,Lk 15:24,Lk 15:30,Lk 15:32,Lk 16:1,Lk 17:18,Lk 18:11,Lk 18:14,Lk 20:17,Lk 20:28,Lk 22:56,Lk 22:59,Lk 23:22,Lk 23:38,Lk 23:41,Lk 23:47,Lk 23:51,Lk 23:52,Jn 1:2,Jn 1:7,Jn 1:15,Jn 1:41,Jn 2:20,Jn 3:2,Jn 3:26,Jn 4:47,Jn 6:46,Jn 6:52,Jn 6:60,Jn 6:71,Jn 7:15,Jn 7:18,Jn 7:31,Jn 7:35,Jn 7:36,Jn 7:49,Jn 9:2,Jn 9:3,Jn 9:16,Jn 9:24,Jn 9:33,Jn 11:37,Jn 11:37,Jn 11:47,Jn 12:34,Jn 15:5,Jn 18:30,Jn 21:21,Jn 21:23,Ac 1:11,Ac 1:18,Ac 4:9,Ac 4:10,Ac 6:13,Ac 6:14,Ac 7:19,Ac 7:36,Ac 7:40,Ac 9:15,Ac 10:6,Ac 10:32,Ac 13:7,Ac 14:9,Ac 17:18,Ac 17:24,Ac 18:13,Ac 18:25,Ac 19:26,Ac 22:26,Ac 26:31,Ac 26:32,Ac 28:4,Ro 4:9,Ro 8:9,Ro 9:9,1 Co 7:13,1 Co 8:3,Heb 3:3,Heb 7:4,Heb 10:12,Jas 1:23,Jas 1:25,Jas 3:2,1 Pe 2:7,2 Jn 9,Re 20:14	οὗτος	οὗτος	pronoun
Lk 16:26,Lk 24:21,Ac 4:16,Ac 5:35,Ro 8:37,Ro 15:23,1 Co 12:23,Ga 5:21,Col 3:7,Col 3:14,1 Th 4:18,1 Ti 4:15,1 Ti 6:8,Heb 9:23,2 Pe 2:20,3 Jn 10,Jud 7,Jud 10,Jud 14	τούτοις	οὗτος	pronoun
Mt 13:38,Mt 26:62,Mk 4:16,Mk 4:18,Mk 14:60,Lk 8:14,Lk 8:15,Lk 8:21,Ac 2:7,2 Pe 2:17,Jud 12,Jud 16,Re 7:14,Re 11:4,Re 14:4	οὗτοί	οὗτος	pronoun
Jn 4:54,1 Co 7:29,1 Co 11:17,1 Co 15:50,2 Co 9:6,Eph 4:17,Php 2:5,Col 2:4,1 Th 4:3,1 Th 4:15,2 Ti 3:1	Τοῦτο	οὗτος	pronoun
Ac 7:35	Τοῦτον	οὗτος	pronoun
Mt 19:11,Mt 21:44,Mt 27:32,Mk 7:29,Mk 14:58,Mk 14:71,Lk 9:13,Lk 9:26,Lk 12:5,Lk 12:56,Lk 16:28,Lk 19:14,Lk 20:12,Lk 20:13,Lk 23:2,Lk 23:14,Lk 23:18,Jn 2:19,Jn 5:6,Jn 6:27,Jn 6:34,Jn 6:58,Jn 7:27,Jn 9:29,Jn 9:39,Jn 18:40,Jn 19:8,Jn 19:12,Jn 19:20,Jn 21:21,Ac 2:23,Ac 2:32,Ac 2:36,Ac 3:16,Ac 5:31,Ac 5:37,Ac 6:14,Ac 7:35,Ac 10:40,Ac 13:27,Ac 15:38,Ac 16:3,Ac 21:28,Ac 23:17,Ac 23:18,Ac 23:25,Ac 23:27,Ac 24:5,Ac 25:24,Ac 28:26,Ro 9:9,Ro 15:28,1 Co 2:2,1 Co 3:17,1 Co 11:26,2 Co 4:7,Php 2:23,2 Th 3:14,Heb 8:3	τοῦτον	οὗτος	pronoun
Mt 13:15,Mt 19:5,Mt 26:29,Mt 27:24,Mk 10:7,Mk 10:10,Lk 2:17,Lk 9:45,Lk 13:16,Lk 16:8,Lk 20:34,Lk 22:51,Lk 24:4,Jn 4:13,Jn 6:51,Jn 6:61,Jn 6:66,Jn 8:23,Jn 8:23,Jn 9:31,Jn 10:41,Jn 11:9,Jn 12:31,Jn 12:31,Jn 13:1,Jn 16:11,Jn 16:19,Jn 18:17,Jn 18:29,Jn 18:36,Jn 18:36,Jn 19:12,Ac 5:28,Ac 6:13,Ac 9:13,Ac 13:17,Ac 13:23,Ac 13:38,Ac 15:2,Ac 15:6,Ac 17:32,Ac 21:28,Ac 22:22,Ac 25:25,Ac 28:9,Ac 28:27,Ro 7:24,1 Co 1:20,1 Co 2:6,1 Co 2:6,1 Co 2:8,1 Co 3:19,1 Co 5:10,1 Co 7:31,2 Co 4:4,2 Co 12:8,Eph 2:2,Eph 5:31,Eph 6:12,Col 1:27,Jas 1:26,1 Jn 4:6,Re 22:7,Re 22:9,Re 22:10,Re 22:18	τούτου	οὗτος	pronoun
Mt 12:41,Mt 12:42,Lk 7:31,Lk 11:31,Lk 11:32,Lk 11:50,Lk 11:51,Lk 17:25,Jn 10:16,Jn 12:27,Jn 15:13,Ac 1:17,Ac 1:25,Ac 2:6,Ac 2:29,Ac 2:40,Ac 5:20,Ac 6:3,Ac 8:22,Ac 8:35,Ac 10:30,Ac 13:26,Ac 19:25,Ac 19:40,Ac 23:1,Ac 24:21,Ac 26:22,Ac 28:22,2 Co 9:12,2 Co 9:13,Heb 9:11,Heb 13:2,Re 22:19	ταύτης	οὗτος	pronoun
Lk 21:22	αὗταί	οὗτος	pronoun
Mt 1:22,Mt 6:25,Mt 8:9,Mt 9:28,Mt 12:11,Mt 12:27,Mt 12:31,Mt 13:13,Mt 13:28,Mt 13:52,Mt 14:2,Mt 15:11,Mt 16:22,Mt 18:4,Mt 18:23,Mt 19:26,Mt 20:23,Mt 21:4,Mt 21:43,Mt 23:34,Mt 24:14,Mt 24:44,Mt 26:9,Mt 26:12,Mt 26:13,Mt 26:28,Mt 26:39,Mt 26:42,Mt 26:56,Mt 28:14,Mk 1:27,Mk 1:38,Mk 5:32,Mk 5:43,Mk 6:14,Mk 9:21,Mk 9:29,Mk 11:3,Mk 11:24,Mk 12:24,Mk 13:11,Mk 14:5,Mk 14:36,Lk 1:18,Lk 1:34,Lk 1:43,Lk 1:66,Lk 2:12,Lk 2:15,Lk 3:20,Lk 4:43,Lk 5:6,Lk 6:3,Lk 7:4,Lk 7:8,Lk 9:21,Lk 9:45,Lk 9:48,Lk 10:11,Lk 10:28,Lk 11:19,Lk 11:49,Lk 12:18,Lk 12:22,Lk 12:39,Lk 13:8,Lk 14:20,Lk 16:2,Lk 18:34,Lk 18:36,Lk 20:17,Lk 22:15,Lk 22:17,Lk 22:19,Lk 22:20,Lk 22:23,Lk 22:37,Lk 22:42,Lk 23:46,Lk 24:40,Jn 1:31,Jn 2:12,Jn 2:22,Jn 3:32,Jn 4:15,Jn 4:18,Jn 5:16,Jn 5:18,Jn 5:28,Jn 6:6,Jn 6:39,Jn 6:40,Jn 6:61,Jn 6:65,Jn 7:22,Jn 7:39,Jn 8:6,Jn 8:40,Jn 8:47,Jn 9:23,Jn 11:7,Jn 11:11,Jn 11:26,Jn 11:28,Jn 11:51,Jn 12:5,Jn 12:6,Jn 12:18,Jn 12:18,Jn 12:27,Jn 12:33,Jn 12:39,Jn 13:11,Jn 13:28,Jn 14:13,Jn 15:19,Jn 16:15,Jn 16:17,Jn 16:18,Jn 18:34,Jn 18:37,Jn 18:37,Jn 18:38,Jn 19:11,Jn 19:28,Jn 20:20,Jn 20:22,Jn 21:14,Jn 21:19,Jn 21:19,Ac 2:12,Ac 2:14,Ac 2:26,Ac 2:33,Ac 4:7,Ac 4:22,Ac 5:4,Ac 5:24,Ac 5:38,Ac 7:60,Ac 8:34,Ac 9:21,Ac 9:21,Ac 10:16,Ac 11:10,Ac 16:18,Ac 17:23,Ac 19:10,Ac 19:14,Ac 19:17,Ac 19:27,Ac 21:23,Ac 23:7,Ac 26:16,Ac 26:26,Ac 27:34,Ac 28:28,Ro 1:12,Ro 1:26,Ro 2:3,Ro 4:16,Ro 5:12,Ro 6:6,Ro 7:15,Ro 7:15,Ro 7:16,Ro 7:19,Ro 7:20,Ro 9:17,Ro 11:7,Ro 11:25,Ro 12:20,Ro 13:6,Ro 13:6,Ro 13:11,Ro 14:9,Ro 14:13,Ro 15:9,Ro 15:28,1 Co 1:12,1 Co 4:17,1 Co 5:2,1 Co 5:3,1 Co 6:6,1 Co 6:8,1 Co 7:6,1 Co 7:26,1 Co 7:35,1 Co 7:37,1 Co 9:17,1 Co 10:28,1 Co 11:10,1 Co 11:24,1 Co 11:25,1 Co 11:25,1 Co 11:30,1 Co 12:15,1 Co 12:16,1 Co 15:53,1 Co 15:53,1 Co 15:54,1 Co 15:54,2 Co 1:17,2 Co 2:1,2 Co 2:3,2 Co 2:9,2 Co 4:1,2 Co 5:5,2 Co 5:14,2 Co 7:11,2 Co 7:13,2 Co 8:10,2 Co 8:20,2 Co 10:7,2 Co 10:11,2 Co 12:14,2 Co 13:1,2 Co 13:9,2 Co 13:10,Ga 2:10,Ga 3:2,Ga 3:17,Ga 6:7,Eph 1:15,Eph 2:8,Eph 5:5,Eph 5:17,Eph 5:32,Eph 6:1,Eph 6:8,Eph 6:13,Eph 6:22,Php 1:6,Php 1:7,Php 1:9,Php 1:25,Php 1:28,Php 3:15,Php 3:15,Col 1:9,Col 3:20,Col 4:8,1 Th 2:13,1 Th 3:3,1 Th 3:5,1 Th 3:7,1 Th 5:18,2 Th 2:11,2 Th 3:10,1 Ti 1:9,1 Ti 1:16,1 Ti 2:3,1 Ti 4:10,1 Ti 4:16,1 Ti 5:4,2 Ti 1:15,2 Ti 2:10,Phm 15,Phm 18,Heb 1:9,Heb 2:1,Heb 6:3,Heb 7:27,Heb 9:8,Heb 9:15,Heb 9:20,Heb 9:27,Heb 10:33,Heb 10:33,Heb 13:17,Heb 13:17,Heb 13:19,Jas 4:15,1 Pe 1:25,1 Pe 2:19,1 Pe 2:20,1 Pe 2:21,1 Pe 3:9,1 Pe 4:6,2 Pe 1:5,2 Pe 1:20,2 Pe 3:3,2 Pe 3:5,2 Pe 3:8,1 Jn 3:1,1 Jn 3:8,1 Jn 4:5,3 Jn 5,3 Jn 10,Jud 4,Re 2:6,Re 7:1,Re 12:12,Re 18:8	τοῦτο	οὗτος	pronoun
