Result	Lemma	Gender	Case	Number	Part of Speech	Reference
σάββασιν	σάββατον	neu	dat	pl	noun	Mt 12:1,Mt 12:5,Mt 12:10,Mt 12:11,Mt 12:12,Mk 1:21,Mk 2:23,Mk 2:24,Mk 3:2,Mk 3:4,Lk 4:31,Lk 6:2,Lk 13:10
σαββάτου	σάββατον	neu	gen	sg	noun	Mt 12:8,Mk 2:28,Mk 6:2,Mk 16:1,Mk 16:9,Lk 6:5,Lk 13:14,Lk 13:16,Lk 14:5,Lk 18:12,Jn 19:31,1 Co 16:2,Ac 1:12
σάββατόν	σάββατον	neu	nom	sg	noun	Jn 5:10
σαββάτῳ	σάββατον	neu	dat	sg	noun	Mt 12:2,Mt 24:20,Lk 6:1,Lk 6:6,Lk 6:7,Lk 6:9,Lk 13:14,Lk 13:15,Lk 14:1,Lk 14:3,Jn 5:16,Jn 7:22,Jn 7:23,Jn 7:23,Jn 19:31,Ac 13:44
σάββατον	σάββατον	neu	nom	sg	noun	Mk 2:27,Lk 23:54,Jn 5:9,Jn 9:14
σαββάτων	σάββατον	neu	gen	pl	noun	Mt 28:1,Mt 28:1,Mk 16:2,Lk 4:16,Lk 24:1,Jn 20:1,Jn 20:19,Ac 13:14,Ac 16:13,Ac 20:7,Col 2:16
σάββατα	σάββατον	neu	acc	pl	noun	Ac 17:2
σάββατον	σάββατον	neu	acc	sg	noun	Mt 12:5,Mk 2:27,Lk 23:56,Jn 5:18,Jn 9:16,Ac 13:27,Ac 13:42,Ac 15:21,Ac 18:4
