Result	Lemma	Gender	Case	Number	Part of Speech	Reference
τί	τις	neu	nom	sg	pronoun	Ac 25:5,1 Co 10:19,1 Co 10:19,Ga 6:15
τινὲς	τις	mas	nom	pl	adjective, pronoun	Ac 17:34,Ac 24:19
τινῶν	τις	fem	gen	pl	adjective, pronoun	Ac 25:13
τισὶν	τις	mas	dat	pl	pronoun	1 Ti 1:3,1 Ti 5:24
τινὲς	τις	mas	nom	pl	pronoun	Mt 27:47,Lk 6:2,Lk 11:15,Jn 7:44,Jn 11:37,Jn 11:46,Jn 13:29,Ac 15:24,Ac 17:18,Ac 19:31,Ac 23:9,1 Co 8:7,1 Co 10:10,1 Co 15:6,Php 1:15,Php 1:15
τίνα	τις	neu	acc	pl	pronoun	Ac 17:20
τινὶ	τις	mas	dat	sg	adjective, pronoun	Lk 11:1
τισιν	τις	mas	dat	pl	pronoun	2 Co 10:12
τίς	τις	mas	nom	sg	adjective, pronoun	Ac 25:14
τισίν	τις	mas	dat	pl	pronoun	Heb 10:25
Τινῶν	τις	mas	gen	pl	adjective, pronoun	1 Ti 5:24
τινας	τις	mas	acc	pl	adjective, pronoun	Lk 18:9,Ac 15:2,Ac 17:6,Ac 19:1,Ac 27:1,2 Co 10:2
