Reference	Result	Lemma	Part of Speech	Adverb/particle Type
Mt 22:20,Mt 22:28,Mt 22:42,Mk 12:16,Mk 12:23,Lk 14:5,Lk 20:24,Lk 20:33,Jn 13:22,Jn 19:24,Ac 8:34,Ac 19:32,1 Jn 3:12	τίνος	τίς	pronoun	—
Mt 5:46,Jn 18:29,Ro 6:21,1 Th 3:9	τίνα	τίς	adjective, pronoun	—
Heb 3:17,Heb 3:18	τίσιν	τίς	pronoun	—
Mt 6:3,Mt 6:25,Mt 6:25,Mt 6:25,Mt 6:28,Mt 6:31,Mt 6:31,Mt 6:31,Mt 8:26,Mt 8:29,Mt 9:5,Mt 9:11,Mt 9:13,Mt 9:14,Mt 10:19,Mt 10:19,Mt 11:7,Mt 11:8,Mt 11:9,Mt 12:3,Mt 12:7,Mt 13:10,Mt 14:31,Mt 15:2,Mt 15:3,Mt 15:32,Mt 16:8,Mt 16:26,Mt 16:26,Mt 17:10,Mt 17:19,Mt 17:25,Mt 19:7,Mt 19:17,Mt 19:20,Mt 19:27,Mt 20:6,Mt 20:21,Mt 20:22,Mt 20:32,Mt 21:16,Mt 21:25,Mt 21:40,Mt 22:17,Mt 22:18,Mt 22:42,Mt 23:19,Mt 24:3,Mt 26:8,Mt 26:10,Mt 26:15,Mt 26:62,Mt 26:65,Mt 26:66,Mt 26:70,Mt 27:4,Mt 27:22,Mt 27:23,Mk 1:24,Mk 1:27,Mk 2:7,Mk 2:8,Mk 2:9,Mk 2:18,Mk 2:24,Mk 2:25,Mk 4:24,Mk 4:40,Mk 5:7,Mk 5:9,Mk 5:14,Mk 5:35,Mk 5:39,Mk 6:24,Mk 6:36,Mk 7:5,Mk 8:1,Mk 8:2,Mk 8:12,Mk 8:17,Mk 8:36,Mk 8:37,Mk 9:6,Mk 9:10,Mk 9:16,Mk 9:33,Mk 10:3,Mk 10:17,Mk 10:18,Mk 10:36,Mk 10:38,Mk 10:51,Mk 11:3,Mk 11:5,Mk 11:31,Mk 12:9,Mk 12:15,Mk 13:4,Mk 13:11,Mk 14:4,Mk 14:6,Mk 14:36,Mk 14:36,Mk 14:40,Mk 14:60,Mk 14:63,Mk 14:64,Mk 14:68,Mk 15:12,Mk 15:24,Mk 15:34,Lk 1:18,Lk 1:62,Lk 1:66,Lk 2:48,Lk 2:49,Lk 3:10,Lk 3:12,Lk 3:14,Lk 4:34,Lk 5:22,Lk 5:23,Lk 5:30,Lk 6:2,Lk 6:11,Lk 7:24,Lk 7:25,Lk 7:26,Lk 8:28,Lk 8:30,Lk 9:25,Lk 10:25,Lk 10:26,Lk 12:11,Lk 12:11,Lk 12:17,Lk 12:22,Lk 12:22,Lk 12:26,Lk 12:29,Lk 12:29,Lk 12:49,Lk 15:26,Lk 16:2,Lk 16:3,Lk 16:4,Lk 17:8,Lk 18:6,Lk 18:18,Lk 18:19,Lk 18:36,Lk 18:41,Lk 19:15,Lk 19:23,Lk 19:31,Lk 19:33,Lk 19:48,Lk 20:5,Lk 20:13,Lk 20:15,Lk 20:17,Lk 21:7,Lk 22:46,Lk 22:71,Lk 23:22,Lk 23:31,Lk 23:34,Lk 24:5,Lk 24:38,Lk 24:38,Jn 1:21,Jn 1:22,Jn 1:25,Jn 1:38,Jn 2:4,Jn 2:25,Jn 4:27,Jn 4:27,Jn 6:6,Jn 6:9,Jn 6:28,Jn 6:30,Jn 7:19,Jn 7:45,Jn 7:51,Jn 8:5,Jn 8:43,Jn 8:46,Jn 9:17,Jn 9:26,Jn 9:27,Jn 10:20,Jn 11:47,Jn 11:56,Jn 12:5,Jn 12:27,Jn 12:49,Jn 12:49,Jn 13:12,Jn 13:28,Jn 13:37,Jn 14:22,Jn 15:15,Jn 16:17,Jn 16:18,Jn 16:18,Jn 18:21,Jn 18:21,Jn 18:23,Jn 18:35,Jn 18:38,Jn 20:13,Jn 20:15,Jn 21:21,Jn 21:22,Jn 21:23,Ac 1:11,Ac 2:12,Ac 2:37,Ac 3:12,Ac 3:12,Ac 4:16,Ac 5:3,Ac 5:4,Ac 5:9,Ac 5:24,Ac 5:35,Ac 7:40,Ac 8:36,Ac 9:4,Ac 10:4,Ac 10:17,Ac 12:18,Ac 13:25,Ac 14:15,Ac 15:10,Ac 16:30,Ac 17:18,Ac 19:3,Ac 21:13,Ac 21:22,Ac 21:33,Ac 22:7,Ac 22:10,Ac 22:16,Ac 22:26,Ac 22:30,Ac 23:19,Ac 26:8,Ac 26:14,Ro 3:3,Ro 3:5,Ro 3:7,Ro 4:3,Ro 8:26,Ro 8:27,Ro 9:19,Ro 9:20,Ro 9:32,Ro 10:8,Ro 11:2,Ro 11:4,Ro 12:2,Ro 14:10,Ro 14:10,1 Co 3:5,1 Co 4:7,1 Co 4:7,1 Co 4:21,1 Co 5:12,1 Co 6:7,1 Co 6:7,1 Co 7:16,1 Co 7:16,1 Co 10:30,1 Co 11:22,1 Co 14:6,1 Co 14:15,1 Co 14:16,1 Co 15:29,1 Co 15:29,1 Co 15:32,2 Co 11:11,2 Co 12:13,Ga 4:30,Ga 5:11,Eph 1:19,Eph 3:18,Eph 4:9,Eph 5:10,Eph 5:17,Eph 6:21,Php 1:22,Col 1:27,Col 2:20,Heb 2:6,Heb 11:32,Heb 13:6,Jas 2:16,1 Pe 4:17,1 Jn 3:2,Re 2:7,Re 2:11,Re 2:17,Re 2:29,Re 3:6,Re 3:13,Re 3:22,Re 17:7	τί	τίς	pronoun	—
Mt 17:25,1 Ti 1:7,2 Ti 3:14	τίνων	τίς	pronoun	—
Mt 24:45,Lk 14:28,Lk 17:7,1 Co 9:7,Jas 3:13,1 Jn 2:22,1 Jn 5:5	Τίς	τίς	pronoun	—
Mt 7:14	τί	τίς	adverb, pronoun	emphatic
Jn 1:46	τι	τίς	pronoun	—
1 Pe 5:8	τινα	τίς	pronoun	—
1 Th 4:2	τίνας	τίς	adjective, pronoun	—
