Result	Lemma	Person	Gender	Case	Number	Part of Speech	Reference
ἐγώ	ἐγώ	1p	—	nom	sg	pronoun	Mt 14:27,Mt 21:30,Mt 22:32,Mt 24:5,Mt 26:22,Mt 26:25,Mk 6:50,Mk 13:6,Mk 14:19,Mk 14:29,Mk 14:62,Lk 1:19,Lk 21:8,Lk 22:70,Lk 24:39,Jn 4:26,Jn 5:7,Jn 6:20,Jn 6:35,Jn 6:41,Jn 6:51,Jn 8:11,Jn 8:12,Jn 8:16,Jn 8:18,Jn 8:24,Jn 8:28,Jn 9:9,Jn 10:7,Jn 10:9,Jn 11:25,Jn 13:19,Jn 14:6,Jn 14:26,Jn 15:5,Jn 17:4,Jn 18:5,Jn 18:6,Jn 18:8,Jn 18:21,Jn 18:26,Ac 7:7,Ac 9:5,Ac 9:10,Ac 10:21,Ac 13:25,Ac 18:10,Ac 22:3,Ac 22:8,Ac 26:15,Ac 26:29,Ac 28:17,Ro 14:11,2 Co 11:23,Ga 2:20,Ga 4:12,1 Ti 1:11,1 Ti 1:15,Tt 1:5,Phm 20,Re 1:17,Re 2:23,Re 21:6,Re 22:16
ἐμοὶ	ἐγώ	1p	mas	nominative, dative	plural, singular	adjective, pronoun	Jn 13:35,Jn 15:8
ἐμοί	ἐγώ	1p	—	dat	sg	pronoun	Mt 11:6,Mt 18:26,Mt 18:29,Mk 14:6,Lk 7:23,Lk 22:37,Jn 5:46,Jn 12:26,Jn 14:10,Jn 14:11,Jn 15:4,Jn 15:6,Jn 17:23,Jn 18:35,Ac 28:18,Ro 7:18,1 Co 9:15,1 Co 15:10,Ga 1:16,Ga 2:3,Php 1:30,Php 4:9,Phm 16
ἐμοὶ	ἐγώ	1p	mas	nominative, dative	plural, singular	pronoun	Jn 18:36
ἡμῖν	ἐγώ	1p	—	dat	pl	pronoun	Mt 3:15,Mt 6:11,Mt 6:12,Mt 8:29,Mt 13:36,Mt 15:15,Mt 15:33,Mt 19:27,Mt 20:12,Mt 21:25,Mt 22:17,Mt 22:25,Mt 24:3,Mt 25:8,Mt 25:9,Mt 25:11,Mt 26:63,Mt 26:68,Mk 1:24,Mk 9:22,Mk 9:38,Mk 10:35,Mk 10:37,Mk 12:19,Mk 13:4,Mk 14:15,Mk 16:3,Lk 1:1,Lk 1:2,Lk 1:69,Lk 1:73,Lk 2:15,Lk 2:48,Lk 4:34,Lk 7:5,Lk 7:16,Lk 9:13,Lk 10:11,Lk 10:17,Lk 11:3,Lk 11:4,Lk 11:4,Lk 13:25,Lk 17:5,Lk 20:2,Lk 20:28,Lk 22:8,Lk 22:67,Lk 23:18,Lk 24:24,Lk 24:32,Lk 24:32,Lk 24:32,Jn 1:14,Jn 2:18,Jn 4:12,Jn 4:25,Jn 6:34,Jn 6:52,Jn 8:5,Jn 10:24,Jn 14:8,Jn 14:8,Jn 14:9,Jn 14:22,Jn 16:17,Jn 17:21,Jn 18:31,Ac 1:17,Ac 1:21,Ac 1:22,Ac 2:29,Ac 3:12,Ac 6:14,Ac 7:38,Ac 7:40,Ac 10:41,Ac 10:42,Ac 11:13,Ac 11:17,Ac 13:26,Ac 13:33,Ac 13:47,Ac 15:8,Ac 15:25,Ac 15:28,Ac 16:9,Ac 16:16,Ac 16:17,Ac 16:21,Ac 19:25,Ac 19:27,Ac 20:14,Ac 21:16,Ac 21:18,Ac 21:23,Ac 25:24,Ac 27:2,Ac 28:2,Ac 28:15,Ac 28:22,Ro 5:5,Ro 8:4,Ro 8:32,Ro 9:29,Ro 12:6,1 Co 1:18,1 Co 1:30,1 Co 2:10,1 Co 2:12,1 Co 4:6,1 Co 8:6,1 Co 15:57,2 Co 4:12,2 Co 4:17,2 Co 5:5,2 Co 5:18,2 Co 5:19,2 Co 6:12,2 Co 7:7,2 Co 8:5,2 Co 10:13,Eph 1:9,Eph 3:20,Eph 6:12,Col 1:8,Col 2:13,Col 2:14,Col 4:3,1 Th 2:8,1 Th 3:6,1 Ti 6:17,2 Ti 1:7,2 Ti 1:9,2 Ti 1:14,Phm 6,Heb 1:2,Heb 4:13,Heb 5:11,Heb 7:26,Heb 10:15,Heb 10:20,Heb 12:1,Heb 12:1,Heb 13:21,Jas 3:3,Jas 4:5,Jas 5:17,2 Pe 1:1,2 Pe 1:3,2 Pe 1:4,1 Jn 1:2,1 Jn 1:8,1 Jn 1:9,1 Jn 1:10,1 Jn 2:25,1 Jn 3:1,1 Jn 3:23,1 Jn 3:24,1 Jn 3:24,1 Jn 4:9,1 Jn 4:12,1 Jn 4:12,1 Jn 4:13,1 Jn 4:13,1 Jn 4:16,1 Jn 5:11,1 Jn 5:20,2 Jn 2
μοί	ἐγώ	1p	—	dat	sg	pronoun	Lk 9:38,Ro 9:2,1 Co 9:16,2 Co 9:1
ἡμᾶς	ἐγώ	1p	—	acc	pl	pronoun	Mt 6:13,Mt 6:13,Mt 8:29,Mt 8:31,Mt 8:31,Mt 9:27,Mt 13:56,Mt 17:4,Mt 20:7,Mt 20:30,Mt 20:31,Mt 27:4,Mt 27:25,Mk 1:24,Mk 5:12,Mk 6:3,Mk 9:5,Mk 9:22,Lk 1:71,Lk 1:78,Lk 4:34,Lk 7:20,Lk 9:33,Lk 11:1,Lk 11:4,Lk 11:45,Lk 12:41,Lk 16:26,Lk 17:13,Lk 19:14,Lk 20:6,Lk 20:22,Lk 23:15,Lk 23:30,Lk 23:30,Lk 23:39,Lk 24:22,Jn 1:22,Jn 9:4,Jn 9:34,Ac 1:21,Ac 3:4,Ac 4:12,Ac 5:28,Ac 6:2,Ac 7:40,Ac 11:15,Ac 14:11,Ac 14:22,Ac 16:10,Ac 16:15,Ac 16:37,Ac 16:37,Ac 16:37,Ac 20:5,Ac 21:1,Ac 21:5,Ac 21:5,Ac 21:11,Ac 21:17,Ac 27:1,Ac 27:6,Ac 27:7,Ac 27:20,Ac 27:26,Ac 28:2,Ac 28:7,Ac 28:10,Ro 3:8,Ro 4:24,Ro 5:8,Ro 6:6,Ro 7:6,Ro 8:18,Ro 8:35,Ro 8:37,Ro 8:39,Ro 9:24,1 Co 4:1,1 Co 4:9,1 Co 6:14,1 Co 8:8,1 Co 9:10,1 Co 9:10,1 Co 10:6,2 Co 1:4,2 Co 1:4,2 Co 1:5,2 Co 1:8,2 Co 1:10,2 Co 1:11,2 Co 1:14,2 Co 1:21,2 Co 1:21,2 Co 1:22,2 Co 2:14,2 Co 3:6,2 Co 4:14,2 Co 5:5,2 Co 5:10,2 Co 5:14,2 Co 5:18,2 Co 7:2,2 Co 7:6,2 Co 8:6,2 Co 8:20,2 Co 10:2,Ga 1:4,Ga 1:23,Ga 2:4,Ga 3:13,Ga 5:1,Eph 1:3,Eph 1:4,Eph 1:4,Eph 1:5,Eph 1:6,Eph 1:8,Eph 1:12,Eph 1:19,Eph 2:4,Eph 2:5,Eph 2:7,Eph 5:2,Php 3:17,Col 1:13,1 Th 1:8,1 Th 1:10,1 Th 2:15,1 Th 2:16,1 Th 2:18,1 Th 3:6,1 Th 3:6,1 Th 4:7,1 Th 5:9,2 Th 1:4,2 Th 2:16,2 Th 3:7,2 Th 3:9,2 Ti 1:9,2 Ti 2:12,Tt 2:12,Tt 2:14,Tt 3:5,Tt 3:6,Tt 3:15,Heb 2:1,Heb 2:3,Heb 13:6,Jas 1:18,Jas 1:18,1 Pe 1:3,2 Pe 1:3,1 Jn 1:7,1 Jn 1:9,1 Jn 3:1,1 Jn 4:10,1 Jn 4:11,1 Jn 4:19,3 Jn 9,3 Jn 10,Re 1:5,Re 1:5,Re 1:6,Re 6:16,Re 6:16
ἐμοὺς	ἐγώ	1p	mas	acc	pl	adjective, pronoun	Re 2:20
ἐμοῦ	ἐγώ	1p	neu	gen	sg	pronoun	Jn 16:14,Jn 16:15
Ἐγὼ	ἐγώ	1p	—	nom	sg	pronoun	Mt 3:11,Jn 5:36,Jn 17:9,Ac 26:9,1 Co 9:15,1 Co 11:23,1 Co 15:9,2 Co 1:23,Ga 5:11,2 Ti 4:6,Re 1:9,Re 22:16
