Reference	Result	Lemma	Part of Speech
Jn 15:9	ἐμῇ	ἐμός	pronoun, adjective
Jn 8:31	ἐμῷ	ἐμός	pronoun, adjective
Jn 8:56,Jn 17:24	ἐμήν	ἐμός	pronoun, adjective
Jn 15:12,Jn 18:36	ἐμή	ἐμός	pronoun, adjective
Jn 7:8,Jn 14:24,2 Co 8:23	ἐμὸς	ἐμός	adjective, pronoun
Jn 8:43,Jn 14:27,Jn 17:13	ἐμὴν	ἐμός	pronoun, adjective
Mk 8:38,Lk 9:26	ἐμοὺς	ἐμός	adjective, pronoun
Mt 20:15	ἐμοῖς	ἐμός	pronoun, adjective
Ro 3:7,1 Co 11:25	ἐμῷ	ἐμός	adjective, pronoun
Jn 3:29,Jn 5:30,Jn 8:16,Jn 15:11,Jn 18:36,Jn 18:36	ἐμὴ	ἐμός	pronoun, adjective
Lk 15:31,Jn 10:14,Jn 10:27,Jn 17:10	ἐμὰ	ἐμός	pronoun, adjective
Jn 10:14	ἐμά	ἐμός	pronoun, adjective
Jn 5:47	ἐμοῖς	ἐμός	adjective, pronoun
Jn 7:6,Jn 8:37,Jn 12:26	ἐμὸς	ἐμός	pronoun, adjective
1 Co 16:21,Ga 6:11,Col 4:18,2 Th 3:17,Phm 19	ἐμῇ	ἐμός	adjective, pronoun
Ro 10:1,Php 1:26	ἐμῆς	ἐμός	adjective, pronoun
Mt 18:20,Mk 10:40,Jn 4:34,Jn 8:51,1 Co 1:15,1 Co 16:18	ἐμὸν	ἐμός	adjective, pronoun
Lk 22:19,1 Co 7:40,1 Co 11:24,1 Co 11:25,2 Co 1:23,Ga 1:13,Php 3:9,2 Pe 1:15	ἐμὴν	ἐμός	adjective, pronoun
Phm 12,3 Jn 4	ἐμὰ	ἐμός	adjective, pronoun
Jn 10:26	ἐμῶν	ἐμός	pronoun, adjective
Jn 16:15,Jn 17:10	ἐμά	ἐμός	adjective, pronoun
Jn 8:43	ἐμόν	ἐμός	pronoun, adjective
Jn 14:15	ἐμὰς	ἐμός	pronoun, adjective
Jn 7:16,Jn 7:16,1 Co 9:3,2 Co 2:3	ἐμὴ	ἐμός	adjective, pronoun
Mt 20:23,Mt 25:27,Jn 5:30,Jn 6:38	ἐμὸν	ἐμός	pronoun, adjective
