Result	Lemma	Person	Case	Number	Part of Speech	Reference
σοὶ	σύ	2p	dat	sg	pronoun	Mt 6:23,Mt 17:4,Mt 26:35,Mt 27:19,Mk 1:11,Mk 2:11,Mk 5:41,Mk 9:5,Lk 3:22,Lk 4:6,Lk 5:24,Lk 7:14,Lk 9:33,Lk 11:35,Jn 17:6,Ac 5:4,Ac 8:20,Ro 9:17,Ro 13:4,Ga 3:8,1 Ti 4:14,2 Ti 1:5,2 Ti 1:6,Phm 11,Phm 16,Re 18:22,Re 18:22,Re 18:22,Re 18:23,Re 18:23
σοι	σύ	2p	dat	sg	pronoun	Mt 2:13,Mt 4:9,Mt 5:26,Mt 5:29,Mt 5:30,Mt 5:40,Mt 6:4,Mt 6:6,Mt 6:18,Mt 8:13,Mt 8:19,Mt 11:21,Mt 11:21,Mt 11:25,Mt 12:47,Mt 14:4,Mt 15:28,Mt 16:17,Mt 16:18,Mt 16:19,Mt 16:22,Mt 16:22,Mt 17:25,Mt 18:17,Mt 18:22,Mt 18:26,Mt 18:29,Mt 18:32,Mt 19:27,Mt 21:5,Mt 21:23,Mt 22:16,Mt 22:17,Mt 25:44,Mt 26:17,Mt 26:34,Mk 4:38,Mk 5:9,Mk 5:19,Mk 6:18,Mk 6:22,Mk 6:23,Mk 9:25,Mk 10:28,Mk 10:51,Mk 11:28,Mk 12:14,Mk 14:30,Mk 14:31,Mk 14:36,Lk 1:3,Lk 1:13,Lk 1:14,Lk 1:19,Lk 1:35,Lk 5:20,Lk 5:23,Lk 7:47,Lk 8:30,Lk 8:39,Lk 9:57,Lk 9:61,Lk 10:13,Lk 10:13,Lk 10:21,Lk 10:35,Lk 10:36,Lk 10:40,Lk 11:7,Lk 12:59,Lk 14:9,Lk 14:10,Lk 14:10,Lk 14:10,Lk 14:12,Lk 14:14,Lk 14:14,Lk 15:29,Lk 18:11,Lk 18:22,Lk 18:28,Lk 18:41,Lk 19:43,Lk 20:2,Lk 22:11,Lk 22:34,Lk 23:43,Jn 1:50,Jn 3:3,Jn 3:5,Jn 3:7,Jn 3:11,Jn 4:10,Jn 4:10,Jn 4:26,Jn 5:10,Jn 5:12,Jn 6:30,Jn 9:26,Jn 11:22,Jn 11:40,Jn 11:41,Jn 13:37,Jn 13:38,Jn 18:30,Jn 18:34,Jn 19:11,Jn 19:11,Jn 21:18,Ac 3:6,Ac 7:3,Ac 8:21,Ac 8:22,Ac 9:6,Ac 9:17,Ac 10:33,Ac 16:18,Ac 18:10,Ac 21:23,Ac 22:10,Ac 22:10,Ac 23:18,Ac 24:13,Ac 24:14,Ac 26:1,Ac 26:14,Ac 26:16,Ac 26:16,Ac 27:24,Ro 9:7,Ro 15:9,1 Co 7:21,2 Co 6:2,2 Co 12:9,Eph 5:14,Eph 6:3,1 Ti 1:18,1 Ti 3:14,1 Ti 4:14,1 Ti 6:13,2 Ti 2:7,Tt 1:5,Phm 8,Phm 11,Phm 12,Phm 19,Phm 21,Heb 8:5,Heb 11:18,Jas 2:18,2 Jn 5,3 Jn 13,3 Jn 13,3 Jn 15,Jud 9,Re 2:5,Re 2:10,Re 2:16,Re 3:18,Re 4:1,Re 11:17,Re 17:1,Re 17:7,Re 21:9
σὺ	σύ	2p	nom	sg	pronoun	Mt 2:6,Mt 3:14,Mt 6:6,Mt 6:17,Mt 11:3,Mt 14:28,Mt 16:16,Mt 16:18,Mt 26:25,Mt 26:63,Mt 26:64,Mt 26:69,Mt 26:73,Mt 27:4,Mt 27:11,Mt 27:11,Mk 1:11,Mk 3:11,Mk 8:29,Mk 14:30,Mk 14:61,Mk 14:67,Mk 14:68,Mk 15:2,Mk 15:2,Lk 1:42,Lk 1:76,Lk 3:22,Lk 4:7,Lk 4:41,Lk 7:19,Lk 7:20,Lk 9:60,Lk 10:37,Lk 15:31,Lk 16:7,Lk 16:25,Lk 19:19,Lk 19:42,Lk 22:58,Lk 22:67,Lk 22:70,Lk 23:3,Lk 23:3,Lk 23:37,Lk 23:39,Lk 23:40,Lk 24:18,Jn 1:19,Jn 1:21,Jn 1:25,Jn 1:42,Jn 1:42,Jn 1:49,Jn 1:49,Jn 2:10,Jn 2:20,Jn 3:2,Jn 3:10,Jn 3:26,Jn 4:9,Jn 4:10,Jn 4:12,Jn 6:30,Jn 6:69,Jn 7:52,Jn 8:5,Jn 8:13,Jn 8:25,Jn 8:33,Jn 8:48,Jn 8:52,Jn 8:53,Jn 9:17,Jn 9:28,Jn 9:34,Jn 9:34,Jn 9:35,Jn 10:24,Jn 10:33,Jn 11:27,Jn 12:34,Jn 13:7,Jn 14:9,Jn 17:23,Jn 18:17,Jn 18:25,Jn 18:33,Jn 18:34,Jn 18:37,Jn 20:15,Jn 21:12,Jn 21:15,Jn 21:16,Jn 21:17,Jn 21:17,Ac 1:24,Ac 4:24,Ac 7:28,Ac 9:5,Ac 10:15,Ac 11:9,Ac 11:14,Ac 16:31,Ac 21:38,Ac 22:8,Ac 22:27,Ac 23:3,Ac 23:21,Ac 25:10,Ac 26:15,Ro 2:3,Ro 2:17,Ro 9:20,Ro 11:17,Ro 11:18,Ro 11:20,Ro 11:22,Ro 11:24,Ro 14:4,Ro 14:10,Ro 14:22,1 Co 14:17,1 Co 15:36,Ga 2:14,Ga 6:1,2 Ti 1:18,2 Ti 4:15,Heb 1:10,Heb 1:11,Heb 1:12,Heb 5:6,Heb 7:17,Heb 7:21,Jas 2:3,Jas 2:3,Jas 2:18,Jas 2:19,Jas 4:12,3 Jn 3,Re 2:15,Re 3:17,Re 4:11,Re 7:14
Ὑμῖν	σύ	2p	dat	pl	pronoun	Ro 11:13
ὑμεῖς	σύ	2p	nom	pl	pronoun	Mt 5:48,Mt 6:9,Mt 6:26,Mt 7:11,Mt 7:12,Mt 10:20,Mt 10:31,Mt 14:16,Mt 15:3,Mt 15:5,Mt 15:16,Mt 16:15,Mt 19:28,Mt 19:28,Mt 20:4,Mt 20:7,Mt 21:13,Mt 21:32,Mt 23:8,Mt 23:13,Mt 23:28,Mt 23:32,Mt 24:33,Mt 24:44,Mt 26:31,Mt 27:24,Mt 28:5,Mk 6:31,Mk 6:37,Mk 7:11,Mk 7:18,Mk 8:29,Mk 11:17,Mk 13:9,Mk 13:11,Mk 13:23,Mk 13:29,Lk 9:13,Lk 9:20,Lk 9:44,Lk 10:24,Lk 11:13,Lk 11:39,Lk 11:48,Lk 12:24,Lk 12:29,Lk 12:36,Lk 12:40,Lk 16:15,Lk 17:10,Lk 19:46,Lk 21:31,Lk 22:26,Lk 22:70,Lk 24:48,Lk 24:49,Jn 1:26,Jn 3:28,Jn 4:20,Jn 4:22,Jn 4:32,Jn 4:35,Jn 4:38,Jn 4:38,Jn 5:20,Jn 5:33,Jn 5:34,Jn 5:35,Jn 5:38,Jn 5:39,Jn 5:44,Jn 5:45,Jn 6:67,Jn 7:8,Jn 7:28,Jn 7:34,Jn 7:36,Jn 7:47,Jn 8:14,Jn 8:15,Jn 8:21,Jn 8:22,Jn 8:23,Jn 8:23,Jn 8:31,Jn 8:38,Jn 8:41,Jn 8:44,Jn 8:46,Jn 8:47,Jn 8:49,Jn 8:54,Jn 9:19,Jn 9:27,Jn 9:30,Jn 10:26,Jn 10:36,Jn 11:49,Jn 13:10,Jn 13:13,Jn 13:14,Jn 13:15,Jn 13:33,Jn 13:34,Jn 14:3,Jn 14:17,Jn 14:19,Jn 14:19,Jn 14:20,Jn 14:20,Jn 15:3,Jn 15:4,Jn 15:5,Jn 15:14,Jn 15:16,Jn 15:16,Jn 15:27,Jn 16:20,Jn 16:20,Jn 16:22,Jn 16:27,Jn 18:31,Jn 19:6,Jn 19:35,Ac 1:5,Ac 2:15,Ac 2:33,Ac 2:36,Ac 3:13,Ac 3:14,Ac 3:25,Ac 4:7,Ac 4:10,Ac 5:30,Ac 7:4,Ac 7:51,Ac 7:51,Ac 7:52,Ac 8:24,Ac 10:28,Ac 10:37,Ac 11:16,Ac 15:7,Ac 19:15,Ac 20:25,Ac 22:3,Ac 23:15,Ac 27:31,Ro 1:6,Ro 6:11,Ro 7:4,Ro 9:26,Ro 11:30,Ro 16:17,1 Co 1:30,1 Co 3:17,1 Co 3:23,1 Co 4:10,1 Co 4:10,1 Co 4:10,1 Co 5:2,1 Co 5:12,1 Co 6:8,1 Co 9:1,1 Co 9:2,1 Co 10:15,1 Co 14:9,1 Co 14:12,1 Co 16:1,1 Co 16:6,1 Co 16:16,2 Co 1:14,2 Co 3:2,2 Co 6:13,2 Co 6:18,2 Co 8:9,2 Co 9:4,2 Co 11:7,2 Co 12:11,2 Co 13:7,2 Co 13:9,Ga 3:28,Ga 3:29,Ga 4:12,Ga 6:1,Eph 1:13,Eph 2:11,Eph 2:13,Eph 2:22,Eph 5:33,Eph 6:21,Php 2:18,Php 4:15,Php 4:15,Col 3:4,Col 3:7,Col 3:8,Col 3:13,Col 4:1,Col 4:16,1 Th 1:6,1 Th 2:10,1 Th 2:14,1 Th 2:19,1 Th 2:20,1 Th 3:8,1 Th 4:9,1 Th 5:4,1 Th 5:5,2 Th 1:12,Jas 2:6,Jas 5:8,1 Pe 2:9,1 Pe 4:1,1 Jn 1:3,1 Jn 2:20,1 Jn 2:24,1 Jn 2:24,1 Jn 2:27
ὑμῖν	σύ	2p	dat	pl	pronoun	Mt 3:7,Mt 3:9,Mt 5:18,Mt 5:20,Mt 5:22,Mt 5:28,Mt 5:32,Mt 5:34,Mt 5:39,Mt 5:44,Mt 6:2,Mt 6:5,Mt 6:14,Mt 6:16,Mt 6:19,Mt 6:20,Mt 6:25,Mt 6:29,Mt 6:33,Mt 7:2,Mt 7:7,Mt 7:7,Mt 7:12,Mt 8:10,Mt 8:11,Mt 9:29,Mt 10:15,Mt 10:19,Mt 10:20,Mt 10:23,Mt 10:27,Mt 10:42,Mt 11:9,Mt 11:11,Mt 11:17,Mt 11:21,Mt 11:22,Mt 11:22,Mt 11:24,Mt 12:6,Mt 12:31,Mt 12:36,Mt 13:11,Mt 13:17,Mt 16:11,Mt 16:28,Mt 17:12,Mt 17:20,Mt 17:20,Mt 18:3,Mt 18:10,Mt 18:12,Mt 18:13,Mt 18:18,Mt 18:19,Mt 18:35,Mt 19:8,Mt 19:9,Mt 19:23,Mt 19:24,Mt 19:28,Mt 20:4,Mt 20:26,Mt 20:26,Mt 20:27,Mt 20:32,Mt 21:3,Mt 21:21,Mt 21:24,Mt 21:27,Mt 21:28,Mt 21:31,Mt 21:43,Mt 22:31,Mt 22:42,Mt 23:3,Mt 23:13,Mt 23:15,Mt 23:16,Mt 23:23,Mt 23:25,Mt 23:27,Mt 23:29,Mt 23:36,Mt 23:38,Mt 23:39,Mt 24:2,Mt 24:23,Mt 24:25,Mt 24:26,Mt 24:34,Mt 24:47,Mt 25:9,Mt 25:12,Mt 25:34,Mt 25:40,Mt 25:45,Mt 26:13,Mt 26:15,Mt 26:21,Mt 26:29,Mt 26:64,Mt 26:66,Mt 27:17,Mt 27:21,Mt 28:7,Mt 28:20,Mk 3:28,Mk 4:11,Mk 4:24,Mk 4:24,Mk 8:12,Mk 9:1,Mk 9:13,Mk 9:41,Mk 10:3,Mk 10:5,Mk 10:15,Mk 10:29,Mk 10:36,Mk 10:43,Mk 10:43,Mk 10:44,Mk 11:3,Mk 11:23,Mk 11:24,Mk 11:24,Mk 11:25,Mk 11:29,Mk 11:33,Mk 12:43,Mk 13:11,Mk 13:21,Mk 13:23,Mk 13:30,Mk 13:37,Mk 14:9,Mk 14:13,Mk 14:15,Mk 14:18,Mk 14:25,Mk 14:64,Mk 15:9,Mk 16:7,Lk 2:10,Lk 2:11,Lk 2:12,Lk 3:7,Lk 3:8,Lk 3:13,Lk 4:24,Lk 4:25,Lk 6:24,Lk 6:25,Lk 6:27,Lk 6:31,Lk 6:32,Lk 6:33,Lk 6:34,Lk 6:38,Lk 6:38,Lk 6:47,Lk 7:9,Lk 7:26,Lk 7:28,Lk 7:32,Lk 8:10,Lk 9:27,Lk 9:48,Lk 10:8,Lk 10:11,Lk 10:12,Lk 10:13,Lk 10:14,Lk 10:19,Lk 10:20,Lk 10:24,Lk 11:8,Lk 11:9,Lk 11:9,Lk 11:9,Lk 11:41,Lk 11:42,Lk 11:43,Lk 11:44,Lk 11:46,Lk 11:47,Lk 11:51,Lk 11:52,Lk 12:4,Lk 12:5,Lk 12:5,Lk 12:8,Lk 12:22,Lk 12:27,Lk 12:31,Lk 12:32,Lk 12:37,Lk 12:44,Lk 12:51,Lk 13:3,Lk 13:5,Lk 13:24,Lk 13:25,Lk 13:27,Lk 13:35,Lk 13:35,Lk 14:24,Lk 15:7,Lk 15:10,Lk 16:9,Lk 16:11,Lk 16:12,Lk 17:6,Lk 17:10,Lk 17:23,Lk 17:34,Lk 18:8,Lk 18:14,Lk 18:17,Lk 18:29,Lk 19:26,Lk 19:40,Lk 20:8,Lk 21:3,Lk 21:13,Lk 21:15,Lk 21:15,Lk 21:32,Lk 22:10,Lk 22:12,Lk 22:16,Lk 22:18,Lk 22:26,Lk 22:29,Lk 22:37,Lk 22:67,Lk 24:6,Lk 24:36,Lk 24:44,Jn 1:51,Jn 2:5,Jn 3:12,Jn 3:12,Jn 4:35,Jn 5:19,Jn 5:24,Jn 5:25,Jn 5:38,Jn 6:26,Jn 6:27,Jn 6:32,Jn 6:32,Jn 6:32,Jn 6:36,Jn 6:47,Jn 6:53,Jn 6:63,Jn 6:65,Jn 7:19,Jn 7:22,Jn 8:24,Jn 8:25,Jn 8:34,Jn 8:37,Jn 8:40,Jn 8:51,Jn 8:55,Jn 8:58,Jn 9:27,Jn 10:1,Jn 10:7,Jn 10:25,Jn 10:32,Jn 11:50,Jn 11:56,Jn 12:24,Jn 12:35,Jn 13:12,Jn 13:15,Jn 13:15,Jn 13:16,Jn 13:19,Jn 13:20,Jn 13:21,Jn 13:33,Jn 13:34,Jn 14:2,Jn 14:2,Jn 14:3,Jn 14:10,Jn 14:12,Jn 14:16,Jn 14:17,Jn 14:17,Jn 14:20,Jn 14:25,Jn 14:25,Jn 14:26,Jn 14:27,Jn 14:27,Jn 14:27,Jn 14:28,Jn 14:29,Jn 15:3,Jn 15:4,Jn 15:7,Jn 15:7,Jn 15:11,Jn 15:11,Jn 15:14,Jn 15:15,Jn 15:16,Jn 15:17,Jn 15:20,Jn 15:26,Jn 16:1,Jn 16:4,Jn 16:4,Jn 16:4,Jn 16:6,Jn 16:7,Jn 16:7,Jn 16:12,Jn 16:13,Jn 16:14,Jn 16:15,Jn 16:20,Jn 16:23,Jn 16:23,Jn 16:25,Jn 16:25,Jn 16:25,Jn 16:26,Jn 16:33,Jn 18:8,Jn 18:39,Jn 18:39,Jn 18:39,Jn 19:4,Jn 20:19,Jn 20:21,Jn 20:26,Ac 2:14,Ac 2:39,Ac 3:14,Ac 3:20,Ac 3:22,Ac 3:26,Ac 4:10,Ac 5:9,Ac 5:28,Ac 5:38,Ac 7:37,Ac 13:15,Ac 13:26,Ac 13:34,Ac 13:38,Ac 13:38,Ac 13:41,Ac 13:46,Ac 14:15,Ac 14:17,Ac 15:7,Ac 15:28,Ac 16:17,Ac 17:3,Ac 17:23,Ac 20:20,Ac 20:26,Ac 20:27,Ac 20:35,Ac 22:25,Ac 25:5,Ac 26:8,Ac 28:28,Ro 1:7,Ro 1:11,Ro 1:12,Ro 1:13,Ro 1:15,Ro 8:9,Ro 8:10,Ro 8:11,Ro 8:11,Ro 12:3,Ro 15:5,Ro 15:15,Ro 15:32,Ro 16:1,Ro 16:19,1 Co 1:3,1 Co 1:4,1 Co 1:6,1 Co 1:10,1 Co 1:11,1 Co 2:1,1 Co 2:2,1 Co 3:1,1 Co 3:3,1 Co 3:16,1 Co 3:18,1 Co 4:8,1 Co 4:17,1 Co 5:1,1 Co 5:9,1 Co 5:11,1 Co 6:2,1 Co 6:5,1 Co 6:5,1 Co 6:7,1 Co 6:19,1 Co 7:35,1 Co 9:2,1 Co 9:11,1 Co 10:27,1 Co 10:28,1 Co 11:2,1 Co 11:13,1 Co 11:18,1 Co 11:19,1 Co 11:19,1 Co 11:22,1 Co 11:23,1 Co 11:30,1 Co 12:3,1 Co 12:31,1 Co 14:6,1 Co 14:25,1 Co 14:37,1 Co 15:1,1 Co 15:1,1 Co 15:2,1 Co 15:3,1 Co 15:12,1 Co 15:34,1 Co 15:51,2 Co 1:2,2 Co 1:13,2 Co 1:19,2 Co 1:21,2 Co 2:4,2 Co 4:12,2 Co 4:14,2 Co 5:12,2 Co 5:12,2 Co 5:13,2 Co 6:18,2 Co 7:7,2 Co 7:11,2 Co 7:12,2 Co 7:14,2 Co 7:16,2 Co 8:1,2 Co 8:7,2 Co 8:10,2 Co 8:13,2 Co 9:1,2 Co 9:14,2 Co 10:1,2 Co 10:15,2 Co 11:7,2 Co 11:9,2 Co 12:12,2 Co 12:19,2 Co 12:20,2 Co 13:3,2 Co 13:5,Ga 1:3,Ga 1:8,Ga 1:8,Ga 1:11,Ga 1:20,Ga 3:5,Ga 3:5,Ga 4:13,Ga 4:15,Ga 4:16,Ga 4:19,Ga 4:20,Ga 5:2,Ga 5:21,Ga 6:11,Eph 1:2,Eph 1:17,Eph 2:17,Eph 3:16,Eph 4:32,Eph 5:3,Eph 6:21,Php 1:2,Php 1:6,Php 1:25,Php 1:29,Php 2:5,Php 2:13,Php 2:17,Php 2:19,Php 3:1,Php 3:1,Php 3:15,Php 3:18,Col 1:2,Col 1:5,Col 1:6,Col 1:27,Col 2:5,Col 3:13,Col 3:16,Col 4:7,Col 4:9,Col 4:16,1 Th 1:1,1 Th 1:5,1 Th 2:8,1 Th 2:10,1 Th 2:13,1 Th 3:4,1 Th 3:7,1 Th 4:2,1 Th 4:6,1 Th 4:9,1 Th 4:11,1 Th 4:15,1 Th 5:1,1 Th 5:12,2 Th 1:2,2 Th 1:4,2 Th 1:7,2 Th 1:12,2 Th 2:5,2 Th 3:6,2 Th 3:7,2 Th 3:9,2 Th 3:10,2 Th 3:11,2 Th 3:16,Phm 3,Phm 22,Heb 12:5,Heb 12:7,Heb 13:7,Heb 13:17,Heb 13:19,Heb 13:22,Jas 3:13,Jas 4:1,Jas 4:8,Jas 5:3,Jas 5:6,Jas 5:13,Jas 5:14,Jas 5:19,1 Pe 1:2,1 Pe 1:12,1 Pe 1:12,1 Pe 1:13,1 Pe 2:7,1 Pe 2:21,1 Pe 3:15,1 Pe 4:12,1 Pe 4:12,1 Pe 4:12,1 Pe 5:1,1 Pe 5:2,1 Pe 5:12,1 Pe 5:14,2 Pe 1:2,2 Pe 1:8,2 Pe 1:11,2 Pe 1:16,2 Pe 2:1,2 Pe 2:13,2 Pe 3:1,2 Pe 3:15,1 Jn 1:2,1 Jn 1:3,1 Jn 1:5,1 Jn 2:1,1 Jn 2:7,1 Jn 2:8,1 Jn 2:8,1 Jn 2:12,1 Jn 2:12,1 Jn 2:13,1 Jn 2:13,1 Jn 2:14,1 Jn 2:14,1 Jn 2:14,1 Jn 2:14,1 Jn 2:21,1 Jn 2:24,1 Jn 2:24,1 Jn 2:26,1 Jn 2:27,1 Jn 4:4,1 Jn 5:13,2 Jn 12,Jud 2,Jud 3,Jud 3,Jud 18,Re 1:4,Re 2:13,Re 2:23,Re 2:24,Re 22:16
Σὺ	σύ	2p	nom	sg	pronoun	Ro 14:10,1 Ti 6:11,2 Ti 2:1,2 Ti 3:10,2 Ti 3:14,2 Ti 4:5,Tt 2:1
