Result	Lemma	Person	Gender	Case	Number	Part of Speech	Reference
σεαυτοῦ	σεαυτοῦ	2p	mas	gen	sg	pronoun	Jn 1:22,Jn 8:13,Jn 18:34,Ac 26:1,2 Ti 4:11
σεαυτὸν	σεαυτοῦ	2p	mas	acc	sg	pronoun	Mt 4:6,Mt 8:4,Mk 1:44,Mk 15:30,Lk 4:9,Lk 5:14,Lk 23:39,Jn 7:4,Jn 8:53,Jn 10:33,Jn 14:22,Jn 21:18,Ro 2:1,Ro 2:19,Ro 2:21,Ro 14:22,Ga 6:1,1 Ti 4:7,1 Ti 4:16,1 Ti 5:22,2 Ti 2:15,Tt 2:7
σεαυτόν	σεαυτοῦ	2p	mas	acc	sg	pronoun	Mt 19:19,Mt 22:39,Mt 27:40,Mk 12:31,Lk 4:23,Lk 10:27,Lk 23:37,Ro 13:9,Ga 5:14,Phm 19,Jas 2:8
σεαυτῷ	σεαυτοῦ	2p	mas	dat	sg	pronoun	Jn 17:5,Ac 9:34,Ac 16:28,Ro 2:5,1 Ti 4:16
