Reference	Result	Lemma	Part of Speech	Adverb/particle Type
Mt 6:20,Mt 6:20,Re 3:16	οὔτε	οὔτε	conjunction	—
1 Th 2:5	Οὔτε	οὔτε	conjunction, particle, adverb	negative
Mt 12:32,Lk 14:35,Lk 14:35,Lk 20:35,Lk 20:35,Jn 4:21,Jn 4:21,Jn 5:37,Jn 5:37,Jn 8:19,Jn 8:19,Jn 9:3,Jn 9:3,Ac 2:31,Ac 2:31,Ac 15:10,Ac 15:10,Ac 19:37,Ac 19:37,Ac 24:12,Ac 24:12,Ac 24:12,Ac 25:8,Ac 25:8,Ac 25:8,Ac 28:21,Ac 28:21,Ro 8:38,Ro 8:38,Ro 8:38,Ro 8:38,Ro 8:38,Ro 8:38,Ro 8:38,Ro 8:39,Ro 8:39,Ro 8:39,1 Co 3:7,1 Co 3:7,1 Co 6:9,1 Co 6:9,1 Co 6:9,1 Co 6:9,1 Co 6:9,1 Co 6:10,1 Co 6:10,1 Co 8:8,1 Co 8:8,1 Co 11:11,1 Co 11:11,Ga 1:12,Ga 5:6,Ga 6:15,1 Th 2:5,1 Th 2:6,1 Th 2:6,1 Th 2:6,Re 3:15,Re 3:15,Re 3:16,Re 9:20,Re 9:20,Re 9:20,Re 9:21,Re 9:21,Re 9:21,Re 21:4,Re 21:4,Re 21:4	οὔτε	οὔτε	conjunction, particle	negative
Ga 5:6,Ga 6:15	οὔτε	οὔτε	conjunction, particle, adverb	negative
Jn 4:11	οὔτε	οὔτε	adverb, particle	negative
Mt 12:32,Mt 22:30,Mt 22:30,Mk 12:25,Mk 12:25,Mk 14:68,Mk 14:68,Jas 3:12,3 Jn 10,Re 5:3,Re 5:4	οὔτε	οὔτε	particle, conjunction	negative
