Result	Lemma	Tense	Voice	Mood	Person	Number	Part of Speech	Reference
ἔφη	φημί	impft	actv	indicative	3p	sg	verb	Mt 4:7,Mt 8:8,Mt 13:28,Mt 17:26,Mt 19:21,Mt 21:27,Mt 22:37,Mt 25:21,Mt 25:23,Mt 26:34,Mt 26:61,Mt 27:11,Mt 27:23,Mt 27:65,Mk 9:12,Mk 10:20,Mk 10:29,Mk 14:29,Lk 7:44,Lk 15:17,Lk 22:58,Lk 22:58,Lk 22:70,Lk 23:3,Lk 23:40,Jn 1:23,Jn 9:38,Ac 7:2,Ac 10:28,Ac 10:30,Ac 16:30,Ac 16:37,Ac 17:22,Ac 21:37,Ac 22:27,Ac 22:28,Ac 23:5,Ac 23:17,Ac 23:35,Ac 26:1,Ac 26:32
φησίν	φημί	pres	actv	indicative	3p	sg	verb	Mt 14:8,Lk 7:40,Jn 18:29,Ac 2:38,Ac 10:31,Ac 19:35,Ac 22:2,Ac 23:18,Ac 25:5,Ac 25:22,Ac 26:25,1 Co 6:16,2 Co 10:10
Ἔφη	φημί	impft	actv	indicative	3p	sg	verb	Mk 9:38,Mk 12:24
φασίν	φημί	pres	actv	indicative	3p	pl	verb	Ro 3:8
φησιν	φημί	pres	actv	indicative	3p	sg	verb	Mt 13:29,Ac 8:36,Ac 25:24,Ac 26:24,Heb 8:5
φημι	φημί	pres	actv	indicative	1p	sg	verb	1 Co 7:29,1 Co 10:15,1 Co 10:19,1 Co 15:50
