Result	Lemma	Gender	Case	Number	Part of Speech	Reference
βασιλείᾳ	βασιλεία	fem	dat	sg	noun	Mt 16:28,Mt 20:21,Lk 22:30,Re 1:9,Mt 5:19,Mt 5:19,Mt 8:11,Mt 11:11,Mt 13:43,Mt 13:52,Mt 18:1,Mt 18:4,Mt 26:29,Mk 14:25,Lk 7:28,Lk 9:62,Lk 13:28,Lk 13:29,Lk 14:15,Lk 22:16,Eph 5:5
βασιλείας	βασιλεία	fem	acc	pl	noun	Mt 4:8,Lk 4:5,Heb 11:33
βασιλείαν	βασιλεία	fem	acc	sg	noun	Mt 6:33,Mt 24:7,Mt 25:34,Mk 13:8,Lk 12:32,Lk 19:12,Lk 19:15,Lk 21:10,Lk 22:29,Lk 23:42,Ac 1:6,Ac 20:25,1 Co 15:24,Col 1:13,1 Th 2:12,2 Ti 4:1,2 Ti 4:18,Heb 12:28,2 Pe 1:11,Re 1:6,Re 5:10,Re 17:12,Re 17:17,Re 17:18,Mt 5:20,Mt 7:21,Mt 18:3,Mt 19:12,Mt 19:23,Mt 19:24,Mt 21:31,Mt 23:13,Mk 4:30,Mk 9:1,Mk 9:47,Mk 10:15,Mk 10:23,Mk 10:24,Mk 10:25,Mk 15:43,Lk 4:43,Lk 8:1,Lk 9:2,Lk 9:27,Lk 9:60,Lk 12:31,Lk 13:20,Lk 18:17,Lk 18:24,Lk 18:25,Lk 23:51,Jn 3:3,Jn 3:5,Ac 14:22,Ac 28:23,Ac 28:31,1 Co 6:9,1 Co 6:10,1 Co 15:50,Ga 5:21,Col 4:11
βασιλείας	βασιλεία	fem	gen	sg	noun	Mt 8:12,Mt 13:38,Mt 13:41,Mk 6:23,Lk 1:33,Heb 1:8,Jas 2:5,Mt 4:23,Mt 9:35,Mt 13:11,Mt 13:19,Mt 16:19,Mt 24:14,Mk 4:11,Mk 12:34,Lk 8:10,Lk 9:11,Lk 18:29,Ac 1:3,Ac 8:12,Ac 19:8,2 Th 1:5
βασιλεία	βασιλεία	fem	nom	sg	noun	Mt 6:10,Mt 12:25,Mt 12:26,Mt 24:7,Mk 3:24,Mk 3:24,Mk 11:10,Mk 13:8,Lk 11:2,Lk 11:17,Lk 11:18,Lk 21:10,Jn 18:36,Jn 18:36,Jn 18:36,Re 11:15,Re 12:10,Re 16:10,Mt 3:2,Mt 4:17,Mt 5:3,Mt 5:10,Mt 10:7,Mt 11:12,Mt 12:28,Mt 13:24,Mt 13:31,Mt 13:33,Mt 13:44,Mt 13:45,Mt 13:47,Mt 18:23,Mt 19:14,Mt 20:1,Mt 21:43,Mt 22:2,Mt 25:1,Mk 1:15,Mk 4:26,Mk 10:14,Lk 6:20,Lk 10:9,Lk 10:11,Lk 11:20,Lk 13:18,Lk 16:16,Lk 17:20,Lk 17:20,Lk 17:21,Lk 18:16,Lk 19:11,Lk 21:31,Lk 22:18,Ro 14:17,1 Co 4:20
