Reference	Result	Lemma	Part of Speech	Adverb/particle Type
Php 3:11	πως	πῶς	particle, adverb	correlative
Ro 10:14	Πῶς	πῶς	adverb	interrogative
Mk 5:16,Mk 10:23,Mk 10:24,Mk 11:18,Mk 12:41,Mk 14:1,Mk 14:11,Lk 8:18,Lk 8:36,Lk 12:11,Lk 12:27,Lk 12:50,Lk 18:24,Lk 22:2,Lk 22:4,Jn 9:15,Jn 9:21,Jn 11:36,Ac 4:21,Ac 9:27,Ac 9:27,Ac 12:17,Ac 15:36,Ac 20:18,1 Co 3:10,1 Co 7:32,1 Co 7:33,1 Co 7:34,Eph 5:15,Col 4:6,1 Th 1:9,1 Th 4:1,2 Th 3:7,1 Ti 3:15,Re 3:3	πῶς	πῶς	adverb	—
Mt 6:28,Mt 7:4,Mt 10:19,Mt 12:26,Mt 12:29,Mt 12:34,Mt 16:11,Mt 21:20,Mt 22:12,Mt 22:43,Mt 22:45,Mt 23:33,Mt 26:54,Mk 3:23,Mk 4:13,Mk 4:30,Mk 9:12,Mk 12:35,Lk 1:34,Lk 6:42,Lk 10:26,Lk 11:18,Lk 12:56,Lk 20:41,Lk 20:44,Jn 3:4,Jn 3:9,Jn 3:12,Jn 4:9,Jn 5:44,Jn 5:47,Jn 6:42,Jn 6:52,Jn 7:15,Jn 8:33,Jn 9:10,Jn 9:16,Jn 9:19,Jn 9:26,Jn 12:34,Jn 14:5,Jn 14:9,Ac 2:8,Ac 8:31,Ro 3:6,Ro 4:10,Ro 6:2,Ro 8:32,Ro 10:14,Ro 10:14,Ro 10:15,1 Co 14:7,1 Co 14:9,1 Co 14:16,1 Co 15:12,1 Co 15:35,2 Co 3:8,Ga 2:14,Ga 4:9,1 Ti 3:5,Heb 2:3,1 Jn 3:17	πῶς	πῶς	adverb	interrogative
Mt 12:4,Mk 2:26	πῶς	πῶς	adverb, conjunction	interrogative
Mk 12:26,Lk 14:7,Ac 11:13	πῶς	πῶς	adverb, conjunction	—
Ro 11:14	πως	πῶς	particle, adverb	indefinite
