Reference	Result	Lemma	Part of Speech	Adverb/particle Type
Lk 11:9,1 Co 2:1,Re 22:8	Κἀγὼ	κἀγώ	pronoun, conjunction	—
Lk 1:3,Ac 8:19	κἀμοὶ	κἀγώ	pronoun, particle	emphatic
Jas 2:18	κἀγώ	κἀγώ	pronoun, conjunction	—
1 Co 16:4	κἀμὲ	κἀγώ	pronoun, particle	emphatic
Mt 2:8,Mt 11:28,Mt 26:15,Lk 2:48,Lk 19:23,Lk 22:29,Jn 1:31,Jn 1:33,Jn 1:34,Jn 5:17,Jn 6:44,Jn 6:54,Jn 6:56,Jn 6:57,Jn 8:26,Jn 10:15,Jn 10:27,Jn 10:28,Jn 10:38,Jn 12:32,Jn 14:16,Jn 14:20,Jn 14:21,Jn 15:4,Jn 15:5,Jn 17:11,Jn 17:21,Jn 17:22,Jn 17:26,Jn 20:15,Ac 22:13,Ac 22:19,Ro 11:3,1 Co 2:3,2 Co 6:17,2 Co 12:20,Ga 6:14,Php 2:28,Heb 8:9,Jas 2:18	κἀγὼ	κἀγώ	pronoun, conjunction	—
1 Co 7:8,1 Co 16:10,2 Co 2:10,2 Co 11:21,2 Co 11:22,2 Co 11:22,2 Co 11:22,Re 3:10	κἀγώ	κἀγώ	pronoun, particle	emphatic
Mt 10:32,Mt 10:33,Mt 16:18,Mt 18:33,Mt 21:24,Mt 21:24,Lk 20:3,Jn 15:9,Jn 17:18,Jn 20:21,Ro 3:7,1 Co 7:40,1 Co 10:33,1 Co 11:1,2 Co 11:16,2 Co 11:18,Ga 4:12,Eph 1:15,Php 2:19,1 Th 3:5,Re 2:6,Re 2:28,Re 3:21	κἀγὼ	κἀγώ	pronoun, particle	emphatic
1 Co 15:8	κἀμοί	κἀγώ	pronoun, particle	emphatic
1 Co 3:1	Κἀγώ	κἀγώ	pronoun, conjunction	—
Jn 7:28,Jn 16:32	κἀμὲ	κἀγώ	pronoun, conjunction	—
Jn 17:6,Ac 10:28	κἀμοὶ	κἀγώ	pronoun, conjunction	—
