Reference	Result	Lemma	Part of Speech	Adverb/particle Type
Lk 8:5,Jas 3:17	μὲν	μέν	adverb, particle	correlative
Jn 16:9,1 Co 1:12,1 Co 3:4,2 Co 10:10,2 Co 12:1	μέν	μέν	particle, conjunction	correlative
Mt 9:37,Mt 20:23	μὲν	μέν	particle, conjunction	emphatic, correlative
Mt 10:13,Mt 16:3,Mt 17:11,Mk 16:19,Lk 23:56,Jn 19:24,Ac 1:6,Ac 1:18,Ac 2:41,Ac 3:22,Ac 4:16,Ac 9:31,Ac 12:5,Ac 13:4,Ac 13:36,Ac 14:3,Ac 15:30,Ac 16:5,Ac 17:12,Ac 17:17,Ac 19:32,Ac 19:38,Ac 23:22,Ac 23:31,Ac 25:4,Ac 25:11,Ac 26:4,Ac 26:9,Ac 28:5,Ro 1:8,Ro 7:12,Ro 10:1,Ro 14:20,1 Co 6:7,1 Co 11:18,2 Co 11:4,Heb 8:4	μὲν	μέν	particle, conjunction	emphatic
Col 2:23	μὲν	μέν	particle	emphatic, correlative
Mk 9:12,Jn 11:6,Ac 1:1,Ac 3:13,Ac 3:21,Ac 5:41,Ac 8:4,Ac 8:25,Ac 11:19,Ac 15:3,Ac 17:30,Ac 23:18,Ac 28:22,Ro 3:2,Ro 11:13,1 Co 6:4,1 Co 12:28,2 Co 12:12,1 Th 2:18,Heb 7:11,Heb 9:1	μὲν	μέν	particle	emphatic
Mt 13:32,Ac 21:39,Ac 27:21	μέν	μέν	particle, conjunction	emphatic
Mt 3:11,Mt 13:4,Mt 13:8,Mt 13:23,Mt 16:14,Mt 21:35,Mt 22:5,Mt 22:8,Mt 23:27,Mt 23:28,Mt 25:15,Mt 25:33,Mt 26:24,Mt 26:41,Mk 4:4,Mk 12:5,Mk 14:21,Mk 14:38,Lk 3:16,Lk 3:18,Lk 10:2,Lk 11:48,Lk 13:9,Lk 22:22,Lk 23:33,Lk 23:41,Jn 7:12,Jn 10:41,Jn 16:22,Jn 19:32,Jn 20:30,Ac 1:5,Ac 9:7,Ac 11:16,Ac 14:4,Ac 17:32,Ac 18:14,Ac 19:15,Ac 22:9,Ac 23:8,Ac 27:41,Ac 27:44,Ac 28:24,Ro 2:7,Ro 2:25,Ro 5:16,Ro 6:11,Ro 7:25,Ro 8:10,Ro 8:17,Ro 9:21,Ro 11:22,Ro 11:28,Ro 14:2,Ro 14:5,1 Co 1:18,1 Co 1:23,1 Co 5:3,1 Co 7:7,1 Co 9:24,1 Co 9:25,1 Co 11:7,1 Co 11:14,1 Co 11:21,1 Co 12:8,1 Co 12:20,1 Co 14:17,1 Co 15:39,1 Co 15:40,2 Co 2:16,2 Co 8:17,2 Co 9:1,2 Co 10:1,Ga 4:8,Ga 4:23,Ga 4:24,Eph 4:11,Php 1:15,Php 1:16,Php 2:23,Php 3:1,Php 3:13,2 Ti 1:10,2 Ti 2:20,2 Ti 4:4,Heb 1:7,Heb 3:5,Heb 7:2,Heb 7:5,Heb 7:8,Heb 7:18,Heb 7:20,Heb 7:23,Heb 9:6,Heb 9:23,Heb 10:11,Heb 10:33,Heb 11:15,Heb 12:9,Heb 12:10,Heb 12:11,1 Pe 1:20,1 Pe 2:4,1 Pe 3:18,1 Pe 4:6,Jud 8,Jud 10,Jud 22	μὲν	μέν	particle, conjunction	correlative
