Reference	Result	Lemma	Part of Speech	Adverb/particle Type
Mt 23:10,Mk 2:2,Mk 3:20,Mk 8:26,1 Co 5:11,Eph 4:27,Eph 5:3,2 Th 3:10,1 Pe 5:2	μηδὲ	μηδέ	adverb, particle	negative
1 Pe 5:3	μηδʼ	μηδέ	adverb, particle	negative
1 Co 10:8,1 Co 10:9,1 Co 10:10,2 Co 4:2	μηδὲ	μηδέ	conjunction, particle	negative
Mt 6:25,Mt 7:6,Mt 10:9,Mt 10:9,Mt 10:10,Mt 10:10,Mt 10:10,Mt 10:14,Mt 22:29,Mt 24:20,Mk 6:11,Mk 12:24,Mk 13:15,Lk 3:14,Lk 12:22,Lk 14:12,Lk 14:12,Lk 14:12,Lk 16:26,Lk 17:23,Jn 4:15,Jn 14:27,Ac 4:18,Ac 21:21,Ro 6:13,Ro 9:11,Ro 14:21,Ro 14:21,1 Co 5:8,1 Co 10:7,Php 2:3,Col 2:21,Col 2:21,2 Th 2:2,1 Ti 1:4,1 Ti 5:22,1 Ti 6:17,2 Ti 1:8,Heb 12:5,1 Pe 3:14,1 Jn 2:15,1 Jn 3:18	μηδὲ	μηδέ	particle, conjunction	negative
