Reference	Result	Lemma	Part of Speech
Lk 1:15,Lk 1:17,Lk 1:19,Lk 1:75,Lk 1:76,Lk 4:7,Lk 5:18,Lk 5:25,Lk 8:47,Lk 12:6,Lk 12:9,Lk 12:9,Lk 14:10,Lk 15:10,Lk 16:15,Lk 16:15,Lk 23:14,Lk 24:11,Lk 24:43,Jn 20:30,Ac 4:10,Ac 4:19,Ac 6:5,Ac 6:6,Ac 7:46,Ac 9:15,Ac 10:31,Ac 10:33,Ac 19:9,Ac 19:19,Ac 27:35,Ro 3:20,Ro 12:17,Ro 14:22,1 Co 1:29,2 Co 4:2,2 Co 7:12,2 Co 8:21,2 Co 8:21,Ga 1:20,1 Ti 2:3,1 Ti 5:4,1 Ti 5:20,1 Ti 5:21,1 Ti 6:12,1 Ti 6:13,2 Ti 2:14,2 Ti 4:1,Heb 4:13,Heb 13:21,Jas 4:10,1 Pe 3:4,1 Jn 3:22,3 Jn 6,Re 1:4,Re 2:14,Re 3:2,Re 3:5,Re 3:5,Re 3:9,Re 4:5,Re 4:6,Re 4:10,Re 4:10,Re 5:8,Re 7:9,Re 7:9,Re 7:11,Re 7:15,Re 8:2,Re 8:3,Re 8:4,Re 9:13,Re 11:4,Re 11:16,Re 12:4,Re 12:10,Re 13:12,Re 13:13,Re 13:14,Re 14:3,Re 14:3,Re 14:10,Re 14:10,Re 16:19,Re 19:20,Re 20:12	ἐνώπιον	ἐνώπιον	preposition, adverb
Lk 13:26,Lk 15:18,Lk 15:21,Ac 2:25,Ac 10:30,Re 3:8,Re 15:4	ἐνώπιόν	ἐνώπιον	preposition, adverb
