Result	Lemma	Gender	Case	Number	Part of Speech	Reference
δυσὶν	δύο	mas	dat	pl	adjective	Mk 16:12,Lk 12:52,Lk 16:13,Heb 10:28,Re 11:3
δύο	δύο	—	—	—	indeclinable, adjective	Mt 4:18,Mt 4:21,Mt 5:41,Mt 8:28,Mt 9:27,Mt 10:10,Mt 10:29,Mt 14:17,Mt 14:19,Mt 18:8,Mt 18:8,Mt 18:9,Mt 18:16,Mt 18:16,Mt 18:19,Mt 18:20,Mt 19:5,Mt 19:6,Mt 20:21,Mt 20:24,Mt 20:30,Mt 21:1,Mt 21:28,Mt 21:31,Mt 24:40,Mt 24:41,Mt 25:15,Mt 25:17,Mt 25:17,Mt 25:22,Mt 25:22,Mt 25:22,Mt 26:2,Mt 26:37,Mt 26:60,Mt 27:21,Mt 27:38,Mt 27:51,Mk 6:7,Mk 6:7,Mk 6:9,Mk 6:38,Mk 6:41,Mk 6:41,Mk 9:43,Mk 9:45,Mk 9:47,Mk 10:8,Mk 10:8,Mk 11:1,Mk 12:42,Mk 14:1,Mk 14:13,Mk 15:27,Mk 15:38,Lk 2:24,Lk 3:11,Lk 5:2,Lk 7:18,Lk 7:41,Lk 9:3,Lk 9:13,Lk 9:16,Lk 9:30,Lk 9:32,Lk 10:1,Lk 10:1,Lk 10:1,Lk 10:17,Lk 10:35,Lk 12:6,Lk 12:52,Lk 15:11,Lk 17:34,Lk 17:35,Lk 18:10,Lk 19:29,Lk 21:2,Lk 22:38,Lk 23:32,Lk 24:4,Lk 24:13,Jn 1:35,Jn 1:37,Jn 1:40,Jn 2:6,Jn 4:40,Jn 4:43,Jn 6:9,Jn 8:17,Jn 11:6,Jn 19:18,Jn 20:4,Jn 20:12,Jn 21:2,Ac 1:10,Ac 1:23,Ac 1:24,Ac 7:29,Ac 9:38,Ac 10:7,Ac 12:6,Ac 19:10,Ac 19:22,Ac 19:34,Ac 23:23,1 Co 6:16,1 Co 14:27,1 Co 14:29,2 Co 13:1,Ga 4:22,Ga 4:24,Eph 2:15,Eph 5:31,Php 1:23,1 Ti 5:19,Heb 6:18,Re 9:12,Re 11:2,Re 11:4,Re 11:4,Re 11:10,Re 12:14,Re 13:5,Re 13:11,Re 19:20
δυσὶ	δύο	mas	dat	pl	adjective	Mt 6:24
δυσὶν	δύο	fem	dat	pl	adjective	Mt 22:40,Ac 12:6
δυσίν	δύο	fem	dat	pl	adjective	Ac 21:33
