Result	Lemma	Part of Speech	Reference
ἑπτὰ	ἑπτά	indeclinable, adjective	Mt 12:45,Mt 15:34,Mt 15:36,Mt 15:37,Mt 16:10,Mt 22:25,Mt 22:28,Mk 8:6,Mk 8:8,Mk 8:20,Mk 12:20,Mk 12:22,Mk 12:23,Mk 16:9,Lk 2:36,Lk 8:2,Lk 11:26,Lk 20:29,Lk 20:31,Lk 20:33,Ac 13:19,Ac 19:14,Ac 21:27,Heb 11:30,Re 1:4,Re 1:4,Re 1:11,Re 1:12,Re 1:16,Re 1:20,Re 1:20,Re 1:20,Re 1:20,Re 1:20,Re 1:20,Re 2:1,Re 2:1,Re 3:1,Re 3:1,Re 4:5,Re 4:5,Re 5:5,Re 5:6,Re 5:6,Re 5:6,Re 6:1,Re 8:2,Re 8:2,Re 8:6,Re 8:6,Re 10:3,Re 10:4,Re 10:4,Re 11:13,Re 12:3,Re 12:3,Re 13:1,Re 15:1,Re 15:1,Re 15:6,Re 15:6,Re 15:7,Re 15:7,Re 15:8,Re 15:8,Re 16:1,Re 16:1,Re 17:1,Re 17:1,Re 17:3,Re 17:7,Re 17:9,Re 17:9,Re 21:9,Re 21:9,Re 21:9
ἑπτά	ἑπτά	indeclinable, adjective	Mt 18:22,Mt 22:26,Mk 8:5,Mk 8:20,Ac 6:3,Ac 20:6,Ac 21:4,Ac 21:8,Ac 28:14,Re 5:1,Re 17:9,Re 17:11
