Result	Lemma	Gender	Case	Number	Part of Speech	Reference
Ἰησοῦ	Ἰησοῦς	mas	vocative, dative	sg	noun	Lk 23:42
Ἰησοῦ	Ἰησοῦς	mas	dative, genitive	sg	noun	2 Co 4:14,2 Th 3:12
Ἰησοῦν	Ἰησοῦς	mas	acc	sg	noun	Mt 1:21,Mt 1:25,Mt 14:29,Mt 17:8,Mt 26:4,Mt 26:50,Mt 26:57,Mt 27:16,Mt 27:17,Mt 27:17,Mt 27:20,Mt 27:22,Mt 27:26,Mt 27:27,Mt 27:54,Mt 28:5,Mk 5:6,Mk 5:15,Mk 6:30,Mk 9:8,Mk 10:50,Mk 11:7,Mk 14:53,Mk 14:60,Mk 15:1,Mk 15:15,Mk 16:6,Lk 1:31,Lk 2:27,Lk 5:12,Lk 7:4,Lk 8:28,Lk 8:35,Lk 8:40,Lk 9:33,Lk 10:29,Lk 19:3,Lk 19:35,Lk 19:35,Lk 23:8,Lk 23:20,Lk 23:25,Jn 1:29,Jn 1:42,Jn 1:45,Jn 5:16,Jn 6:19,Jn 6:24,Jn 11:21,Jn 11:56,Jn 12:9,Jn 12:11,Jn 12:21,Jn 17:3,Jn 18:5,Jn 18:7,Jn 18:12,Jn 18:19,Jn 18:28,Jn 18:33,Jn 19:1,Jn 19:13,Jn 19:16,Jn 19:18,Jn 19:23,Jn 19:33,Jn 19:42,Jn 20:14,Ac 1:16,Ac 2:22,Ac 2:32,Ac 2:36,Ac 3:13,Ac 3:20,Ac 4:27,Ac 5:30,Ac 5:42,Ac 7:55,Ac 8:35,Ac 9:20,Ac 10:38,Ac 11:17,Ac 11:20,Ac 13:23,Ac 13:33,Ac 16:31,Ac 17:7,Ac 17:18,Ac 18:5,Ac 18:28,Ac 19:4,Ac 19:13,Ac 19:15,Ac 20:21,Ac 24:24,Ro 4:24,Ro 6:3,Ro 8:11,Ro 10:9,Ro 13:14,Ro 15:5,1 Co 2:2,1 Co 9:1,2 Co 4:5,2 Co 4:5,2 Co 4:11,2 Co 4:14,2 Co 11:4,Ga 2:16,Ga 4:14,Eph 6:24,Php 3:20,Col 2:6,1 Th 1:10,1 Th 2:15,2 Ti 2:8,Phm 5,Heb 2:9,Heb 3:1,Heb 4:14,Heb 12:2,Heb 13:20,1 Jn 2:1,1 Jn 4:2,1 Jn 4:3,2 Jn 7,Jud 4
Ἰησοῦς	Ἰησοῦς	mas	nom	sg	noun	Mt 1:16,Mt 3:13,Mt 3:15,Mt 3:16,Mt 4:1,Mt 4:7,Mt 4:10,Mt 4:17,Mt 7:28,Mt 8:4,Mt 8:10,Mt 8:13,Mt 8:14,Mt 8:18,Mt 8:20,Mt 8:22,Mt 9:2,Mt 9:4,Mt 9:9,Mt 9:15,Mt 9:19,Mt 9:22,Mt 9:23,Mt 9:28,Mt 9:30,Mt 9:35,Mt 10:5,Mt 11:1,Mt 11:4,Mt 11:7,Mt 11:25,Mt 12:1,Mt 12:15,Mt 13:1,Mt 13:34,Mt 13:53,Mt 13:57,Mt 14:13,Mt 14:16,Mt 14:27,Mt 14:31,Mt 15:21,Mt 15:28,Mt 15:29,Mt 15:32,Mt 15:34,Mt 16:6,Mt 16:8,Mt 16:13,Mt 16:17,Mt 16:21,Mt 16:24,Mt 17:1,Mt 17:7,Mt 17:9,Mt 17:17,Mt 17:18,Mt 17:22,Mt 17:25,Mt 17:26,Mt 18:22,Mt 19:1,Mt 19:14,Mt 19:18,Mt 19:21,Mt 19:23,Mt 19:26,Mt 19:28,Mt 20:17,Mt 20:22,Mt 20:25,Mt 20:30,Mt 20:32,Mt 20:34,Mt 21:1,Mt 21:6,Mt 21:11,Mt 21:12,Mt 21:16,Mt 21:21,Mt 21:24,Mt 21:31,Mt 21:42,Mt 22:1,Mt 22:18,Mt 22:29,Mt 22:41,Mt 23:1,Mt 24:1,Mt 24:4,Mt 26:1,Mt 26:10,Mt 26:19,Mt 26:26,Mt 26:31,Mt 26:34,Mt 26:36,Mt 26:50,Mt 26:52,Mt 26:55,Mt 26:63,Mt 26:64,Mt 27:11,Mt 27:11,Mt 27:37,Mt 27:46,Mt 27:50,Mt 28:9,Mt 28:10,Mt 28:16,Mt 28:18,Mk 1:9,Mk 1:14,Mk 1:17,Mk 1:25,Mk 2:5,Mk 2:8,Mk 2:17,Mk 2:19,Mk 3:7,Mk 5:20,Mk 5:30,Mk 5:36,Mk 6:4,Mk 8:27,Mk 9:2,Mk 9:23,Mk 9:25,Mk 9:27,Mk 9:39,Mk 10:5,Mk 10:14,Mk 10:18,Mk 10:21,Mk 10:23,Mk 10:24,Mk 10:27,Mk 10:29,Mk 10:32,Mk 10:38,Mk 10:39,Mk 10:42,Mk 10:47,Mk 10:49,Mk 10:51,Mk 10:52,Mk 11:6,Mk 11:22,Mk 11:29,Mk 11:33,Mk 12:17,Mk 12:24,Mk 12:29,Mk 12:34,Mk 12:35,Mk 13:2,Mk 13:5,Mk 14:6,Mk 14:18,Mk 14:27,Mk 14:30,Mk 14:48,Mk 14:62,Mk 14:72,Mk 15:5,Mk 15:34,Mk 15:37,Mk 16:8,Mk 16:19,Lk 2:21,Lk 2:43,Lk 2:52,Lk 3:23,Lk 4:1,Lk 4:4,Lk 4:8,Lk 4:12,Lk 4:14,Lk 4:35,Lk 5:10,Lk 5:22,Lk 5:31,Lk 5:34,Lk 6:3,Lk 6:9,Lk 7:6,Lk 7:9,Lk 7:40,Lk 8:30,Lk 8:39,Lk 8:45,Lk 8:46,Lk 8:50,Lk 9:36,Lk 9:41,Lk 9:42,Lk 9:47,Lk 9:50,Lk 9:58,Lk 9:62,Lk 10:30,Lk 10:37,Lk 13:12,Lk 13:14,Lk 14:3,Lk 17:17,Lk 18:16,Lk 18:19,Lk 18:22,Lk 18:24,Lk 18:37,Lk 18:40,Lk 18:42,Lk 19:5,Lk 19:9,Lk 20:8,Lk 20:34,Lk 22:48,Lk 22:51,Lk 22:52,Lk 23:28,Lk 23:34,Lk 23:46,Lk 24:15,Jn 1:38,Jn 1:42,Jn 1:43,Jn 1:47,Jn 1:48,Jn 1:50,Jn 2:2,Jn 2:4,Jn 2:7,Jn 2:11,Jn 2:13,Jn 2:19,Jn 2:22,Jn 2:24,Jn 3:3,Jn 3:5,Jn 3:10,Jn 3:22,Jn 4:1,Jn 4:1,Jn 4:2,Jn 4:6,Jn 4:7,Jn 4:10,Jn 4:13,Jn 4:17,Jn 4:21,Jn 4:26,Jn 4:34,Jn 4:44,Jn 4:47,Jn 4:48,Jn 4:50,Jn 4:50,Jn 4:53,Jn 4:54,Jn 5:1,Jn 5:6,Jn 5:8,Jn 5:13,Jn 5:14,Jn 5:15,Jn 5:17,Jn 5:19,Jn 6:1,Jn 6:3,Jn 6:5,Jn 6:10,Jn 6:11,Jn 6:15,Jn 6:17,Jn 6:22,Jn 6:24,Jn 6:26,Jn 6:29,Jn 6:32,Jn 6:35,Jn 6:42,Jn 6:43,Jn 6:53,Jn 6:61,Jn 6:64,Jn 6:67,Jn 6:70,Jn 7:1,Jn 7:6,Jn 7:14,Jn 7:16,Jn 7:21,Jn 7:28,Jn 7:33,Jn 7:37,Jn 7:39,Jn 8:1,Jn 8:6,Jn 8:10,Jn 8:11,Jn 8:12,Jn 8:14,Jn 8:19,Jn 8:25,Jn 8:28,Jn 8:31,Jn 8:34,Jn 8:39,Jn 8:42,Jn 8:49,Jn 8:54,Jn 8:58,Jn 8:59,Jn 9:3,Jn 9:11,Jn 9:14,Jn 9:35,Jn 9:37,Jn 9:39,Jn 9:41,Jn 10:6,Jn 10:7,Jn 10:23,Jn 10:25,Jn 10:32,Jn 10:34,Jn 11:4,Jn 11:5,Jn 11:9,Jn 11:13,Jn 11:14,Jn 11:17,Jn 11:20,Jn 11:23,Jn 11:25,Jn 11:30,Jn 11:32,Jn 11:33,Jn 11:35,Jn 11:38,Jn 11:39,Jn 11:40,Jn 11:41,Jn 11:44,Jn 11:46,Jn 11:51,Jn 11:54,Jn 12:1,Jn 12:1,Jn 12:7,Jn 12:12,Jn 12:14,Jn 12:16,Jn 12:23,Jn 12:30,Jn 12:35,Jn 12:36,Jn 12:44,Jn 13:1,Jn 13:7,Jn 13:8,Jn 13:10,Jn 13:21,Jn 13:23,Jn 13:26,Jn 13:27,Jn 13:29,Jn 13:31,Jn 13:36,Jn 13:38,Jn 14:6,Jn 14:9,Jn 14:23,Jn 16:19,Jn 16:31,Jn 17:1,Jn 18:1,Jn 18:2,Jn 18:4,Jn 18:8,Jn 18:11,Jn 18:20,Jn 18:23,Jn 18:34,Jn 18:36,Jn 18:37,Jn 19:5,Jn 19:9,Jn 19:11,Jn 19:19,Jn 19:20,Jn 19:26,Jn 19:28,Jn 19:30,Jn 20:2,Jn 20:14,Jn 20:15,Jn 20:16,Jn 20:17,Jn 20:19,Jn 20:21,Jn 20:24,Jn 20:26,Jn 20:29,Jn 20:30,Jn 20:31,Jn 21:1,Jn 21:4,Jn 21:4,Jn 21:5,Jn 21:7,Jn 21:10,Jn 21:12,Jn 21:13,Jn 21:14,Jn 21:15,Jn 21:17,Jn 21:20,Jn 21:22,Jn 21:23,Jn 21:25,Ac 1:1,Ac 1:11,Ac 1:21,Ac 6:14,Ac 9:5,Ac 9:17,Ac 9:34,Ac 17:3,Ac 22:8,Ac 26:15,Ro 8:34,1 Co 3:11,1 Co 8:6,1 Co 11:23,1 Co 12:3,1 Co 12:3,2 Co 1:19,2 Co 13:5,Ga 3:1,Php 2:11,Col 4:11,1 Th 3:11,1 Th 4:14,2 Th 2:8,2 Th 2:16,1 Ti 1:15,1 Ti 1:16,1 Ti 2:5,Heb 4:8,Heb 6:20,Heb 7:22,Heb 13:8,Heb 13:12,2 Pe 1:14,1 Jn 2:22,1 Jn 4:15,1 Jn 5:1,1 Jn 5:5,1 Jn 5:6,Jud 5,Re 22:16
Ἰησοῦ	Ἰησοῦς	mas	dat	sg	noun	Mt 8:34,Mt 9:10,Mt 9:27,Mt 14:12,Mt 15:1,Mt 17:4,Mt 17:19,Mt 18:1,Mt 21:27,Mt 26:17,Mt 26:49,Mt 27:55,Mt 27:57,Mk 2:15,Mk 9:4,Mk 9:5,Mk 11:33,Lk 6:11,Lk 22:47,Jn 1:36,Jn 1:37,Jn 12:22,Jn 18:15,Jn 18:15,Jn 18:22,Jn 19:9,Jn 21:21,Ac 4:2,Ac 4:13,Ro 3:24,Ro 6:11,Ro 6:23,Ro 8:1,Ro 8:2,Ro 8:39,Ro 14:14,Ro 15:17,Ro 16:3,1 Co 1:2,1 Co 1:4,1 Co 1:30,1 Co 4:15,1 Co 4:17,1 Co 15:31,1 Co 16:24,Ga 2:4,Ga 3:14,Ga 3:26,Ga 3:28,Ga 5:6,Eph 1:1,Eph 1:15,Eph 2:6,Eph 2:7,Eph 2:10,Eph 2:13,Eph 3:6,Eph 3:11,Eph 3:21,Eph 4:21,Php 1:1,Php 1:26,Php 2:5,Php 2:19,Php 3:3,Php 3:14,Php 4:7,Php 4:19,Php 4:21,Col 1:4,1 Th 1:1,1 Th 2:14,1 Th 4:1,1 Th 5:18,2 Th 1:1,1 Ti 1:12,1 Ti 1:14,1 Ti 3:13,2 Ti 1:1,2 Ti 1:9,2 Ti 1:13,2 Ti 2:1,2 Ti 2:10,2 Ti 3:12,2 Ti 3:15,Phm 23,Heb 12:24,1 Jn 5:20,Jud 1,Re 1:9
Ἰησοῦ	Ἰησοῦς	mas	gen	sg	noun	Mt 1:1,Mt 1:18,Mt 2:1,Mt 14:1,Mt 26:6,Mt 26:51,Mt 26:59,Mt 26:69,Mt 26:71,Mt 26:75,Mt 27:1,Mt 27:58,Mk 1:1,Mk 5:21,Mk 5:27,Mk 14:55,Mk 14:67,Mk 15:43,Lk 3:21,Lk 3:29,Lk 5:8,Lk 5:19,Lk 7:3,Lk 8:35,Lk 8:41,Lk 23:26,Lk 23:52,Lk 24:3,Lk 24:19,Jn 1:17,Jn 2:1,Jn 2:3,Jn 12:3,Jn 13:23,Jn 13:25,Jn 18:32,Jn 19:25,Jn 19:38,Jn 19:38,Jn 19:40,Jn 20:12,Ac 1:14,Ac 2:38,Ac 3:6,Ac 4:10,Ac 4:18,Ac 4:30,Ac 4:33,Ac 5:40,Ac 7:45,Ac 8:12,Ac 8:16,Ac 9:27,Ac 10:36,Ac 10:48,Ac 15:11,Ac 15:26,Ac 16:7,Ac 16:18,Ac 18:25,Ac 19:5,Ac 19:13,Ac 19:17,Ac 20:24,Ac 20:35,Ac 21:13,Ac 25:19,Ac 26:9,Ac 28:23,Ac 28:31,Ro 1:1,Ro 1:4,Ro 1:6,Ro 1:7,Ro 1:8,Ro 2:16,Ro 3:22,Ro 3:26,Ro 5:1,Ro 5:11,Ro 5:15,Ro 5:17,Ro 5:21,Ro 7:25,Ro 15:6,Ro 15:16,Ro 15:30,Ro 16:20,Ro 16:25,Ro 16:27,1 Co 1:1,1 Co 1:2,1 Co 1:3,1 Co 1:7,1 Co 1:8,1 Co 1:9,1 Co 1:10,1 Co 5:4,1 Co 5:4,1 Co 6:11,1 Co 15:57,1 Co 16:23,2 Co 1:1,2 Co 1:2,2 Co 1:3,2 Co 1:14,2 Co 4:6,2 Co 4:10,2 Co 4:10,2 Co 4:11,2 Co 8:9,2 Co 11:31,2 Co 13:13,Ga 1:1,Ga 1:3,Ga 1:12,Ga 2:16,Ga 3:22,Ga 5:24,Ga 6:14,Ga 6:17,Ga 6:18,Eph 1:1,Eph 1:2,Eph 1:3,Eph 1:5,Eph 1:17,Eph 2:20,Eph 3:1,Eph 5:20,Eph 6:23,Php 1:1,Php 1:2,Php 1:6,Php 1:8,Php 1:11,Php 1:19,Php 2:10,Php 2:21,Php 3:8,Php 3:12,Php 4:23,Col 1:1,Col 1:3,Col 3:17,Col 4:12,1 Th 1:3,1 Th 2:19,1 Th 3:13,1 Th 4:2,1 Th 4:14,1 Th 5:9,1 Th 5:23,1 Th 5:28,2 Th 1:2,2 Th 1:7,2 Th 1:8,2 Th 1:12,2 Th 1:12,2 Th 2:1,2 Th 2:14,2 Th 3:6,2 Th 3:18,1 Ti 1:1,1 Ti 1:1,1 Ti 1:2,1 Ti 4:6,1 Ti 5:21,1 Ti 6:3,1 Ti 6:13,1 Ti 6:14,2 Ti 1:1,2 Ti 1:2,2 Ti 1:10,2 Ti 2:3,2 Ti 4:1,Tt 1:1,Tt 1:4,Tt 2:13,Tt 3:6,Phm 1,Phm 3,Phm 9,Phm 25,Heb 10:10,Heb 10:19,Heb 13:21,Jas 1:1,Jas 2:1,1 Pe 1:1,1 Pe 1:2,1 Pe 1:3,1 Pe 1:3,1 Pe 1:7,1 Pe 1:13,1 Pe 2:5,1 Pe 3:21,1 Pe 4:11,2 Pe 1:1,2 Pe 1:1,2 Pe 1:2,2 Pe 1:8,2 Pe 1:11,2 Pe 1:16,2 Pe 2:20,2 Pe 3:18,1 Jn 1:3,1 Jn 1:7,1 Jn 3:23,2 Jn 3,Jud 1,Jud 17,Jud 21,Jud 25,Re 1:1,Re 1:2,Re 1:5,Re 1:9,Re 12:17,Re 14:12,Re 17:6,Re 19:10,Re 19:10,Re 20:4,Re 22:21
Ἰησοῦ	Ἰησοῦς	mas	voc	sg	noun	Mk 1:24,Mk 5:7,Mk 10:47,Lk 4:34,Lk 8:28,Lk 17:13,Lk 18:38,Ac 7:59,Re 22:20
