Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Reference
διδάσκοντι	διδάσκω	pres	actv	participle	—	mas	dat	sg	Mt 21:23
διδάσκεις	διδάσκω	pres	actv	indicative	2p	—	—	sg	Mt 22:16,Mk 12:14,Lk 20:21,Lk 20:21,Jn 9:34,Ac 21:21,Ro 2:21
ἐδιδάχθητε	διδάσκω	aor	pass	indicative	2p	—	—	pl	Eph 4:21,Col 2:7,2 Th 2:15
δίδαξον	διδάσκω	aor	actv	imperative	2p	—	—	sg	Lk 11:1
διδάσκειν	διδάσκω	pres	actv	infinitive	—	—	—	—	Mt 11:1,Mk 4:1,Mk 6:2,Mk 6:34,Mk 8:31,Lk 6:6,Jn 7:35,Ac 1:1,Ac 4:2,Ac 4:18,Ac 5:28,1 Ti 2:12,Heb 5:12
ἐδίδασκεν	διδάσκω	impft	actv	indicative	3p	—	—	sg	Mt 5:2,Mt 13:54,Mk 1:21,Mk 2:13,Mk 4:2,Mk 9:31,Mk 10:1,Mk 11:17,Lk 4:15,Lk 5:3,Jn 7:14,Jn 8:2,Ac 18:25,Re 2:14
διδάσκων	διδάσκω	pres	actv	participle	—	mas	nom	sg	Mt 4:23,Mt 7:29,Mt 9:35,Mt 26:55,Mk 1:22,Mk 6:6,Mk 12:35,Mk 14:49,Lk 4:31,Lk 5:17,Lk 13:10,Lk 13:22,Lk 19:47,Lk 21:37,Lk 23:5,Jn 6:59,Jn 7:28,Jn 8:20,Ac 18:11,Ac 21:28,Ac 28:31,Ro 2:21,Ro 12:7
ἐδίδαξα	διδάσκω	aor	actv	indicative	1p	—	—	sg	Jn 18:20
ἐδίδασκον	διδάσκω	impft	actv	indicative	3p	—	—	pl	Ac 5:21,Ac 15:1
ἐδιδάχθησαν	διδάσκω	aor	pass	indicative	3p	—	—	pl	Mt 28:15
ἐδιδάχθην	διδάσκω	aor	pass	indicative	1p	—	—	sg	Ga 1:12
διδάσκοντες	διδάσκω	pres	actv	participle	—	mas	nom	pl	Mt 15:9,Mt 28:20,Mk 7:7,Ac 5:25,Ac 5:42,Ac 15:35,Col 1:28,Col 3:16,Tt 1:11
ἐδίδαξας	διδάσκω	aor	actv	indicative	2p	—	—	sg	Lk 13:26
διδάσκει	διδάσκω	pres	actv	indicative	3p	—	—	sg	1 Co 11:14,1 Jn 2:27,Re 2:20
δίδασκε	διδάσκω	pres	actv	imperative	2p	—	—	sg	1 Ti 4:11,1 Ti 6:2
διδάξωσιν	διδάσκω	aor	actv	subjunctive	3p	—	—	pl	Heb 8:11
διδάσκοντος	διδάσκω	pres	actv	participle	—	mas	gen	sg	Lk 20:1
διδάσκῃ	διδάσκω	pres	actv	subjunctive	3p	—	—	sg	1 Jn 2:27
ἐδίδαξαν	διδάσκω	aor	actv	indicative	3p	—	—	pl	Mk 6:30
διδάξει	διδάσκω	futr	actv	indicative	3p	—	—	sg	Lk 12:12,Jn 14:26
ἐδίδαξέν	διδάσκω	aor	actv	indicative	3p	—	—	sg	Jn 8:28
διδάσκω	διδάσκω	pres	actv	indicative	1p	—	—	sg	1 Co 4:17
διδάξαι	διδάσκω	aor	actv	infinitive	—	—	—	—	Ac 11:26,Ac 20:20,2 Ti 2:2
διδάξῃ	διδάσκω	aor	actv	subjunctive	3p	—	—	sg	Mt 5:19,Mt 5:19
ἐδίδαξεν	διδάσκω	aor	actv	indicative	3p	—	—	sg	Lk 11:1,1 Jn 2:27
