Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Reference
πιστεύετε	πιστεύω	pres	actv	indicative	2p	—	—	pl	Jn 3:12,Jn 5:38,Jn 5:47,Jn 6:36,Jn 10:25,Jn 10:26,Jn 16:31
ἐπίστευσαν	πιστεύω	aor	actv	indicative	3p	—	—	pl	Mt 21:32,Mk 16:13,Mk 16:14,Jn 2:11,Jn 2:22,Jn 2:23,Jn 4:39,Jn 4:41,Jn 7:31,Jn 8:30,Jn 9:18,Jn 10:42,Jn 11:45,Jn 12:42,Jn 17:8,Ac 4:4,Ac 8:12,Ac 9:42,Ac 13:48,Ac 17:12,Ac 17:34,Ro 10:14
πιστευόντων	πιστεύω	pres	actv	participle	—	mas	gen	pl	Mt 18:6,Mk 9:42,Jn 17:20,Ro 4:11
πιστεύων	πιστεύω	pres	actv	participle	—	mas	nom	sg	Jn 3:15,Jn 3:16,Jn 3:18,Jn 3:18,Jn 3:36,Jn 5:24,Jn 6:35,Jn 6:40,Jn 6:47,Jn 7:38,Jn 11:25,Jn 11:26,Jn 12:44,Jn 12:46,Jn 14:12,Ac 13:39,Ac 24:14,Ro 9:33,Ro 10:11,1 Pe 2:6,1 Jn 5:1,1 Jn 5:5,1 Jn 5:10,1 Jn 5:10
πιστεύσωμεν	πιστεύω	aor	actv	subjunctive	1p	—	—	pl	Mk 15:32,1 Jn 3:23
πιστεύετέ	πιστεύω	pres	actv	imperative	2p	—	—	pl	Jn 10:37,Jn 14:11
πιστεύοντι	πιστεύω	pres	actv	participle	—	mas	dat	sg	Mk 9:23,Ro 1:16,Ro 4:5,Ro 10:4
πιστεῦσαι	πιστεύω	aor	actv	infinitive	—	—	—	—	Mt 21:32,Jn 5:44,Ac 14:1,Ac 15:7,2 Th 2:11,Heb 11:6
πιστεύουσιν	πιστεύω	pres	actv	indicative	3p	—	—	pl	Lk 8:13,Jn 6:64,Jn 16:9,Jas 2:19
πιστεύουσιν	πιστεύω	pres	actv	participle	—	mas	dat	pl	Jn 1:12,Ro 4:24,1 Co 14:22,1 Co 14:22,Ga 3:22,1 Th 1:7,1 Th 2:10,1 Th 2:13,1 Pe 2:7,1 Jn 5:13
ἐπίστευσα	πιστεύω	aor	actv	indicative	1p	—	—	sg	2 Co 4:13
πιστεύσασα	πιστεύω	aor	actv	participle	—	fem	nom	sg	Lk 1:45
πιστευθῆναι	πιστεύω	aor	pass	infinitive	—	—	—	—	1 Th 2:4
ἐπιστεύσατε	πιστεύω	aor	actv	indicative	2p	—	—	pl	Mt 21:25,Mt 21:32,Mk 11:31,Lk 20:5,1 Co 3:5,1 Co 15:2,1 Co 15:11
πιστεύετε	πιστεύω	pres	actv	imperative	2p	—	—	pl	Mk 1:15,Mk 11:24,Mk 13:21,Jn 10:38,Jn 12:36,Jn 14:11,1 Jn 4:1
