Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Reference
ἔλεγεν	λέγω	impft	actv	indicative	3p	—	—	sg	Mt 9:21,Mt 9:24,Mt 14:4,Mk 2:27,Mk 3:23,Mk 4:2,Mk 4:9,Mk 4:11,Mk 4:21,Mk 4:24,Mk 4:26,Mk 4:30,Mk 5:8,Mk 5:28,Mk 5:30,Mk 6:4,Mk 6:10,Mk 6:16,Mk 6:18,Mk 7:9,Mk 7:14,Mk 7:20,Mk 7:27,Mk 8:21,Mk 8:24,Mk 9:1,Mk 9:24,Mk 9:31,Mk 11:17,Mk 12:35,Mk 12:38,Mk 14:36,Mk 15:12,Mk 15:14,Lk 3:11,Lk 6:5,Lk 6:20,Lk 13:14,Lk 16:5,Lk 21:10,Lk 23:34,Lk 23:42,Jn 2:21,Jn 2:22,Jn 5:18,Jn 5:19,Jn 6:6,Jn 6:65,Jn 6:71,Jn 8:23,Jn 8:27,Jn 9:9,Jn 12:29,Jn 12:33,Ac 4:32,Ac 11:16,Ac 13:25,Ac 28:17,Ro 7:7
λέγητε	λέγω	pres	actv	subjunctive	2p	—	—	pl	1 Co 1:10
λέγοντας	λέγω	pres	actv	participle	—	mas	acc	pl	Mt 21:15,Mk 1:27,Mk 2:12,Lk 24:34,Ac 6:11,Ac 6:13,Re 2:2,Re 5:13
ἔλεγον	λέγω	impft	actv	indicative	1p	—	—	sg	Ac 25:20,2 Co 9:3,Php 3:18,2 Th 2:5
λέγοντος	λέγω	pres	actv	participle	—	masculine, neuter	gen	sg	Mt 1:22,Mt 2:15,Mt 2:17,Mt 4:14,Mt 8:17,Mt 12:17,Mt 13:35,Mt 21:4,Mt 22:31,Mt 27:9
λέγουσιν	λέγω	pres	actv	indicative	3p	—	—	pl	Mt 9:28,Mt 11:18,Mt 11:19,Mt 13:28,Mt 13:51,Mt 14:17,Mt 15:12,Mt 15:33,Mt 16:13,Mt 17:10,Mt 20:7,Mt 20:22,Mt 20:33,Mt 21:16,Mt 21:31,Mt 21:41,Mt 22:21,Mt 22:42,Mt 23:3,Mt 27:22,Mk 1:30,Mk 1:37,Mk 2:18,Mk 3:32,Mk 4:38,Mk 6:37,Mk 6:38,Mk 8:19,Mk 8:20,Mk 8:27,Mk 9:11,Mk 11:33,Mk 12:14,Mk 12:18,Mk 12:35,Mk 14:12,Lk 9:18,Lk 17:37,Lk 20:41,Lk 24:23,Jn 7:26,Jn 8:4,Jn 9:17,Jn 11:8,Jn 11:34,Jn 12:22,Jn 20:13,Jn 21:3,Ac 23:8,Ac 24:14,1 Co 15:12,1 Ti 1:7,Re 2:24,Re 6:16,Re 22:17
λεγόμενον	λέγω	pres	pass	participle	—	mas	acc	sg	Mt 4:18,Mt 9:9,Mt 27:16,Mt 27:17,Mt 27:22,Mt 27:33,Jn 19:13,Jn 19:17
λέγετε	λέγω	pres	actv	indicative	2p	—	—	pl	Mt 15:5,Mt 16:2,Mt 16:15,Mt 23:30,Mk 7:11,Mk 8:29,Mk 14:71,Mk 15:12,Lk 7:33,Lk 7:34,Lk 9:20,Lk 11:18,Lk 12:54,Lk 12:55,Lk 22:70,Jn 4:20,Jn 4:35,Jn 8:54,Jn 9:19,Jn 9:41,Jn 10:36,Jn 13:13
λέγεται	λέγω	pres	pass	indicative	3p	—	—	sg	Mt 13:55,Jn 1:38,Jn 19:17,Jn 20:16,Ac 9:36,Heb 7:13,Heb 9:2,Re 8:11
λέγε	λέγω	pres	actv	imperative	2p	—	—	sg	Ac 22:27
λέγοντος	λέγω	pres	actv	participle	—	mas	gen	sg	Mt 3:3,Mk 14:58,Lk 9:34,Lk 13:17,Ac 6:14,Heb 7:21,Re 8:13,Re 16:5
Λέγουσιν	λέγω	pres	actv	indicative	3p	—	—	pl	Mt 19:7,Mt 19:10,Jn 16:29
λέγετε	λέγω	pres	actv	imperative	2p	—	—	pl	Lk 10:5,Lk 10:9,Lk 11:2,Lk 17:10,Ac 13:15,2 Jn 10
λέγῃ	λέγω	pres	actv	subjunctive	3p	—	—	sg	Jn 2:5,1 Co 3:4,Jas 2:14
λεγομένοις	λέγω	pres	pass	participle	—	neu	dat	pl	Ac 8:6,Ac 27:11,Ac 28:24,Heb 8:1
Λέγετέ	λέγω	pres	actv	imperative	2p	—	—	pl	Ga 4:21
λέγω	λέγω	pres	actv	subjunctive	1p	—	—	sg	2 Co 9:4,Phm 19,Heb 11:32
λεγόμενον	λέγω	pres	pass	participle	—	neu	acc	sg	Mt 26:36
λεγομένην	λέγω	pres	pass	participle	—	fem	acc	sg	Mt 2:23,Jn 4:5,Jn 11:54,Ac 3:2
λέγομεν	λέγω	pres	actv	indicative	1p	—	—	pl	Jn 8:48,Ac 21:23,Ro 4:9,1 Th 4:15
λεγέτω	λέγω	pres	actv	imperative	3p	—	—	sg	Jas 1:13
λέγοντες	λέγω	pres	actv	participle	—	mas	nom	pl	Mt 2:2,Mt 6:31,Mt 8:25,Mt 8:27,Mt 8:29,Mt 8:31,Mt 9:14,Mt 9:27,Mt 9:33,Mt 10:7,Mt 12:10,Mt 12:38,Mt 13:36,Mt 14:15,Mt 14:26,Mt 14:33,Mt 15:1,Mt 15:23,Mt 16:7,Mt 17:10,Mt 18:1,Mt 19:3,Mt 19:25,Mt 20:12,Mt 20:30,Mt 20:31,Mt 21:9,Mt 21:20,Mt 21:23,Mt 21:25,Mt 22:16,Mt 22:23,Mt 22:24,Mt 23:16,Mt 24:3,Mt 24:5,Mt 25:37,Mt 25:44,Mt 26:8,Mt 26:17,Mt 26:68,Mt 27:23,Mt 27:29,Mt 27:40,Mt 27:54,Mt 27:63,Mt 28:13,Mk 3:11,Mk 5:12,Mk 5:35,Mk 6:2,Mk 7:37,Mk 8:28,Mk 9:11,Mk 10:26,Mk 10:35,Mk 10:49,Mk 11:31,Mk 12:18,Mk 13:6,Mk 14:57,Mk 15:29,Lk 1:66,Lk 3:10,Lk 3:14,Lk 4:36,Lk 5:21,Lk 5:26,Lk 5:30,Lk 7:4,Lk 7:16,Lk 8:24,Lk 8:25,Lk 10:17,Lk 13:25,Lk 13:31,Lk 14:30,Lk 15:2,Lk 17:13,Lk 19:7,Lk 19:14,Lk 19:38,Lk 20:2,Lk 20:5,Lk 20:14,Lk 20:21,Lk 20:28,Lk 21:7,Lk 21:8,Lk 22:64,Lk 22:67,Lk 23:2,Lk 23:5,Lk 23:18,Lk 23:21,Lk 23:35,Lk 23:37,Lk 24:29,Jn 4:31,Jn 4:51,Jn 6:52,Jn 7:15,Jn 9:2,Jn 9:19,Jn 12:21,Jn 18:40,Jn 19:6,Jn 19:12,Ac 1:6,Ac 2:7,Ac 2:12,Ac 4:16,Ac 5:23,Ac 8:10,Ac 11:3,Ac 11:18,Ac 13:15,Ac 14:11,Ac 14:15,Ac 14:18,Ac 15:5,Ac 16:35,Ac 17:7,Ac 17:19,Ac 18:13,Ac 19:13,Ac 19:28,Ac 22:22,Ac 23:9,Ac 23:12,Ac 26:31,2 Ti 2:18,Heb 11:14,Jas 4:13,2 Pe 3:4,Re 4:8,Re 4:10,Re 5:9,Re 5:12,Re 6:10,Re 7:10,Re 7:12,Re 11:15,Re 11:17,Re 13:4,Re 15:3,Re 18:10,Re 18:16,Re 18:18,Re 18:19,Re 19:4
λέγων	λέγω	pres	actv	participle	—	mas	nom	sg	Mt 1:20,Mt 2:13,Mt 2:20,Mt 3:2,Mt 3:14,Mt 5:2,Mt 7:21,Mt 8:2,Mt 8:3,Mt 8:6,Mt 9:18,Mt 9:29,Mt 9:30,Mt 10:5,Mt 13:3,Mt 13:24,Mt 13:31,Mt 14:27,Mt 14:30,Mt 15:7,Mt 16:13,Mt 16:22,Mt 17:9,Mt 17:15,Mt 17:25,Mt 18:26,Mt 18:28,Mt 18:29,Mt 21:2,Mt 21:37,Mt 22:1,Mt 22:4,Mt 22:42,Mt 22:43,Mt 23:2,Mt 25:20,Mt 25:45,Mt 26:27,Mt 26:39,Mt 26:42,Mt 26:48,Mt 26:65,Mt 26:70,Mt 27:4,Mt 27:11,Mt 27:24,Mt 27:46,Mt 28:9,Mt 28:18,Mk 1:7,Mk 1:15,Mk 1:24,Mk 1:25,Mk 1:40,Mk 5:23,Mk 8:15,Mk 8:26,Mk 8:27,Mk 9:25,Mk 12:6,Mk 12:26,Mk 14:44,Mk 14:60,Mk 14:68,Mk 15:4,Mk 15:9,Mk 15:36,Lk 1:63,Lk 1:67,Lk 3:16,Lk 4:35,Lk 5:8,Lk 5:12,Lk 5:13,Lk 7:6,Lk 7:19,Lk 7:20,Lk 7:39,Lk 8:8,Lk 8:38,Lk 8:49,Lk 8:54,Lk 9:18,Lk 9:38,Lk 10:25,Lk 11:45,Lk 12:16,Lk 12:17,Lk 13:27,Lk 14:3,Lk 14:7,Lk 15:3,Lk 15:6,Lk 17:4,Lk 18:2,Lk 18:13,Lk 18:16,Lk 18:18,Lk 18:38,Lk 19:16,Lk 19:18,Lk 19:20,Lk 19:30,Lk 19:42,Lk 19:46,Lk 22:19,Lk 22:20,Lk 22:42,Lk 22:57,Lk 22:59,Lk 23:3,Lk 23:39,Lk 23:47,Lk 24:7,Jn 1:15,Jn 1:26,Jn 1:32,Jn 4:10,Jn 7:28,Jn 7:37,Jn 8:12,Jn 12:23,Ac 1:3,Ac 2:40,Ac 3:25,Ac 5:28,Ac 5:36,Ac 8:9,Ac 8:19,Ac 8:26,Ac 10:26,Ac 11:4,Ac 12:7,Ac 15:13,Ac 16:9,Ac 16:28,Ac 19:4,Ac 19:26,Ac 21:21,Ac 21:40,Ac 22:26,Ac 24:2,Ac 25:14,Ac 26:22,Ac 27:10,Ac 27:24,Ac 27:33,Ac 28:26,Ro 2:22,1 Co 11:25,Heb 2:6,Heb 2:12,Heb 4:7,Heb 6:14,Heb 8:11,Heb 9:20,Heb 10:8,Heb 12:26,1 Jn 2:4,1 Jn 2:6,1 Jn 2:9,2 Jn 11,Jud 14,Re 1:17,Re 4:1,Re 7:3,Re 7:13,Re 10:9,Re 11:1,Re 13:14,Re 14:7,Re 14:8,Re 14:9,Re 14:18,Re 17:1,Re 18:2,Re 18:21,Re 19:17,Re 21:9
