Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
δόντος	δίδωμι	aor	actv	participle	—	mas	gen	sg	verb	2 Co 5:18,Ga 1:4
δώῃ	δίδωμι	aor	actv	subjunctive, optative	3p	—	—	sg	verb	Eph 1:17,2 Ti 2:25
δοθείσης	δίδωμι	aor	pass	participle	—	fem	gen	sg	verb	Ro 12:3,Eph 3:2,Eph 3:7
ἐδίδουν	δίδωμι	impft	actv	indicative	3p	—	—	pl	verb	Mk 15:23,Mk 3:6
διδόντος	δίδωμι	pres	actv	participle	—	mas	gen	sg	verb	2 Th 1:8,Jas 1:5
δώσει	δίδωμι	futr	actv	indicative	3p	—	—	sg	verb	Mt 7:11,Mt 16:26,Mt 24:29,Mk 12:9,Mk 13:24,Lk 1:32,Lk 11:8,Lk 11:8,Lk 11:13,Lk 16:12,Lk 20:16,Jn 6:27,Jn 11:22,Jn 14:16,Jn 16:23,Ro 14:12,2 Ti 2:7,1 Jn 5:16,Re 8:3
δοθείσῃ	δίδωμι	aor	pass	participle	—	fem	dat	sg	verb	1 Co 1:4
διδόντες	δίδωμι	pres	actv	participle	—	mas	nom	pl	verb	2 Co 5:12,2 Co 6:3
δίδου	δίδωμι	pres	actv	imperative	2p	—	—	sg	verb	Lk 6:30,Lk 11:3
δῶτε	δίδωμι	aor	actv	subjunctive	2p	—	—	pl	verb	Mt 7:6,1 Co 14:9,Jas 2:16
δοθῇ	δίδωμι	aor	pass	subjunctive	3p	—	—	sg	verb	Mk 13:11,Ga 3:22,Eph 6:19
δώσω	δίδωμι	futr	actv	indicative	1p	—	—	sg	verb	Mt 4:9,Mt 16:19,Mt 20:4,Mk 6:22,Mk 6:23,Lk 4:6,Lk 21:15,Jn 4:14,Jn 4:14,Jn 6:51,Jn 13:26,Ac 2:19,Ac 13:34,Re 2:7,Re 2:10,Re 2:17,Re 2:17,Re 2:23,Re 2:26,Re 2:28,Re 3:21,Re 11:3,Re 21:6
ἔδωκέν	δίδωμι	aor	actv	indicative	3p	—	—	sg	verb	2 Co 13:10
δώσεις	δίδωμι	futr	actv	indicative	2p	—	—	sg	verb	Ac 2:27,Ac 13:35
διδόντα	δίδωμι	pres	actv	participle	—	neu	nom	pl	verb	1 Co 14:7
διδόναι	δίδωμι	pres	actv	infinitive	—	—	—	—	verb	Mt 7:11,Lk 11:13,Lk 12:42,Lk 23:2,Ac 20:35,1 Ti 5:14
δέδωκεν	δίδωμι	perfect	actv	indicative	3p	—	—	sg	verb	Jn 3:35,Jn 5:22,Jn 6:32,Jn 7:19,Jn 7:22,Jn 12:49,1 Jn 3:1,1 Jn 4:13,1 Jn 5:20
ἐδίδοσαν	δίδωμι	impft	actv	indicative	3p	—	—	pl	verb	Jn 19:3
δός	δίδωμι	aor	actv	imperative	2p	—	—	sg	verb	Mt 5:42,Mt 14:8,Lk 15:12,Jn 4:7,Jn 4:10,Jn 4:15
δῶσιν	δίδωμι	aor	actv	subjunctive	3p	—	—	pl	verb	Re 13:16
δόντα	δίδωμι	aor	actv	participle	—	mas	acc	sg	verb	Mt 9:8,1 Pe 1:21
δέδωκάς	δίδωμι	perfect	actv	indicative	2p	—	—	sg	verb	Jn 17:4,Jn 17:7,Jn 17:9,Jn 17:11,Jn 17:12,Jn 17:22,Jn 17:24,Jn 17:24,Jn 18:9
δοῦναί	δίδωμι	aor	actv	infinitive	—	—	—	—	verb	Lk 11:7,Re 10:9
δὸς	δίδωμι	aor	actv	imperative	2p	—	—	sg	verb	Mt 6:11,Mt 17:27,Mt 19:21,Mk 10:21,Mk 10:37,Lk 14:9,Jn 6:34,Ac 4:29,Lk 12:58,Jn 9:24
δοῖ	δίδωμι	aor	actv	subjunctive	3p	—	—	sg	verb	Mk 8:37
δώσωμεν	δίδωμι	aor	actv	subjunctive	1p	—	—	pl	verb	Re 19:7
ἐδόθησαν	δίδωμι	aor	pass	indicative	3p	—	—	pl	verb	Re 8:2,Re 12:14
δεδομένην	δίδωμι	perfect	pass	participle	—	fem	acc	sg	verb	2 Co 8:1
δοῦναι	δίδωμι	aor	actv	infinitive	—	—	—	—	verb	Mt 14:7,Mt 19:7,Mt 20:14,Mt 20:23,Mt 20:28,Mt 22:17,Mt 24:45,Mt 26:15,Mk 10:40,Mk 10:45,Mk 12:14,Mk 14:11,Lk 1:73,Lk 1:77,Lk 2:24,Lk 12:32,Lk 12:51,Lk 17:18,Lk 20:22,Lk 22:5,Jn 6:52,Ac 5:31,Ac 7:5,Ac 7:38,Ac 19:31,Ac 20:32,Re 11:18,Re 13:15,Re 16:9,Re 16:19,Re 17:17
δούς	δίδωμι	aor	actv	participle	—	mas	nom	sg	verb	Lk 20:2
δεδώκει	δίδωμι	pluperfect	actv	indicative	3p	—	—	sg	verb	Mk 14:44,Lk 19:15
δέδωκα	δίδωμι	perfect	actv	indicative	1p	—	—	sg	verb	Lk 10:19,Jn 17:8,Jn 17:14,Jn 17:22,Re 3:8
ἐδίδου	δίδωμι	impft	actv	indicative	3p	—	—	sg	verb	Mt 13:8,Mt 15:36,Mk 4:8,Mk 6:7,Mk 6:41,Mk 8:6,Lk 9:16,Lk 15:16,Ac 2:4
δεδώκεισαν	δίδωμι	pluperfect	actv	indicative	3p	—	—	pl	verb	Jn 11:57
ἔδωκαν	δίδωμι	aor	actv	indicative	3p	—	—	pl	verb	Mt 27:10,Mt 27:34,Mt 28:12,2 Co 8:5,Re 11:13,Re 20:13,Ac 1:26,Ga 2:9
δότε	δίδωμι	aor	actv	imperative	2p	—	—	pl	verb	Mt 10:8,Mt 14:16,Mt 25:8,Mt 25:28,Mk 6:37,Lk 9:13,Lk 11:41,Lk 12:33,Lk 15:22,Lk 19:24,Ac 8:19,Ro 12:19,Re 14:7,Re 18:7
δοὺς	δίδωμι	aor	actv	participle	—	mas	nom	sg	verb	Mt 26:26,Mk 13:34,Ac 9:41,Ac 15:8,1 Co 12:24,2 Co 1:22,2 Co 5:5,2 Th 2:16,1 Ti 2:6,Ro 4:20
