Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
ἐσμέν	εἰμί	pres	actv	indicative	1p	—	—	pl	verb	Lk 9:12,Ac 17:28,Ac 17:28,Ro 14:8,1 Co 15:19,1 Jn 3:1,1 Jn 3:19
ἴσθι	εἰμί	pres	actv	imperative	2p	—	—	sg	verb	Mt 2:13,Mk 5:34,Lk 19:17,1 Ti 4:15
εἰμι	εἰμί	pres	actv	indicative	1p	—	—	sg	verb	Mt 8:9,Mt 11:29,Mt 14:27,Mt 18:20,Mt 20:15,Mt 22:32,Mt 24:5,Mt 26:22,Mt 26:25,Mt 27:24,Mt 27:43,Mt 28:20,Mk 6:50,Mk 13:6,Mk 14:62,Lk 1:18,Lk 1:19,Lk 5:8,Lk 7:6,Lk 7:8,Lk 19:22,Lk 21:8,Lk 22:27,Lk 22:70,Lk 24:39,Jn 4:26,Jn 6:20,Jn 6:35,Jn 6:41,Jn 6:48,Jn 6:51,Jn 7:29,Jn 7:33,Jn 8:12,Jn 8:18,Jn 8:24,Jn 8:28,Jn 9:5,Jn 9:9,Jn 10:7,Jn 10:9,Jn 10:11,Jn 10:14,Jn 10:36,Jn 11:25,Jn 13:19,Jn 13:33,Jn 14:6,Jn 14:9,Jn 15:1,Jn 15:5,Jn 18:5,Jn 18:6,Jn 18:8,Jn 18:35,Jn 18:37,Jn 19:21,Ac 9:5,Ac 10:21,Ac 10:26,Ac 18:10,Ac 20:26,Ac 21:39,Ac 22:3,Ac 22:8,Ac 23:6,Ac 25:10,Ac 26:15,Ac 26:29,Ac 27:23,Ro 7:14,Ro 11:13,1 Co 1:12,1 Co 3:4,1 Co 9:2,1 Co 13:2,1 Co 15:9,1 Co 15:10,1 Co 15:10,2 Co 12:10,2 Co 12:11,Php 4:11,Col 2:5,1 Ti 1:15,Heb 12:21,Re 1:8,Re 1:17,Re 1:18,Re 2:23,Re 3:17,Re 19:10,Re 21:6,Re 22:9,Re 22:16,Lk 22:33
εἰσίν	εἰμί	pres	actv	indicative	3p	—	—	pl	verb	Mt 2:18,Mt 10:30,Mt 11:8,Mt 16:28,Mk 9:1,Lk 7:25,Lk 9:27,Lk 11:7,Jn 17:11,Ac 2:13,Ac 16:17,Ac 24:11,Ro 1:32,Ro 13:1,1 Co 10:18,1 Co 12:4,1 Co 12:6,Ga 3:10,Ga 3:10,1 Jn 4:5,1 Jn 5:3,Re 1:20,Re 17:9
ἤμην	εἰμί	impft	mid	indicative	1p	—	—	sg	verb	Mt 25:35,Mt 25:36,Mt 25:43,Mk 14:49,Jn 11:15,Jn 16:4,Jn 17:12,Ac 10:30,Ac 11:5,Ac 22:19,Ac 22:20,1 Co 13:11,Ga 1:10,Ga 1:22,Ac 11:17
ἦν	εἰμί	impft	actv	indicative	3p	—	—	sg	verb	Mt 1:18,Mt 2:9,Mt 2:15,Mt 3:4,Mt 7:27,Mt 7:29,Mt 8:30,Mt 12:4,Mt 12:40,Mt 14:23,Mt 14:24,Mt 19:22,Mt 21:25,Mt 21:33,Mt 26:24,Mt 26:71,Mt 27:54,Mt 27:56,Mt 28:3,Mk 1:6,Mk 1:13,Mk 1:13,Mk 1:22,Mk 1:23,Mk 1:33,Mk 1:45,Mk 2:4,Mk 3:1,Mk 4:36,Mk 4:36,Mk 4:38,Mk 5:5,Mk 5:21,Mk 5:40,Mk 5:42,Mk 6:47,Mk 6:48,Mk 6:52,Mk 7:26,Mk 10:22,Mk 10:32,Mk 11:13,Mk 11:30,Mk 11:32,Mk 14:54,Mk 14:59,Mk 15:7,Mk 15:25,Mk 15:26,Mk 15:39,Mk 15:41,Mk 15:42,Mk 15:43,Mk 15:46,Mk 16:4,Lk 1:7,Lk 1:10,Lk 1:21,Lk 1:22,Lk 1:66,Lk 1:80,Lk 2:7,Lk 2:25,Lk 2:25,Lk 2:26,Lk 2:33,Lk 2:36,Lk 2:40,Lk 2:51,Lk 3:23,Lk 4:16,Lk 4:17,Lk 4:31,Lk 4:32,Lk 4:33,Lk 4:38,Lk 4:44,Lk 5:1,Lk 5:3,Lk 5:16,Lk 5:17,Lk 5:17,Lk 5:18,Lk 5:29,Lk 6:6,Lk 6:6,Lk 6:12,Lk 7:2,Lk 7:12,Lk 7:12,Lk 7:37,Lk 7:39,Lk 8:32,Lk 9:45,Lk 9:53,Lk 11:14,Lk 11:14,Lk 13:11,Lk 14:2,Lk 15:24,Lk 15:24,Lk 15:32,Lk 16:1,Lk 16:19,Lk 17:16,Lk 18:2,Lk 18:3,Lk 18:23,Lk 18:34,Lk 19:2,Lk 19:3,Lk 19:47,Lk 20:4,Lk 22:56,Lk 22:59,Lk 23:8,Lk 23:19,Lk 23:38,Lk 23:44,Lk 23:47,Lk 23:51,Lk 23:53,Lk 23:54,Lk 24:32,Jn 1:1,Jn 1:1,Jn 1:1,Jn 1:2,Jn 1:4,Jn 1:4,Jn 1:8,Jn 1:10,Jn 1:15,Jn 1:15,Jn 1:28,Jn 1:30,Jn 1:39,Jn 1:44,Jn 2:1,Jn 2:23,Jn 2:25,Jn 3:19,Jn 3:23,Jn 3:24,Jn 3:26,Jn 4:6,Jn 4:6,Jn 4:46,Jn 5:1,Jn 5:5,Jn 5:35,Jn 6:10,Jn 6:22,Jn 6:62,Jn 7:12,Jn 7:39,Jn 7:42,Jn 8:42,Jn 8:44,Jn 9:8,Jn 9:14,Jn 9:16,Jn 9:18,Jn 9:24,Jn 9:33,Jn 10:6,Jn 10:22,Jn 10:40,Jn 10:41,Jn 11:2,Jn 11:6,Jn 11:18,Jn 11:30,Jn 11:32,Jn 11:38,Jn 12:1,Jn 12:2,Jn 12:6,Jn 12:16,Jn 13:5,Jn 13:23,Jn 13:30,Jn 18:1,Jn 18:10,Jn 18:13,Jn 18:13,Jn 18:14,Jn 18:15,Jn 18:18,Jn 18:18,Jn 18:28,Jn 18:30,Jn 18:36,Jn 18:40,Jn 19:11,Jn 19:14,Jn 19:14,Jn 19:19,Jn 19:20,Jn 19:20,Jn 19:23,Jn 19:31,Jn 19:31,Jn 19:41,Jn 19:41,Jn 20:7,Jn 20:24,Jn 21:7,Ac 1:15,Ac 1:17,Ac 3:10,Ac 4:3,Ac 4:22,Ac 4:32,Ac 4:32,Ac 4:33,Ac 4:34,Ac 7:9,Ac 7:20,Ac 7:22,Ac 7:44,Ac 8:1,Ac 8:13,Ac 8:16,Ac 8:27,Ac 8:28,Ac 8:32,Ac 9:9,Ac 9:28,Ac 9:33,Ac 9:36,Ac 9:36,Ac 10:24,Ac 10:38,Ac 11:21,Ac 11:24,Ac 12:5,Ac 12:6,Ac 12:18,Ac 13:7,Ac 14:12,Ac 16:1,Ac 16:9,Ac 17:1,Ac 18:7,Ac 18:14,Ac 18:25,Ac 19:16,Ac 19:32,Ac 20:13,Ac 21:3,Ac 22:29,Ac 27:8,Ro 5:13,1 Co 10:4,1 Co 12:19,1 Co 16:12,2 Co 5:19,Ga 2:11,Ga 3:21,Php 2:26,Php 3:7,Col 2:14,Heb 7:10,Heb 7:11,Heb 8:4,Heb 8:4,Heb 8:7,Heb 11:38,Heb 12:21,Jas 1:24,Jas 5:17,2 Pe 2:21,1 Jn 1:1,1 Jn 1:2,1 Jn 3:12,1 Jn 3:12,Re 1:4,Re 1:8,Re 4:8,Re 5:11,Re 10:10,Re 11:17,Re 16:5,Re 17:4,Re 17:8,Re 17:8,Re 17:11,Re 21:21,Lk 1:7,Lk 8:42,Lk 10:39,Jn 2:13,Jn 6:4,Jn 19:42,Ac 2:24,Ac 13:46,Re 13:2
Ἦσαν	εἰμί	impft	actv	indicative	3p	—	—	pl	verb	Mt 27:55,Mk 2:6,Mk 10:32,Mk 15:40,Lk 15:1,Jn 12:20,Jn 21:2,Ac 2:5,Ac 2:42,Ac 11:20,Ac 13:1
οὖσαι	εἰμί	pres	actv	participle	—	fem	nom	pl	verb	Ro 13:1
ὄντες	εἰμί	pres	actv	participle	—	mas	nom	pl	verb	Mt 7:11,Mt 12:34,Lk 6:3,Lk 20:36,Lk 23:12,Jn 9:40,Jn 11:31,Ac 11:1,Ac 15:32,Ac 19:31,Ac 22:9,Ac 28:25,Ro 5:10,Ro 8:5,Ro 8:8,2 Co 5:4,2 Co 11:19,Eph 2:13,Eph 4:18,Col 4:11,1 Th 5:8,1 Ti 3:10,Tt 1:16,Heb 13:3,2 Pe 1:18,2 Pe 2:11
εἰσὶν	εἰμί	pres	actv	indicative	3p	—	—	pl	verb	Mt 7:14,Mt 12:48,Mt 19:6,Mt 19:12,Mt 19:12,Mt 19:12,Mk 4:18,Mk 6:3,Mk 10:8,Mk 12:25,Lk 9:13,Lk 13:14,Lk 13:30,Lk 13:30,Lk 18:9,Jn 6:64,Jn 6:64,Jn 10:8,Jn 17:14,Jn 17:16,Ac 5:25,Ac 19:26,Ac 21:20,Ac 21:23,Ro 9:7,Ro 13:3,Ro 15:27,1 Co 3:20,1 Co 8:5,1 Co 8:5,1 Ti 6:1,Tt 3:9,Heb 1:14,Heb 7:20,2 Pe 3:7,1 Jn 2:19,Re 1:19,Re 2:2,Re 2:9,Re 3:9,Re 7:13,Re 16:14,Re 17:15,Lk 7:31
