Result	Lemma	Part of Speech	Reference
ἔτι	ἔτι	adverb	Mt 5:13,Mt 17:5,Mt 18:16,Mt 19:20,Mt 26:47,Mt 26:65,Mt 27:63,Mk 5:35,Mk 12:6,Mk 14:43,Mk 14:63,Lk 1:15,Lk 9:42,Lk 14:22,Lk 14:26,Lk 14:32,Lk 16:2,Lk 18:22,Lk 20:36,Lk 22:60,Lk 22:71,Lk 24:6,Lk 24:41,Lk 24:44,Jn 4:35,Jn 7:33,Jn 11:30,Jn 12:35,Jn 13:33,Jn 14:19,Jn 20:1,Ac 2:26,Ac 9:1,Ac 18:18,Ac 21:28,Ro 3:7,Ro 5:6,Ro 5:8,Ro 6:2,Ro 9:19,1 Co 3:2,1 Co 3:3,1 Co 12:31,1 Co 15:17,2 Co 1:10,Ga 1:10,Ga 5:11,Ga 5:11,Php 1:9,2 Th 2:5,Heb 7:10,Heb 7:11,Heb 7:15,Heb 8:12,Heb 9:8,Heb 10:2,Heb 10:17,Heb 10:37,Heb 11:4,Heb 11:32,Heb 11:36,Heb 12:26,Heb 12:27,Re 3:12,Re 6:11,Re 7:16,Re 7:16,Re 9:12,Re 12:8,Re 18:21,Re 18:22,Re 18:22,Re 18:22,Re 18:23,Re 18:23,Re 20:3,Re 21:1,Re 21:4,Re 21:4,Re 22:3,Re 22:5,Re 22:11,Re 22:11,Re 22:11,Re 22:11
Ἔτι	ἔτι	adverb	Mt 12:46,Mk 5:35,Lk 8:49,Lk 15:20,Lk 22:47,Jn 16:12,Ac 10:44,Ro 5:6
